"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_Devign - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_Devign - sparsity.l1__MAX"
"6599","4161.41357421875","4161.41357421875","4161.41357421875","3893.868408203125","3893.868408203125","3893.868408203125","3381.926513671875","3381.926513671875","3381.926513671875","2738.807861328125","2738.807861328125","2738.807861328125","3141.50048828125","3141.50048828125","3141.50048828125","3124.723876953125","3124.723876953125","3124.723876953125"
"7199","4137.76171875","4137.76171875","4137.76171875","3861.884765625","3861.884765625","3861.884765625","3332.574951171875","3332.574951171875","3332.574951171875","2925.989990234375","2925.989990234375","2925.989990234375","3241.88134765625","3241.88134765625","3241.88134765625","3089.052734375","3089.052734375","3089.052734375"
"7799","4150.5517578125","4150.5517578125","4150.5517578125","3888.067138671875","3888.067138671875","3888.067138671875","3312.4921875","3312.4921875","3312.4921875","3125.757080078125","3125.757080078125","3125.757080078125","3343.067138671875","3343.067138671875","3343.067138671875","3060.875732421875","3060.875732421875","3060.875732421875"
"8399","4053.944580078125","4053.944580078125","4053.944580078125","3731.68408203125","3731.68408203125","3731.68408203125","3219.774169921875","3219.774169921875","3219.774169921875","3245.406982421875","3245.406982421875","3245.406982421875","3346.879638671875","3346.879638671875","3346.879638671875","3051.513916015625","3051.513916015625","3051.513916015625"
"8999","4006.675537109375","4006.675537109375","4006.675537109375","3673.307861328125","3673.307861328125","3673.307861328125","3203.44775390625","3203.44775390625","3203.44775390625","3407.031005859375","3407.031005859375","3407.031005859375","3343.385986328125","3343.385986328125","3343.385986328125","3020.538330078125","3020.538330078125","3020.538330078125"
"9599","3991.14892578125","3991.14892578125","3991.14892578125","3672.82080078125","3672.82080078125","3672.82080078125","3150.365234375","3150.365234375","3150.365234375","3536.530517578125","3536.530517578125","3536.530517578125","3468.069580078125","3468.069580078125","3468.069580078125","2991.582763671875","2991.582763671875","2991.582763671875"
"10199","4039.232177734375","4039.232177734375","4039.232177734375","3699.86962890625","3699.86962890625","3699.86962890625","3130.419921875","3130.419921875","3130.419921875","3588.292236328125","3588.292236328125","3588.292236328125","3448.666748046875","3448.666748046875","3448.666748046875","2962.817138671875","2962.817138671875","2962.817138671875"
"10799","4034.9140625","4034.9140625","4034.9140625","3676.971923828125","3676.971923828125","3676.971923828125","3111.05419921875","3111.05419921875","3111.05419921875","3624.934814453125","3624.934814453125","3624.934814453125","3456.050048828125","3456.050048828125","3456.050048828125","2946.759521484375","2946.759521484375","2946.759521484375"
"11399","3994.619140625","3994.619140625","3994.619140625","3604.094482421875","3604.094482421875","3604.094482421875","3065.89111328125","3065.89111328125","3065.89111328125","3600.0625","3600.0625","3600.0625","3480.774169921875","3480.774169921875","3480.774169921875","2932.1298828125","2932.1298828125","2932.1298828125"
"11999","3893.019287109375","3893.019287109375","3893.019287109375","3576.372802734375","3576.372802734375","3576.372802734375","3037.981201171875","3037.981201171875","3037.981201171875","3688.787841796875","3688.787841796875","3688.787841796875","3386.33837890625","3386.33837890625","3386.33837890625","2904.581787109375","2904.581787109375","2904.581787109375"
"12599","3849.243896484375","3849.243896484375","3849.243896484375","3475.36572265625","3475.36572265625","3475.36572265625","2985.01123046875","2985.01123046875","2985.01123046875","3726.724609375","3726.724609375","3726.724609375","3371.895263671875","3371.895263671875","3371.895263671875","2905.114990234375","2905.114990234375","2905.114990234375"
"13199","3906.428466796875","3906.428466796875","3906.428466796875","3542.95947265625","3542.95947265625","3542.95947265625","2992.833984375","2992.833984375","2992.833984375","3817.466552734375","3817.466552734375","3817.466552734375","3408.307861328125","3408.307861328125","3408.307861328125","2879.533935546875","2879.533935546875","2879.533935546875"
"13799","3925.71337890625","3925.71337890625","3925.71337890625","3539.239013671875","3539.239013671875","3539.239013671875","2969.6796875","2969.6796875","2969.6796875","3826.187255859375","3826.187255859375","3826.187255859375","3393.55078125","3393.55078125","3393.55078125","2856.00390625","2856.00390625","2856.00390625"
"14399","3890.08447265625","3890.08447265625","3890.08447265625","3520.760498046875","3520.760498046875","3520.760498046875","2996.059814453125","2996.059814453125","2996.059814453125","3840.396240234375","3840.396240234375","3840.396240234375","3392.581298828125","3392.581298828125","3392.581298828125","2846.578857421875","2846.578857421875","2846.578857421875"
"14999","3837.403564453125","3837.403564453125","3837.403564453125","3517.70556640625","3517.70556640625","3517.70556640625","2935.47998046875","2935.47998046875","2935.47998046875","3771.5703125","3771.5703125","3771.5703125","3407.466064453125","3407.466064453125","3407.466064453125","2827.402099609375","2827.402099609375","2827.402099609375"
"15599","3825.25","3825.25","3825.25","3458.12109375","3458.12109375","3458.12109375","2891.277099609375","2891.277099609375","2891.277099609375","3798.311767578125","3798.311767578125","3798.311767578125","3370.311767578125","3370.311767578125","3370.311767578125","2813.217529296875","2813.217529296875","2813.217529296875"
"16199","3780.962646484375","3780.962646484375","3780.962646484375","3408.541015625","3408.541015625","3408.541015625","2840.387451171875","2840.387451171875","2840.387451171875","3840.425048828125","3840.425048828125","3840.425048828125","3390.540771484375","3390.540771484375","3390.540771484375","2791.260498046875","2791.260498046875","2791.260498046875"
"16799","3795.49267578125","3795.49267578125","3795.49267578125","3436.600830078125","3436.600830078125","3436.600830078125","2832.117919921875","2832.117919921875","2832.117919921875","3797.276123046875","3797.276123046875","3797.276123046875","3348.509521484375","3348.509521484375","3348.509521484375","2773.161865234375","2773.161865234375","2773.161865234375"
"17399","3810.371826171875","3810.371826171875","3810.371826171875","3432.189208984375","3432.189208984375","3432.189208984375","2839.12060546875","2839.12060546875","2839.12060546875","3770.567626953125","3770.567626953125","3770.567626953125","3374.367919921875","3374.367919921875","3374.367919921875","2768.887451171875","2768.887451171875","2768.887451171875"
"17999","3842.748046875","3842.748046875","3842.748046875","3462.337890625","3462.337890625","3462.337890625","2852.203369140625","2852.203369140625","2852.203369140625","3797.48486328125","3797.48486328125","3797.48486328125","3361.431396484375","3361.431396484375","3361.431396484375","2748.42431640625","2748.42431640625","2748.42431640625"
"18599","3796.165283203125","3796.165283203125","3796.165283203125","3404.986083984375","3404.986083984375","3404.986083984375","2824.4931640625","2824.4931640625","2824.4931640625","3781.55908203125","3781.55908203125","3781.55908203125","3347.63525390625","3347.63525390625","3347.63525390625","2724.15625","2724.15625","2724.15625"
"19199","3761.257080078125","3761.257080078125","3761.257080078125","3341.009521484375","3341.009521484375","3341.009521484375","2727.244384765625","2727.244384765625","2727.244384765625","3778.732421875","3778.732421875","3778.732421875","3358.529296875","3358.529296875","3358.529296875","2711.052001953125","2711.052001953125","2711.052001953125"
"19799","3769.9375","3769.9375","3769.9375","3347.0078125","3347.0078125","3347.0078125","2722.362548828125","2722.362548828125","2722.362548828125","3783.22705078125","3783.22705078125","3783.22705078125","3376.123046875","3376.123046875","3376.123046875","2691.173583984375","2691.173583984375","2691.173583984375"
