"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX"
"6599","12093.603515625","12093.603515625","12093.603515625","11970.9912109375","11970.9912109375","11970.9912109375","12143.7529296875","12143.7529296875","12143.7529296875","10032.73046875","10032.73046875","10032.73046875","11185.109375","11185.109375","11185.109375","10021.4560546875","10021.4560546875","10021.4560546875"
"7199","12088.8837890625","12088.8837890625","12088.8837890625","11950.2705078125","11950.2705078125","11950.2705078125","12147.720703125","12147.720703125","12147.720703125","10146.6953125","10146.6953125","10146.6953125","11268.0888671875","11268.0888671875","11268.0888671875","9838.5693359375","9838.5693359375","9838.5693359375"
"7799","12097.9052734375","12097.9052734375","12097.9052734375","11993.25","11993.25","11993.25","12148.8154296875","12148.8154296875","12148.8154296875","10201.1875","10201.1875","10201.1875","11382.3310546875","11382.3310546875","11382.3310546875","9663.6279296875","9663.6279296875","9663.6279296875"
"8399","12098.650390625","12098.650390625","12098.650390625","11943.7041015625","11943.7041015625","11943.7041015625","12136.7607421875","12136.7607421875","12136.7607421875","10238.4208984375","10238.4208984375","10238.4208984375","11398.2490234375","11398.2490234375","11398.2490234375","9509.8876953125","9509.8876953125","9509.8876953125"
"8999","12065.2705078125","12065.2705078125","12065.2705078125","11921.2236328125","11921.2236328125","11921.2236328125","12143.5185546875","12143.5185546875","12143.5185546875","10294.7880859375","10294.7880859375","10294.7880859375","11413.455078125","11413.455078125","11413.455078125","9361.0625","9361.0625","9361.0625"
"9599","12089.375","12089.375","12089.375","11962","11962","11962","12149.125","12149.125","12149.125","10359.6748046875","10359.6748046875","10359.6748046875","11474.5224609375","11474.5224609375","11474.5224609375","9237.9580078125","9237.9580078125","9237.9580078125"
"10199","12091.564453125","12091.564453125","12091.564453125","11952.0361328125","11952.0361328125","11952.0361328125","12130.4765625","12130.4765625","12130.4765625","10368.5615234375","10368.5615234375","10368.5615234375","11457.486328125","11457.486328125","11457.486328125","9095.0322265625","9095.0322265625","9095.0322265625"
"10799","12087.9189453125","12087.9189453125","12087.9189453125","11958.578125","11958.578125","11958.578125","12139.9990234375","12139.9990234375","12139.9990234375","10408.90625","10408.90625","10408.90625","11479.3349609375","11479.3349609375","11479.3349609375","9005.5859375","9005.5859375","9005.5859375"
"11399","12092.736328125","12092.736328125","12092.736328125","11959.478515625","11959.478515625","11959.478515625","12138.6865234375","12138.6865234375","12138.6865234375","10412.2294921875","10412.2294921875","10412.2294921875","11499.0615234375","11499.0615234375","11499.0615234375","8893.6865234375","8893.6865234375","8893.6865234375"
"11999","12085.6865234375","12085.6865234375","12085.6865234375","11930.7998046875","11930.7998046875","11930.7998046875","12136.8359375","12136.8359375","12136.8359375","10453.869140625","10453.869140625","10453.869140625","11482.8583984375","11482.8583984375","11482.8583984375","8786.279296875","8786.279296875","8786.279296875"
"12599","12064.712890625","12064.712890625","12064.712890625","11922.7080078125","11922.7080078125","11922.7080078125","12136.1005859375","12136.1005859375","12136.1005859375","10468.115234375","10468.115234375","10468.115234375","11462.5458984375","11462.5458984375","11462.5458984375","8693","8693","8693"
"13199","12088.8466796875","12088.8466796875","12088.8466796875","11930.1943359375","11930.1943359375","11930.1943359375","12133.16015625","12133.16015625","12133.16015625","10478.5302734375","10478.5302734375","10478.5302734375","11488.064453125","11488.064453125","11488.064453125","8599.23828125","8599.23828125","8599.23828125"
"13799","12095.71484375","12095.71484375","12095.71484375","11929.3271484375","11929.3271484375","11929.3271484375","12148.1220703125","12148.1220703125","12148.1220703125","10491.0185546875","10491.0185546875","10491.0185546875","11496.47265625","11496.47265625","11496.47265625","8525.2958984375","8525.2958984375","8525.2958984375"
"14399","12092.8671875","12092.8671875","12092.8671875","11941.220703125","11941.220703125","11941.220703125","12145.2236328125","12145.2236328125","12145.2236328125","10495.73046875","10495.73046875","10495.73046875","11489.994140625","11489.994140625","11489.994140625","8435.556640625","8435.556640625","8435.556640625"
"14999","12072.828125","12072.828125","12072.828125","11913.4443359375","11913.4443359375","11913.4443359375","12138.3232421875","12138.3232421875","12138.3232421875","10486.80859375","10486.80859375","10486.80859375","11484.1435546875","11484.1435546875","11484.1435546875","8348.3271484375","8348.3271484375","8348.3271484375"
"15599","12066.8818359375","12066.8818359375","12066.8818359375","11919.1240234375","11919.1240234375","11919.1240234375","12134.84375","12134.84375","12134.84375","10502.5029296875","10502.5029296875","10502.5029296875","11477.3291015625","11477.3291015625","11477.3291015625","8266.6982421875","8266.6982421875","8266.6982421875"
"16199","12090.345703125","12090.345703125","12090.345703125","11948.5","11948.5","11948.5","12142.2685546875","12142.2685546875","12142.2685546875","10502.8623046875","10502.8623046875","10502.8623046875","11476.5732421875","11476.5732421875","11476.5732421875","8185.03466796875","8185.03466796875","8185.03466796875"
"16799","12095.8779296875","12095.8779296875","12095.8779296875","11931.2275390625","11931.2275390625","11931.2275390625","12127.142578125","12127.142578125","12127.142578125","10495.90625","10495.90625","10495.90625","11455.5576171875","11455.5576171875","11455.5576171875","8115.90625","8115.90625","8115.90625"
"17399","12075.85546875","12075.85546875","12075.85546875","11915.265625","11915.265625","11915.265625","12131.1787109375","12131.1787109375","12131.1787109375","10501.8896484375","10501.8896484375","10501.8896484375","11444.376953125","11444.376953125","11444.376953125","8030.25","8030.25","8030.25"
"17999","12075.970703125","12075.970703125","12075.970703125","11935.513671875","11935.513671875","11935.513671875","12130.6826171875","12130.6826171875","12130.6826171875","10505.7333984375","10505.7333984375","10505.7333984375","11435.3583984375","11435.3583984375","11435.3583984375","7985.16162109375","7985.16162109375","7985.16162109375"
"18599","12066.5302734375","12066.5302734375","12066.5302734375","11893.841796875","11893.841796875","11893.841796875","12131.0712890625","12131.0712890625","12131.0712890625","10504.236328125","10504.236328125","10504.236328125","11447.1767578125","11447.1767578125","11447.1767578125","7912.58935546875","7912.58935546875","7912.58935546875"
"19199","12083.9833984375","12083.9833984375","12083.9833984375","11931.8232421875","11931.8232421875","11931.8232421875","12136.333984375","12136.333984375","12136.333984375","10506.3623046875","10506.3623046875","10506.3623046875","11453.5537109375","11453.5537109375","11453.5537109375","7845.265625","7845.265625","7845.265625"
"19799","12094.1513671875","12094.1513671875","12094.1513671875","11931.2216796875","11931.2216796875","11931.2216796875","12124.3935546875","12124.3935546875","12124.3935546875","10502.423828125","10502.423828125","10502.423828125","11444.55859375","11444.55859375","11444.55859375","7779.88037109375","7779.88037109375","7779.88037109375"
