"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"6599","6.5399017333984375","6.5399017333984375","6.5399017333984375","3.1059887409210205","3.1059887409210205","3.1059887409210205","1.2693439722061157","1.2693439722061157","1.2693439722061157","6.549300670623779","6.549300670623779","6.549300670623779","3.102421283721924","3.102421283721924","3.102421283721924","1.269872784614563","1.269872784614563","1.269872784614563"
"7199","6.5678911209106445","6.5678911209106445","6.5678911209106445","3.128049612045288","3.128049612045288","3.128049612045288","1.268731951713562","1.268731951713562","1.268731951713562","6.562436103820801","6.562436103820801","6.562436103820801","3.1080691814422607","3.1080691814422607","3.1080691814422607","1.2688759565353394","1.2688759565353394","1.2688759565353394"
"7799","6.533877849578857","6.533877849578857","6.533877849578857","3.1076531410217285","3.1076531410217285","3.1076531410217285","1.2690660953521729","1.2690660953521729","1.2690660953521729","6.539771556854248","6.539771556854248","6.539771556854248","3.112104892730713","3.112104892730713","3.112104892730713","1.268688440322876","1.268688440322876","1.268688440322876"
"8399","6.552514553070068","6.552514553070068","6.552514553070068","3.1052913665771484","3.1052913665771484","3.1052913665771484","1.2692577838897705","1.2692577838897705","1.2692577838897705","6.550825595855713","6.550825595855713","6.550825595855713","3.1070125102996826","3.1070125102996826","3.1070125102996826","1.2694555521011353","1.2694555521011353","1.2694555521011353"
"8999","6.552925109863281","6.552925109863281","6.552925109863281","3.105522871017456","3.105522871017456","3.105522871017456","1.2694727182388306","1.2694727182388306","1.2694727182388306","6.543370723724365","6.543370723724365","6.543370723724365","3.111078977584839","3.111078977584839","3.111078977584839","1.269660234451294","1.269660234451294","1.269660234451294"
"9599","6.516000270843506","6.516000270843506","6.516000270843506","3.1034538745880127","3.1034538745880127","3.1034538745880127","1.2701504230499268","1.2701504230499268","1.2701504230499268","6.54902982711792","6.54902982711792","6.54902982711792","3.112733840942383","3.112733840942383","3.112733840942383","1.2692346572875977","1.2692346572875977","1.2692346572875977"
"10199","6.5691375732421875","6.5691375732421875","6.5691375732421875","3.0950260162353516","3.0950260162353516","3.0950260162353516","1.2687515020370483","1.2687515020370483","1.2687515020370483","6.556517124176025","6.556517124176025","6.556517124176025","3.1017870903015137","3.1017870903015137","3.1017870903015137","1.2686022520065308","1.2686022520065308","1.2686022520065308"
"10799","6.547378063201904","6.547378063201904","6.547378063201904","3.106318235397339","3.106318235397339","3.106318235397339","1.2686172723770142","1.2686172723770142","1.2686172723770142","6.554547309875488","6.554547309875488","6.554547309875488","3.107816696166992","3.107816696166992","3.107816696166992","1.2686084508895874","1.2686084508895874","1.2686084508895874"
"11399","6.5376482009887695","6.5376482009887695","6.5376482009887695","3.107065200805664","3.107065200805664","3.107065200805664","1.2697619199752808","1.2697619199752808","1.2697619199752808","6.565255641937256","6.565255641937256","6.565255641937256","3.1016407012939453","3.1016407012939453","3.1016407012939453","1.2688829898834229","1.2688829898834229","1.2688829898834229"
"11999","6.549782752990723","6.549782752990723","6.549782752990723","3.1040360927581787","3.1040360927581787","3.1040360927581787","1.2693793773651123","1.2693793773651123","1.2693793773651123","6.554108619689941","6.554108619689941","6.554108619689941","3.1076412200927734","3.1076412200927734","3.1076412200927734","1.269460916519165","1.269460916519165","1.269460916519165"
"12599","6.553799629211426","6.553799629211426","6.553799629211426","3.1059517860412598","3.1059517860412598","3.1059517860412598","1.2700960636138916","1.2700960636138916","1.2700960636138916","6.561685085296631","6.561685085296631","6.561685085296631","3.1039960384368896","3.1039960384368896","3.1039960384368896","1.2694545984268188","1.2694545984268188","1.2694545984268188"
"13199","6.5445556640625","6.5445556640625","6.5445556640625","3.0995161533355713","3.0995161533355713","3.0995161533355713","1.2694783210754395","1.2694783210754395","1.2694783210754395","6.557862758636475","6.557862758636475","6.557862758636475","3.111778974533081","3.111778974533081","3.111778974533081","1.2688984870910645","1.2688984870910645","1.2688984870910645"
"13799","6.562845706939697","6.562845706939697","6.562845706939697","3.1126580238342285","3.1126580238342285","3.1126580238342285","1.2696675062179565","1.2696675062179565","1.2696675062179565","6.566603183746338","6.566603183746338","6.566603183746338","3.1102259159088135","3.1102259159088135","3.1102259159088135","1.2689964771270752","1.2689964771270752","1.2689964771270752"
"14399","6.552707195281982","6.552707195281982","6.552707195281982","3.102665662765503","3.102665662765503","3.102665662765503","1.2694311141967773","1.2694311141967773","1.2694311141967773","6.554927349090576","6.554927349090576","6.554927349090576","3.1040427684783936","3.1040427684783936","3.1040427684783936","1.2693121433258057","1.2693121433258057","1.2693121433258057"
"14999","6.533428192138672","6.533428192138672","6.533428192138672","3.101766347885132","3.101766347885132","3.101766347885132","1.270220398902893","1.270220398902893","1.270220398902893","6.559271335601807","6.559271335601807","6.559271335601807","3.1078555583953857","3.1078555583953857","3.1078555583953857","1.268746018409729","1.268746018409729","1.268746018409729"
"15599","6.550731658935547","6.550731658935547","6.550731658935547","3.1018075942993164","3.1018075942993164","3.1018075942993164","1.2700341939926147","1.2700341939926147","1.2700341939926147","6.551814556121826","6.551814556121826","6.551814556121826","3.1147892475128174","3.1147892475128174","3.1147892475128174","1.2700636386871338","1.2700636386871338","1.2700636386871338"
"16199","6.546603679656982","6.546603679656982","6.546603679656982","3.104377508163452","3.104377508163452","3.104377508163452","1.2690943479537964","1.2690943479537964","1.2690943479537964","6.550222873687744","6.550222873687744","6.550222873687744","3.1032047271728516","3.1032047271728516","3.1032047271728516","1.2701478004455566","1.2701478004455566","1.2701478004455566"
"16799","6.564704895019531","6.564704895019531","6.564704895019531","3.1062607765197754","3.1062607765197754","3.1062607765197754","1.2696746587753296","1.2696746587753296","1.2696746587753296","6.570593357086182","6.570593357086182","6.570593357086182","3.1080129146575928","3.1080129146575928","3.1080129146575928","1.2696057558059692","1.2696057558059692","1.2696057558059692"
"17399","6.541102886199951","6.541102886199951","6.541102886199951","3.1223819255828857","3.1223819255828857","3.1223819255828857","1.2711786031723022","1.2711786031723022","1.2711786031723022","6.550090789794922","6.550090789794922","6.550090789794922","3.112802028656006","3.112802028656006","3.112802028656006","1.269464135169983","1.269464135169983","1.269464135169983"
"17999","6.5537261962890625","6.5537261962890625","6.5537261962890625","3.105175733566284","3.105175733566284","3.105175733566284","1.269749641418457","1.269749641418457","1.269749641418457","6.566285133361816","6.566285133361816","6.566285133361816","3.1147210597991943","3.1147210597991943","3.1147210597991943","1.270227313041687","1.270227313041687","1.270227313041687"
"18599","6.54866361618042","6.54866361618042","6.54866361618042","3.095731496810913","3.095731496810913","3.095731496810913","1.270135521888733","1.270135521888733","1.270135521888733","6.587060451507568","6.587060451507568","6.587060451507568","3.113077163696289","3.113077163696289","3.113077163696289","1.2691802978515625","1.2691802978515625","1.2691802978515625"
"19199","6.588265419006348","6.588265419006348","6.588265419006348","3.099278688430786","3.099278688430786","3.099278688430786","1.2695444822311401","1.2695444822311401","1.2695444822311401","6.56764554977417","6.56764554977417","6.56764554977417","3.1221413612365723","3.1221413612365723","3.1221413612365723","1.2701802253723145","1.2701802253723145","1.2701802253723145"
"19799","6.557988166809082","6.557988166809082","6.557988166809082","3.1079599857330322","3.1079599857330322","3.1079599857330322","1.2705281972885132","1.2705281972885132","1.2705281972885132","6.555050849914551","6.555050849914551","6.555050849914551","3.1053578853607178","3.1053578853607178","3.1053578853607178","1.2693378925323486","1.2693378925323486","1.2693378925323486"
