"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"329","1345.396484375","1345.396484375","1345.396484375","421.32708740234375","421.32708740234375","421.32708740234375","52.176849365234375","52.176849365234375","52.176849365234375","1345.51806640625","1345.51806640625","1345.51806640625","421.1496276855469","421.1496276855469","421.1496276855469","51.75197219848633","51.75197219848633","51.75197219848633"
"359","1382.525634765625","1382.525634765625","1382.525634765625","386.41162109375","386.41162109375","386.41162109375","48.55292892456055","48.55292892456055","48.55292892456055","1383.023681640625","1383.023681640625","1383.023681640625","386.2566223144531","386.2566223144531","386.2566223144531","47.337947845458984","47.337947845458984","47.337947845458984"
"389","1536.223388671875","1536.223388671875","1536.223388671875","477.3192138671875","477.3192138671875","477.3192138671875","54.61227798461914","54.61227798461914","54.61227798461914","1537.0274658203125","1537.0274658203125","1537.0274658203125","477.21038818359375","477.21038818359375","477.21038818359375","53.48154830932617","53.48154830932617","53.48154830932617"
"419","1418.3662109375","1418.3662109375","1418.3662109375","411.4012145996094","411.4012145996094","411.4012145996094","43.96723175048828","43.96723175048828","43.96723175048828","1419.26416015625","1419.26416015625","1419.26416015625","411.3966369628906","411.3966369628906","411.3966369628906","42.999755859375","42.999755859375","42.999755859375"
"449","1604.7764892578125","1604.7764892578125","1604.7764892578125","499.1045837402344","499.1045837402344","499.1045837402344","53.53507614135742","53.53507614135742","53.53507614135742","1606.3055419921875","1606.3055419921875","1606.3055419921875","499.0789794921875","499.0789794921875","499.0789794921875","52.06428527832031","52.06428527832031","52.06428527832031"
"479","1579.1373291015625","1579.1373291015625","1579.1373291015625","444.4886474609375","444.4886474609375","444.4886474609375","45.01539993286133","45.01539993286133","45.01539993286133","1580.51171875","1580.51171875","1580.51171875","444.42010498046875","444.42010498046875","444.42010498046875","43.828651428222656","43.828651428222656","43.828651428222656"
"509","1464.5064697265625","1464.5064697265625","1464.5064697265625","443.89508056640625","443.89508056640625","443.89508056640625","48.10017395019531","48.10017395019531","48.10017395019531","1465.822509765625","1465.822509765625","1465.822509765625","443.81634521484375","443.81634521484375","443.81634521484375","46.79795837402344","46.79795837402344","46.79795837402344"
"539","1303.615966796875","1303.615966796875","1303.615966796875","413.37646484375","413.37646484375","413.37646484375","37.187232971191406","37.187232971191406","37.187232971191406","1304.36328125","1304.36328125","1304.36328125","412.8310852050781","412.8310852050781","412.8310852050781","36.01530075073242","36.01530075073242","36.01530075073242"
"569","1555.0252685546875","1555.0252685546875","1555.0252685546875","451.4869384765625","451.4869384765625","451.4869384765625","44.02690505981445","44.02690505981445","44.02690505981445","1556.4935302734375","1556.4935302734375","1556.4935302734375","451.331787109375","451.331787109375","451.331787109375","42.36415100097656","42.36415100097656","42.36415100097656"
"599","1182.9130859375","1182.9130859375","1182.9130859375","335.41571044921875","335.41571044921875","335.41571044921875","35.937129974365234","35.937129974365234","35.937129974365234","1183.8834228515625","1183.8834228515625","1183.8834228515625","335.2514343261719","335.2514343261719","335.2514343261719","34.54914855957031","34.54914855957031","34.54914855957031"
"629","1011.5149536132812","1011.5149536132812","1011.5149536132812","330.6960754394531","330.6960754394531","330.6960754394531","41.910892486572266","41.910892486572266","41.910892486572266","1012.2947387695312","1012.2947387695312","1012.2947387695312","330.66522216796875","330.66522216796875","330.66522216796875","40.27252960205078","40.27252960205078","40.27252960205078"
"659","928.14453125","928.14453125","928.14453125","288.24029541015625","288.24029541015625","288.24029541015625","38.5450325012207","38.5450325012207","38.5450325012207","929.1143798828125","929.1143798828125","929.1143798828125","288.0847473144531","288.0847473144531","288.0847473144531","37.08641052246094","37.08641052246094","37.08641052246094"
"689","1041.9683837890625","1041.9683837890625","1041.9683837890625","294.0933837890625","294.0933837890625","294.0933837890625","33.34979248046875","33.34979248046875","33.34979248046875","1042.5177001953125","1042.5177001953125","1042.5177001953125","293.6537170410156","293.6537170410156","293.6537170410156","32.01096725463867","32.01096725463867","32.01096725463867"
"719","975.2023315429688","975.2023315429688","975.2023315429688","315.1253967285156","315.1253967285156","315.1253967285156","36.05483627319336","36.05483627319336","36.05483627319336","976.0809326171875","976.0809326171875","976.0809326171875","315.0478820800781","315.0478820800781","315.0478820800781","34.5264778137207","34.5264778137207","34.5264778137207"
"749","1143.91064453125","1143.91064453125","1143.91064453125","336.7249450683594","336.7249450683594","336.7249450683594","36.553871154785156","36.553871154785156","36.553871154785156","1144.673583984375","1144.673583984375","1144.673583984375","336.61297607421875","336.61297607421875","336.61297607421875","35.078208923339844","35.078208923339844","35.078208923339844"
"779","1113.028076171875","1113.028076171875","1113.028076171875","358.5650634765625","358.5650634765625","358.5650634765625","41.36372375488281","41.36372375488281","41.36372375488281","1114.057861328125","1114.057861328125","1114.057861328125","358.4201354980469","358.4201354980469","358.4201354980469","39.69825744628906","39.69825744628906","39.69825744628906"
"809","1414.39111328125","1414.39111328125","1414.39111328125","678.1117553710938","678.1117553710938","678.1117553710938","33.92160415649414","33.92160415649414","33.92160415649414","1414.1790771484375","1414.1790771484375","1414.1790771484375","682.0030517578125","682.0030517578125","682.0030517578125","32.579227447509766","32.579227447509766","32.579227447509766"
"839","1111.931884765625","1111.931884765625","1111.931884765625","360.8268737792969","360.8268737792969","360.8268737792969","37.224082946777344","37.224082946777344","37.224082946777344","1112.9783935546875","1112.9783935546875","1112.9783935546875","360.70458984375","360.70458984375","360.70458984375","35.833946228027344","35.833946228027344","35.833946228027344"
"869","1357.3243408203125","1357.3243408203125","1357.3243408203125","406.5381164550781","406.5381164550781","406.5381164550781","40.21286392211914","40.21286392211914","40.21286392211914","1357.4034423828125","1357.4034423828125","1357.4034423828125","405.50201416015625","405.50201416015625","405.50201416015625","38.56523513793945","38.56523513793945","38.56523513793945"
"899","1045.2158203125","1045.2158203125","1045.2158203125","328.7713928222656","328.7713928222656","328.7713928222656","35.190940856933594","35.190940856933594","35.190940856933594","1046.0972900390625","1046.0972900390625","1046.0972900390625","328.5941467285156","328.5941467285156","328.5941467285156","33.63303756713867","33.63303756713867","33.63303756713867"
"929","993.0472412109375","993.0472412109375","993.0472412109375","297.6687316894531","297.6687316894531","297.6687316894531","35.4790153503418","35.4790153503418","35.4790153503418","994.075439453125","994.075439453125","994.075439453125","297.6168518066406","297.6168518066406","297.6168518066406","34.03159713745117","34.03159713745117","34.03159713745117"
"959","1134.9681396484375","1134.9681396484375","1134.9681396484375","324.6837158203125","324.6837158203125","324.6837158203125","33.76172637939453","33.76172637939453","33.76172637939453","1135.881591796875","1135.881591796875","1135.881591796875","324.3141784667969","324.3141784667969","324.3141784667969","32.3380126953125","32.3380126953125","32.3380126953125"
"989","620.7103881835938","620.7103881835938","620.7103881835938","242.40750122070312","242.40750122070312","242.40750122070312","35.5236701965332","35.5236701965332","35.5236701965332","621.8692626953125","621.8692626953125","621.8692626953125","242.47952270507812","242.47952270507812","242.47952270507812","34.1065673828125","34.1065673828125","34.1065673828125"
"1019","1129.59033203125","1129.59033203125","1129.59033203125","422.7598876953125","422.7598876953125","422.7598876953125","32.001522064208984","32.001522064208984","32.001522064208984","1124.8331298828125","1124.8331298828125","1124.8331298828125","416.4464416503906","416.4464416503906","416.4464416503906","30.520456314086914","30.520456314086914","30.520456314086914"
"1049","607.8668823242188","607.8668823242188","607.8668823242188","225.25128173828125","225.25128173828125","225.25128173828125","35.53929138183594","35.53929138183594","35.53929138183594","609.1162109375","609.1162109375","609.1162109375","225.35406494140625","225.35406494140625","225.35406494140625","34.25849151611328","34.25849151611328","34.25849151611328"
"1079","541.8450927734375","541.8450927734375","541.8450927734375","214.39559936523438","214.39559936523438","214.39559936523438","36.0778694152832","36.0778694152832","36.0778694152832","542.7528076171875","542.7528076171875","542.7528076171875","214.4765625","214.4765625","214.4765625","34.597564697265625","34.597564697265625","34.597564697265625"
"1109","822.628173828125","822.628173828125","822.628173828125","234.71417236328125","234.71417236328125","234.71417236328125","31.229496002197266","31.229496002197266","31.229496002197266","822.4097290039062","822.4097290039062","822.4097290039062","234.59564208984375","234.59564208984375","234.59564208984375","29.8593692779541","29.8593692779541","29.8593692779541"
"1139","611.5950927734375","611.5950927734375","611.5950927734375","214.73487854003906","214.73487854003906","214.73487854003906","31.982772827148438","31.982772827148438","31.982772827148438","612.7452392578125","612.7452392578125","612.7452392578125","214.84738159179688","214.84738159179688","214.84738159179688","30.55574607849121","30.55574607849121","30.55574607849121"
"1169","807.1537475585938","807.1537475585938","807.1537475585938","234.87518310546875","234.87518310546875","234.87518310546875","31.406314849853516","31.406314849853516","31.406314849853516","808.5333251953125","808.5333251953125","808.5333251953125","234.80262756347656","234.80262756347656","234.80262756347656","29.9431209564209","29.9431209564209","29.9431209564209"
"1199","758.677734375","758.677734375","758.677734375","251.519775390625","251.519775390625","251.519775390625","35.062713623046875","35.062713623046875","35.062713623046875","760.1148071289062","760.1148071289062","760.1148071289062","251.8032989501953","251.8032989501953","251.8032989501953","33.52749252319336","33.52749252319336","33.52749252319336"
"1229","840.85498046875","840.85498046875","840.85498046875","291.1090087890625","291.1090087890625","291.1090087890625","30.51132583618164","30.51132583618164","30.51132583618164","836.5001220703125","836.5001220703125","836.5001220703125","288.2557678222656","288.2557678222656","288.2557678222656","29.372934341430664","29.372934341430664","29.372934341430664"
"1259","640.1346435546875","640.1346435546875","640.1346435546875","224.25648498535156","224.25648498535156","224.25648498535156","33.373374938964844","33.373374938964844","33.373374938964844","641.4314575195312","641.4314575195312","641.4314575195312","224.297607421875","224.297607421875","224.297607421875","32.13341522216797","32.13341522216797","32.13341522216797"
"1289","533.9993896484375","533.9993896484375","533.9993896484375","171.8954620361328","171.8954620361328","171.8954620361328","29.2857666015625","29.2857666015625","29.2857666015625","534.9188232421875","534.9188232421875","534.9188232421875","171.8585968017578","171.8585968017578","171.8585968017578","27.82291603088379","27.82291603088379","27.82291603088379"
"1319","532.9072265625","532.9072265625","532.9072265625","230.610107421875","230.610107421875","230.610107421875","25.463153839111328","25.463153839111328","25.463153839111328","533.8118286132812","533.8118286132812","533.8118286132812","230.7509002685547","230.7509002685547","230.7509002685547","24.314979553222656","24.314979553222656","24.314979553222656"
"1349","536.7413330078125","536.7413330078125","536.7413330078125","210.80943298339844","210.80943298339844","210.80943298339844","29.797088623046875","29.797088623046875","29.797088623046875","537.5239868164062","537.5239868164062","537.5239868164062","210.95542907714844","210.95542907714844","210.95542907714844","28.362611770629883","28.362611770629883","28.362611770629883"
"1379","438.17181396484375","438.17181396484375","438.17181396484375","173.19496154785156","173.19496154785156","173.19496154785156","28.657073974609375","28.657073974609375","28.657073974609375","439.2858581542969","439.2858581542969","439.2858581542969","173.1995849609375","173.1995849609375","173.1995849609375","27.50749397277832","27.50749397277832","27.50749397277832"
"1409","554.2191162109375","554.2191162109375","554.2191162109375","191.7129669189453","191.7129669189453","191.7129669189453","28.771451950073242","28.771451950073242","28.771451950073242","555.4452514648438","555.4452514648438","555.4452514648438","191.84190368652344","191.84190368652344","191.84190368652344","27.522220611572266","27.522220611572266","27.522220611572266"
"1439","654.85107421875","654.85107421875","654.85107421875","203.3262481689453","203.3262481689453","203.3262481689453","26.279388427734375","26.279388427734375","26.279388427734375","656.0609741210938","656.0609741210938","656.0609741210938","203.1678924560547","203.1678924560547","203.1678924560547","25.139720916748047","25.139720916748047","25.139720916748047"
"1469","731.4829711914062","731.4829711914062","731.4829711914062","254.26641845703125","254.26641845703125","254.26641845703125","29.233478546142578","29.233478546142578","29.233478546142578","733.2045288085938","733.2045288085938","733.2045288085938","254.4107208251953","254.4107208251953","254.4107208251953","28.149782180786133","28.149782180786133","28.149782180786133"
"1499","563.1492919921875","563.1492919921875","563.1492919921875","208.34152221679688","208.34152221679688","208.34152221679688","28.127845764160156","28.127845764160156","28.127845764160156","564.7548217773438","564.7548217773438","564.7548217773438","208.16490173339844","208.16490173339844","208.16490173339844","26.496479034423828","26.496479034423828","26.496479034423828"
"1529","404.7760314941406","404.7760314941406","404.7760314941406","160.83285522460938","160.83285522460938","160.83285522460938","26.920976638793945","26.920976638793945","26.920976638793945","405.24468994140625","405.24468994140625","405.24468994140625","160.9779815673828","160.9779815673828","160.9779815673828","25.77692413330078","25.77692413330078","25.77692413330078"
"1559","377.4206237792969","377.4206237792969","377.4206237792969","157.68319702148438","157.68319702148438","157.68319702148438","24.635393142700195","24.635393142700195","24.635393142700195","377.74072265625","377.74072265625","377.74072265625","157.46578979492188","157.46578979492188","157.46578979492188","23.53584861755371","23.53584861755371","23.53584861755371"
"1589","552.0488891601562","552.0488891601562","552.0488891601562","187.02247619628906","187.02247619628906","187.02247619628906","29.32735252380371","29.32735252380371","29.32735252380371","553.4395141601562","553.4395141601562","553.4395141601562","187.25308227539062","187.25308227539062","187.25308227539062","27.979320526123047","27.979320526123047","27.979320526123047"
"1619","530.3134155273438","530.3134155273438","530.3134155273438","198.79945373535156","198.79945373535156","198.79945373535156","26.13071060180664","26.13071060180664","26.13071060180664","530.9354858398438","530.9354858398438","530.9354858398438","198.8094024658203","198.8094024658203","198.8094024658203","25.0977725982666","25.0977725982666","25.0977725982666"
"1649","271.6533508300781","271.6533508300781","271.6533508300781","105.7294692993164","105.7294692993164","105.7294692993164","24.812231063842773","24.812231063842773","24.812231063842773","272.6844787597656","272.6844787597656","272.6844787597656","105.68106842041016","105.68106842041016","105.68106842041016","23.84724998474121","23.84724998474121","23.84724998474121"
"1679","393.0880432128906","393.0880432128906","393.0880432128906","144.99728393554688","144.99728393554688","144.99728393554688","25.07467269897461","25.07467269897461","25.07467269897461","394.8812561035156","394.8812561035156","394.8812561035156","144.9704132080078","144.9704132080078","144.9704132080078","23.68924331665039","23.68924331665039","23.68924331665039"
"1709","270.09173583984375","270.09173583984375","270.09173583984375","119.74063873291016","119.74063873291016","119.74063873291016","23.02364158630371","23.02364158630371","23.02364158630371","270.8075256347656","270.8075256347656","270.8075256347656","119.80640411376953","119.80640411376953","119.80640411376953","21.891176223754883","21.891176223754883","21.891176223754883"
"1739","232.08639526367188","232.08639526367188","232.08639526367188","105.62322998046875","105.62322998046875","105.62322998046875","22.99357795715332","22.99357795715332","22.99357795715332","232.93312072753906","232.93312072753906","232.93312072753906","105.65081787109375","105.65081787109375","105.65081787109375","22.0070743560791","22.0070743560791","22.0070743560791"
"1769","301.8888854980469","301.8888854980469","301.8888854980469","120.92618560791016","120.92618560791016","120.92618560791016","26.59322166442871","26.59322166442871","26.59322166442871","303.1224060058594","303.1224060058594","303.1224060058594","121.05140686035156","121.05140686035156","121.05140686035156","25.65852928161621","25.65852928161621","25.65852928161621"
"1799","240.0457000732422","240.0457000732422","240.0457000732422","103.9300765991211","103.9300765991211","103.9300765991211","21.932958602905273","21.932958602905273","21.932958602905273","240.98898315429688","240.98898315429688","240.98898315429688","103.83734130859375","103.83734130859375","103.83734130859375","21.05778694152832","21.05778694152832","21.05778694152832"
"1829","445.2955017089844","445.2955017089844","445.2955017089844","187.63291931152344","187.63291931152344","187.63291931152344","30.763545989990234","30.763545989990234","30.763545989990234","447.21783447265625","447.21783447265625","447.21783447265625","187.75753784179688","187.75753784179688","187.75753784179688","29.49246597290039","29.49246597290039","29.49246597290039"
"1859","411.2746276855469","411.2746276855469","411.2746276855469","154.9250946044922","154.9250946044922","154.9250946044922","25.903085708618164","25.903085708618164","25.903085708618164","413.091796875","413.091796875","413.091796875","154.95367431640625","154.95367431640625","154.95367431640625","24.898021697998047","24.898021697998047","24.898021697998047"
"1889","206.0998992919922","206.0998992919922","206.0998992919922","110.51480865478516","110.51480865478516","110.51480865478516","25.68010139465332","25.68010139465332","25.68010139465332","206.91217041015625","206.91217041015625","206.91217041015625","110.70132446289062","110.70132446289062","110.70132446289062","24.75715446472168","24.75715446472168","24.75715446472168"
"1919","370.4909362792969","370.4909362792969","370.4909362792969","201.23953247070312","201.23953247070312","201.23953247070312","28.568588256835938","28.568588256835938","28.568588256835938","371.9470520019531","371.9470520019531","371.9470520019531","200.2665557861328","200.2665557861328","200.2665557861328","27.562910079956055","27.562910079956055","27.562910079956055"
"1949","422.72686767578125","422.72686767578125","422.72686767578125","170.96096801757812","170.96096801757812","170.96096801757812","31.037837982177734","31.037837982177734","31.037837982177734","424.91943359375","424.91943359375","424.91943359375","171.4451141357422","171.4451141357422","171.4451141357422","29.706987380981445","29.706987380981445","29.706987380981445"
"1979","313.1608581542969","313.1608581542969","313.1608581542969","128.6875762939453","128.6875762939453","128.6875762939453","21.423452377319336","21.423452377319336","21.423452377319336","314.38311767578125","314.38311767578125","314.38311767578125","128.96798706054688","128.96798706054688","128.96798706054688","20.533464431762695","20.533464431762695","20.533464431762695"
"2009","256.8924865722656","256.8924865722656","256.8924865722656","127.22691345214844","127.22691345214844","127.22691345214844","23.196916580200195","23.196916580200195","23.196916580200195","257.8081359863281","257.8081359863281","257.8081359863281","127.29608154296875","127.29608154296875","127.29608154296875","22.287940979003906","22.287940979003906","22.287940979003906"
"2039","334.2447509765625","334.2447509765625","334.2447509765625","123.72542572021484","123.72542572021484","123.72542572021484","24.04747200012207","24.04747200012207","24.04747200012207","335.22222900390625","335.22222900390625","335.22222900390625","123.74104309082031","123.74104309082031","123.74104309082031","23.132429122924805","23.132429122924805","23.132429122924805"
"2069","389.4249267578125","389.4249267578125","389.4249267578125","158.625","158.625","158.625","26.15739631652832","26.15739631652832","26.15739631652832","391.28857421875","391.28857421875","391.28857421875","158.76507568359375","158.76507568359375","158.76507568359375","24.905242919921875","24.905242919921875","24.905242919921875"
"2099","380.14862060546875","380.14862060546875","380.14862060546875","155.36817932128906","155.36817932128906","155.36817932128906","26.066879272460938","26.066879272460938","26.066879272460938","381.64544677734375","381.64544677734375","381.64544677734375","155.44308471679688","155.44308471679688","155.44308471679688","24.822954177856445","24.822954177856445","24.822954177856445"
"2129","252.8855743408203","252.8855743408203","252.8855743408203","105.33935546875","105.33935546875","105.33935546875","22.04070281982422","22.04070281982422","22.04070281982422","253.7894287109375","253.7894287109375","253.7894287109375","105.28330993652344","105.28330993652344","105.28330993652344","21.351362228393555","21.351362228393555","21.351362228393555"
"2159","140.58853149414062","140.58853149414062","140.58853149414062","94.63019561767578","94.63019561767578","94.63019561767578","23.825721740722656","23.825721740722656","23.825721740722656","141.019287109375","141.019287109375","141.019287109375","94.71314239501953","94.71314239501953","94.71314239501953","22.891874313354492","22.891874313354492","22.891874313354492"
"2189","271.4280700683594","271.4280700683594","271.4280700683594","119.69252014160156","119.69252014160156","119.69252014160156","25.809675216674805","25.809675216674805","25.809675216674805","272.9010009765625","272.9010009765625","272.9010009765625","119.89714813232422","119.89714813232422","119.89714813232422","24.751039505004883","24.751039505004883","24.751039505004883"
"2219","320.3683776855469","320.3683776855469","320.3683776855469","137.1919708251953","137.1919708251953","137.1919708251953","20.35312843322754","20.35312843322754","20.35312843322754","321.7168273925781","321.7168273925781","321.7168273925781","137.3876953125","137.3876953125","137.3876953125","19.53822898864746","19.53822898864746","19.53822898864746"
"2249","258.9146728515625","258.9146728515625","258.9146728515625","101.95877838134766","101.95877838134766","101.95877838134766","21.03036880493164","21.03036880493164","21.03036880493164","260.0731201171875","260.0731201171875","260.0731201171875","101.96781921386719","101.96781921386719","101.96781921386719","20.293474197387695","20.293474197387695","20.293474197387695"
"2279","406.9797058105469","406.9797058105469","406.9797058105469","158.2691192626953","158.2691192626953","158.2691192626953","22.70657730102539","22.70657730102539","22.70657730102539","408.35931396484375","408.35931396484375","408.35931396484375","158.305419921875","158.305419921875","158.305419921875","21.871789932250977","21.871789932250977","21.871789932250977"
"2309","222.1308135986328","222.1308135986328","222.1308135986328","104.58090209960938","104.58090209960938","104.58090209960938","22.171173095703125","22.171173095703125","22.171173095703125","223.41636657714844","223.41636657714844","223.41636657714844","104.57559967041016","104.57559967041016","104.57559967041016","21.368724822998047","21.368724822998047","21.368724822998047"
"2339","219.93431091308594","219.93431091308594","219.93431091308594","97.66873168945312","97.66873168945312","97.66873168945312","22.145727157592773","22.145727157592773","22.145727157592773","221.2626953125","221.2626953125","221.2626953125","97.52642059326172","97.52642059326172","97.52642059326172","21.167583465576172","21.167583465576172","21.167583465576172"
"2369","276.084716796875","276.084716796875","276.084716796875","118.91425323486328","118.91425323486328","118.91425323486328","25.70832061767578","25.70832061767578","25.70832061767578","278.1894226074219","278.1894226074219","278.1894226074219","119.01019287109375","119.01019287109375","119.01019287109375","24.78733253479004","24.78733253479004","24.78733253479004"
"2399","216.46697998046875","216.46697998046875","216.46697998046875","169.11997985839844","169.11997985839844","169.11997985839844","20.508607864379883","20.508607864379883","20.508607864379883","217.3616180419922","217.3616180419922","217.3616180419922","162.89427185058594","162.89427185058594","162.89427185058594","19.820524215698242","19.820524215698242","19.820524215698242"
"2429","123.90323638916016","123.90323638916016","123.90323638916016","69.57931518554688","69.57931518554688","69.57931518554688","21.55636215209961","21.55636215209961","21.55636215209961","124.6525650024414","124.6525650024414","124.6525650024414","69.65861511230469","69.65861511230469","69.65861511230469","20.84917449951172","20.84917449951172","20.84917449951172"
"2459","92.18195343017578","92.18195343017578","92.18195343017578","66.26148986816406","66.26148986816406","66.26148986816406","19.478946685791016","19.478946685791016","19.478946685791016","92.37482452392578","92.37482452392578","92.37482452392578","66.10585021972656","66.10585021972656","66.10585021972656","18.877269744873047","18.877269744873047","18.877269744873047"
"2489","215.1238250732422","215.1238250732422","215.1238250732422","114.29239654541016","114.29239654541016","114.29239654541016","24.10820770263672","24.10820770263672","24.10820770263672","216.5047149658203","216.5047149658203","216.5047149658203","114.25973510742188","114.25973510742188","114.25973510742188","23.30988883972168","23.30988883972168","23.30988883972168"
