"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"13199","6.297633171081543","6.297633171081543","6.297633171081543","2.989053726196289","2.989053726196289","2.989053726196289","1.262600302696228","1.262600302696228","1.262600302696228","6.291297912597656","6.291297912597656","6.291297912597656","2.989300489425659","2.989300489425659","2.989300489425659","1.2620400190353394","1.2620400190353394","1.2620400190353394"
"13799","6.2506608963012695","6.2506608963012695","6.2506608963012695","3.0039258003234863","3.0039258003234863","3.0039258003234863","1.2605046033859253","1.2605046033859253","1.2605046033859253","6.257652759552002","6.257652759552002","6.257652759552002","3.0052082538604736","3.0052082538604736","3.0052082538604736","1.258678913116455","1.258678913116455","1.258678913116455"
"14399","6.287835597991943","6.287835597991943","6.287835597991943","3.0052859783172607","3.0052859783172607","3.0052859783172607","1.2594245672225952","1.2594245672225952","1.2594245672225952","6.286828994750977","6.286828994750977","6.286828994750977","3.004281997680664","3.004281997680664","3.004281997680664","1.260364055633545","1.260364055633545","1.260364055633545"
"14999","6.290116310119629","6.290116310119629","6.290116310119629","2.9915223121643066","2.9915223121643066","2.9915223121643066","1.2631984949111938","1.2631984949111938","1.2631984949111938","6.29194974899292","6.29194974899292","6.29194974899292","2.9918665885925293","2.9918665885925293","2.9918665885925293","1.2638601064682007","1.2638601064682007","1.2638601064682007"
"15599","6.307943820953369","6.307943820953369","6.307943820953369","2.9904186725616455","2.9904186725616455","2.9904186725616455","1.2587064504623413","1.2587064504623413","1.2587064504623413","6.306180477142334","6.306180477142334","6.306180477142334","2.9922187328338623","2.9922187328338623","2.9922187328338623","1.2593297958374023","1.2593297958374023","1.2593297958374023"
"16199","6.2469916343688965","6.2469916343688965","6.2469916343688965","3.001926898956299","3.001926898956299","3.001926898956299","1.2620514631271362","1.2620514631271362","1.2620514631271362","6.251030445098877","6.251030445098877","6.251030445098877","3.000354528427124","3.000354528427124","3.000354528427124","1.2600910663604736","1.2600910663604736","1.2600910663604736"
"16799","6.236212730407715","6.236212730407715","6.236212730407715","2.9961419105529785","2.9961419105529785","2.9961419105529785","1.249721884727478","1.249721884727478","1.249721884727478","6.236888885498047","6.236888885498047","6.236888885498047","2.995230197906494","2.995230197906494","2.995230197906494","1.2456785440444946","1.2456785440444946","1.2456785440444946"
"17399","6.275293827056885","6.275293827056885","6.275293827056885","3.0091311931610107","3.0091311931610107","3.0091311931610107","1.2593376636505127","1.2593376636505127","1.2593376636505127","6.276231288909912","6.276231288909912","6.276231288909912","3.0085155963897705","3.0085155963897705","3.0085155963897705","1.257327675819397","1.257327675819397","1.257327675819397"
"17999","6.275930881500244","6.275930881500244","6.275930881500244","3.0005664825439453","3.0005664825439453","3.0005664825439453","1.2525243759155273","1.2525243759155273","1.2525243759155273","6.26716947555542","6.26716947555542","6.26716947555542","3.0005626678466797","3.0005626678466797","3.0005626678466797","1.2531483173370361","1.2531483173370361","1.2531483173370361"
"18599","6.288972854614258","6.288972854614258","6.288972854614258","3.016188621520996","3.016188621520996","3.016188621520996","1.253106713294983","1.253106713294983","1.253106713294983","6.288395881652832","6.288395881652832","6.288395881652832","3.0182902812957764","3.0182902812957764","3.0182902812957764","1.2543095350265503","1.2543095350265503","1.2543095350265503"
"19199","6.288674831390381","6.288674831390381","6.288674831390381","2.995961904525757","2.995961904525757","2.995961904525757","1.258386492729187","1.258386492729187","1.258386492729187","6.296701431274414","6.296701431274414","6.296701431274414","2.9957854747772217","2.9957854747772217","2.9957854747772217","1.258814811706543","1.258814811706543","1.258814811706543"
"19799","6.267658710479736","6.267658710479736","6.267658710479736","2.997032880783081","2.997032880783081","2.997032880783081","1.2652970552444458","1.2652970552444458","1.2652970552444458","6.268471717834473","6.268471717834473","6.268471717834473","2.9989891052246094","2.9989891052246094","2.9989891052246094","1.2651857137680054","1.2651857137680054","1.2651857137680054"
