"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackPython - sparsity.l0__MAX"
"6599","12102.7412109375","12102.7412109375","12102.7412109375","11975.234375","11975.234375","11975.234375","12143.6376953125","12143.6376953125","12143.6376953125","10048.8486328125","10048.8486328125","10048.8486328125","11211.3125","11211.3125","11211.3125","10003.8583984375","10003.8583984375","10003.8583984375"
"7199","12097.728515625","12097.728515625","12097.728515625","11973.8349609375","11973.8349609375","11973.8349609375","12150.568359375","12150.568359375","12150.568359375","10161.345703125","10161.345703125","10161.345703125","11320.5244140625","11320.5244140625","11320.5244140625","9823.9755859375","9823.9755859375","9823.9755859375"
"7799","12102.89453125","12102.89453125","12102.89453125","12005.2177734375","12005.2177734375","12005.2177734375","12144.9140625","12144.9140625","12144.9140625","10224.7060546875","10224.7060546875","10224.7060546875","11408.5966796875","11408.5966796875","11408.5966796875","9651.4873046875","9651.4873046875","9651.4873046875"
"8399","12073.6943359375","12073.6943359375","12073.6943359375","11949.6640625","11949.6640625","11949.6640625","12126.5751953125","12126.5751953125","12126.5751953125","10258.125","10258.125","10258.125","11419.8671875","11419.8671875","11419.8671875","9498.48046875","9498.48046875","9498.48046875"
"8999","12065.0546875","12065.0546875","12065.0546875","11931.51953125","11931.51953125","11931.51953125","12147.0908203125","12147.0908203125","12147.0908203125","10323.2783203125","10323.2783203125","10323.2783203125","11429.119140625","11429.119140625","11429.119140625","9344.9248046875","9344.9248046875","9344.9248046875"
"9599","12091.1748046875","12091.1748046875","12091.1748046875","11965.8232421875","11965.8232421875","11965.8232421875","12147.3154296875","12147.3154296875","12147.3154296875","10398.6484375","10398.6484375","10398.6484375","11483.1328125","11483.1328125","11483.1328125","9223.7646484375","9223.7646484375","9223.7646484375"
"10199","12091.7744140625","12091.7744140625","12091.7744140625","11984.7080078125","11984.7080078125","11984.7080078125","12132.87890625","12132.87890625","12132.87890625","10407.7646484375","10407.7646484375","10407.7646484375","11484.8544921875","11484.8544921875","11484.8544921875","9078.3330078125","9078.3330078125","9078.3330078125"
"10799","12089.7529296875","12089.7529296875","12089.7529296875","11965.6826171875","11965.6826171875","11965.6826171875","12145.2685546875","12145.2685546875","12145.2685546875","10441.0771484375","10441.0771484375","10441.0771484375","11520.806640625","11520.806640625","11520.806640625","8992.9951171875","8992.9951171875","8992.9951171875"
"11399","12090.1943359375","12090.1943359375","12090.1943359375","11965.7744140625","11965.7744140625","11965.7744140625","12140.1083984375","12140.1083984375","12140.1083984375","10444.8544921875","10444.8544921875","10444.8544921875","11536.0966796875","11536.0966796875","11536.0966796875","8879.8154296875","8879.8154296875","8879.8154296875"
"11999","12086.2724609375","12086.2724609375","12086.2724609375","11940.2255859375","11940.2255859375","11940.2255859375","12142.4326171875","12142.4326171875","12142.4326171875","10484.837890625","10484.837890625","10484.837890625","11529.8466796875","11529.8466796875","11529.8466796875","8779.556640625","8779.556640625","8779.556640625"
"12599","12083.3935546875","12083.3935546875","12083.3935546875","11936.7001953125","11936.7001953125","11936.7001953125","12139.1064453125","12139.1064453125","12139.1064453125","10497.9658203125","10497.9658203125","10497.9658203125","11506.578125","11506.578125","11506.578125","8683.974609375","8683.974609375","8683.974609375"
"13199","12097.6298828125","12097.6298828125","12097.6298828125","11940.19921875","11940.19921875","11940.19921875","12142.6943359375","12142.6943359375","12142.6943359375","10517.0478515625","10517.0478515625","10517.0478515625","11518.96875","11518.96875","11518.96875","8588.5927734375","8588.5927734375","8588.5927734375"
"13799","12087.869140625","12087.869140625","12087.869140625","11936.3310546875","11936.3310546875","11936.3310546875","12150.2783203125","12150.2783203125","12150.2783203125","10520.8896484375","10520.8896484375","10520.8896484375","11527.7197265625","11527.7197265625","11527.7197265625","8524.994140625","8524.994140625","8524.994140625"
"14399","12094.037109375","12094.037109375","12094.037109375","11939.7724609375","11939.7724609375","11939.7724609375","12154.908203125","12154.908203125","12154.908203125","10525.623046875","10525.623046875","10525.623046875","11527.2109375","11527.2109375","11527.2109375","8426.0908203125","8426.0908203125","8426.0908203125"
"14999","12098.9169921875","12098.9169921875","12098.9169921875","11930.6640625","11930.6640625","11930.6640625","12146.5927734375","12146.5927734375","12146.5927734375","10524.2392578125","10524.2392578125","10524.2392578125","11523.98046875","11523.98046875","11523.98046875","8334.556640625","8334.556640625","8334.556640625"
"15599","12079.7314453125","12079.7314453125","12079.7314453125","11926.265625","11926.265625","11926.265625","12143.6162109375","12143.6162109375","12143.6162109375","10523.150390625","10523.150390625","10523.150390625","11521.8876953125","11521.8876953125","11521.8876953125","8260.9091796875","8260.9091796875","8260.9091796875"
"16199","12102.8271484375","12102.8271484375","12102.8271484375","11956.56640625","11956.56640625","11956.56640625","12145.474609375","12145.474609375","12145.474609375","10539.5634765625","10539.5634765625","10539.5634765625","11503.84375","11503.84375","11503.84375","8186.8125","8186.8125","8186.8125"
"16799","12102.96484375","12102.96484375","12102.96484375","11944.056640625","11944.056640625","11944.056640625","12143.7783203125","12143.7783203125","12143.7783203125","10533.400390625","10533.400390625","10533.400390625","11484.1787109375","11484.1787109375","11484.1787109375","8119.60009765625","8119.60009765625","8119.60009765625"
"17399","12084.265625","12084.265625","12084.265625","11930.7255859375","11930.7255859375","11930.7255859375","12138.9169921875","12138.9169921875","12138.9169921875","10531.1123046875","10531.1123046875","10531.1123046875","11472.146484375","11472.146484375","11472.146484375","8029.88134765625","8029.88134765625","8029.88134765625"
"17999","12087.712890625","12087.712890625","12087.712890625","11962.0224609375","11962.0224609375","11962.0224609375","12131.8759765625","12131.8759765625","12131.8759765625","10538.4521484375","10538.4521484375","10538.4521484375","11481.9091796875","11481.9091796875","11481.9091796875","7978.5166015625","7978.5166015625","7978.5166015625"
"18599","12081.5576171875","12081.5576171875","12081.5576171875","11944.2744140625","11944.2744140625","11944.2744140625","12126.4228515625","12126.4228515625","12126.4228515625","10538.0732421875","10538.0732421875","10538.0732421875","11482.5439453125","11482.5439453125","11482.5439453125","7920.01513671875","7920.01513671875","7920.01513671875"
"19199","12088.515625","12088.515625","12088.515625","11960.0419921875","11960.0419921875","11960.0419921875","12133.0078125","12133.0078125","12133.0078125","10542.544921875","10542.544921875","10542.544921875","11474.6015625","11474.6015625","11474.6015625","7843.12646484375","7843.12646484375","7843.12646484375"
"19799","12092.6826171875","12092.6826171875","12092.6826171875","11960.890625","11960.890625","11960.890625","12129.888671875","12129.888671875","12129.888671875","10542.0732421875","10542.0732421875","10542.0732421875","11479.830078125","11479.830078125","11479.830078125","7776.91650390625","7776.91650390625","7776.91650390625"
