"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"6599","2.7175755500793457","2.7175755500793457","2.7175755500793457","0.6180893182754517","0.6180893182754517","0.6180893182754517","0.9390076994895935","0.9390076994895935","0.9390076994895935","2.719665765762329","2.719665765762329","2.719665765762329","0.619062066078186","0.619062066078186","0.619062066078186","0.93964684009552","0.93964684009552","0.93964684009552"
"7199","2.716693162918091","2.716693162918091","2.716693162918091","0.6185421347618103","0.6185421347618103","0.6185421347618103","0.9401847124099731","0.9401847124099731","0.9401847124099731","2.7224104404449463","2.7224104404449463","2.7224104404449463","0.6199544072151184","0.6199544072151184","0.6199544072151184","0.9403112530708313","0.9403112530708313","0.9403112530708313"
"7799","2.7157905101776123","2.7157905101776123","2.7157905101776123","0.6183996796607971","0.6183996796607971","0.6183996796607971","0.9394928216934204","0.9394928216934204","0.9394928216934204","2.7198550701141357","2.7198550701141357","2.7198550701141357","0.6195639967918396","0.6195639967918396","0.6195639967918396","0.9396665692329407","0.9396665692329407","0.9396665692329407"
"8399","2.7169604301452637","2.7169604301452637","2.7169604301452637","0.6186853647232056","0.6186853647232056","0.6186853647232056","0.9400526285171509","0.9400526285171509","0.9400526285171509","2.7220005989074707","2.7220005989074707","2.7220005989074707","0.6190568804740906","0.6190568804740906","0.6190568804740906","0.940071702003479","0.940071702003479","0.940071702003479"
"8999","2.719813585281372","2.719813585281372","2.719813585281372","0.618441641330719","0.618441641330719","0.618441641330719","0.9392034411430359","0.9392034411430359","0.9392034411430359","2.723423480987549","2.723423480987549","2.723423480987549","0.6193169355392456","0.6193169355392456","0.6193169355392456","0.9400251507759094","0.9400251507759094","0.9400251507759094"
"9599","2.717933177947998","2.717933177947998","2.717933177947998","0.6188591122627258","0.6188591122627258","0.6188591122627258","0.9405357241630554","0.9405357241630554","0.9405357241630554","2.724334955215454","2.724334955215454","2.724334955215454","0.6197935342788696","0.6197935342788696","0.6197935342788696","0.940319836139679","0.940319836139679","0.940319836139679"
"10199","2.7189512252807617","2.7189512252807617","2.7189512252807617","0.6183385848999023","0.6183385848999023","0.6183385848999023","0.9413822293281555","0.9413822293281555","0.9413822293281555","2.7157723903656006","2.7157723903656006","2.7157723903656006","0.6192650198936462","0.6192650198936462","0.6192650198936462","0.9405153393745422","0.9405153393745422","0.9405153393745422"
"10799","2.716064929962158","2.716064929962158","2.716064929962158","0.6183479428291321","0.6183479428291321","0.6183479428291321","0.9409140944480896","0.9409140944480896","0.9409140944480896","2.7213563919067383","2.7213563919067383","2.7213563919067383","0.6202608346939087","0.6202608346939087","0.6202608346939087","0.9413909316062927","0.9413909316062927","0.9413909316062927"
"11399","2.7177741527557373","2.7177741527557373","2.7177741527557373","0.6186049580574036","0.6186049580574036","0.6186049580574036","0.9404435157775879","0.9404435157775879","0.9404435157775879","2.720762014389038","2.720762014389038","2.720762014389038","0.6194292902946472","0.6194292902946472","0.6194292902946472","0.9404730200767517","0.9404730200767517","0.9404730200767517"
"11999","2.7187023162841797","2.7187023162841797","2.7187023162841797","0.6188015341758728","0.6188015341758728","0.6188015341758728","0.9390292167663574","0.9390292167663574","0.9390292167663574","2.7200703620910645","2.7200703620910645","2.7200703620910645","0.6191682815551758","0.6191682815551758","0.6191682815551758","0.9413647055625916","0.9413647055625916","0.9413647055625916"
"12599","2.71899676322937","2.71899676322937","2.71899676322937","0.6187576651573181","0.6187576651573181","0.6187576651573181","0.9400460124015808","0.9400460124015808","0.9400460124015808","2.718661308288574","2.718661308288574","2.718661308288574","0.6197779774665833","0.6197779774665833","0.6197779774665833","0.939856231212616","0.939856231212616","0.939856231212616"
"13199","2.718762159347534","2.718762159347534","2.718762159347534","0.6185618042945862","0.6185618042945862","0.6185618042945862","0.9405771493911743","0.9405771493911743","0.9405771493911743","2.7198290824890137","2.7198290824890137","2.7198290824890137","0.619397759437561","0.619397759437561","0.619397759437561","0.9405145049095154","0.9405145049095154","0.9405145049095154"
"13799","2.719205141067505","2.719205141067505","2.719205141067505","0.6182248592376709","0.6182248592376709","0.6182248592376709","0.9398937225341797","0.9398937225341797","0.9398937225341797","2.715277671813965","2.715277671813965","2.715277671813965","0.6186337471008301","0.6186337471008301","0.6186337471008301","0.9399514198303223","0.9399514198303223","0.9399514198303223"
"14399","2.718665838241577","2.718665838241577","2.718665838241577","0.6189621090888977","0.6189621090888977","0.6189621090888977","0.9401382803916931","0.9401382803916931","0.9401382803916931","2.720064878463745","2.720064878463745","2.720064878463745","0.6196649670600891","0.6196649670600891","0.6196649670600891","0.9405788779258728","0.9405788779258728","0.9405788779258728"
"14999","2.715092897415161","2.715092897415161","2.715092897415161","0.6190703511238098","0.6190703511238098","0.6190703511238098","0.9394782185554504","0.9394782185554504","0.9394782185554504","2.7187821865081787","2.7187821865081787","2.7187821865081787","0.619573712348938","0.619573712348938","0.619573712348938","0.9395491480827332","0.9395491480827332","0.9395491480827332"
"15599","2.714118719100952","2.714118719100952","2.714118719100952","0.6182057857513428","0.6182057857513428","0.6182057857513428","0.9395918250083923","0.9395918250083923","0.9395918250083923","2.7215964794158936","2.7215964794158936","2.7215964794158936","0.6190462708473206","0.6190462708473206","0.6190462708473206","0.939973771572113","0.939973771572113","0.939973771572113"
"16199","2.7170486450195312","2.7170486450195312","2.7170486450195312","0.6192432641983032","0.6192432641983032","0.6192432641983032","0.9389787912368774","0.9389787912368774","0.9389787912368774","2.7188451290130615","2.7188451290130615","2.7188451290130615","0.6193773150444031","0.6193773150444031","0.6193773150444031","0.9382667541503906","0.9382667541503906","0.9382667541503906"
"16799","2.7190136909484863","2.7190136909484863","2.7190136909484863","0.6184377670288086","0.6184377670288086","0.6184377670288086","0.9399900436401367","0.9399900436401367","0.9399900436401367","2.719013214111328","2.719013214111328","2.719013214111328","0.6188890337944031","0.6188890337944031","0.6188890337944031","0.9406524896621704","0.9406524896621704","0.9406524896621704"
"17399","2.718815326690674","2.718815326690674","2.718815326690674","0.6184083819389343","0.6184083819389343","0.6184083819389343","0.939204216003418","0.939204216003418","0.939204216003418","2.718289852142334","2.718289852142334","2.718289852142334","0.6199025511741638","0.6199025511741638","0.6199025511741638","0.9392058253288269","0.9392058253288269","0.9392058253288269"
"17999","2.7177677154541016","2.7177677154541016","2.7177677154541016","0.6181724667549133","0.6181724667549133","0.6181724667549133","0.9398893713951111","0.9398893713951111","0.9398893713951111","2.7195212841033936","2.7195212841033936","2.7195212841033936","0.6189671754837036","0.6189671754837036","0.6189671754837036","0.9407079815864563","0.9407079815864563","0.9407079815864563"
"18599","2.7184340953826904","2.7184340953826904","2.7184340953826904","0.618304967880249","0.618304967880249","0.618304967880249","0.9409591555595398","0.9409591555595398","0.9409591555595398","2.719464063644409","2.719464063644409","2.719464063644409","0.6192898154258728","0.6192898154258728","0.6192898154258728","0.9407057166099548","0.9407057166099548","0.9407057166099548"
"19199","2.71988844871521","2.71988844871521","2.71988844871521","0.6184591054916382","0.6184591054916382","0.6184591054916382","0.9395915269851685","0.9395915269851685","0.9395915269851685","2.7205092906951904","2.7205092906951904","2.7205092906951904","0.619612455368042","0.619612455368042","0.619612455368042","0.9398002624511719","0.9398002624511719","0.9398002624511719"
"19799","2.7182323932647705","2.7182323932647705","2.7182323932647705","0.6186923980712891","0.6186923980712891","0.6186923980712891","0.9399534463882446","0.9399534463882446","0.9399534463882446","2.7194132804870605","2.7194132804870605","2.7194132804870605","0.6196686029434204","0.6196686029434204","0.6196686029434204","0.9393553733825684","0.9393553733825684","0.9393553733825684"
