"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"6599","6.513333320617676","6.513333320617676","6.513333320617676","3.1241977214813232","3.1241977214813232","3.1241977214813232","1.2943997383117676","1.2943997383117676","1.2943997383117676","6.532949924468994","6.532949924468994","6.532949924468994","3.1264426708221436","3.1264426708221436","3.1264426708221436","1.2949182987213135","1.2949182987213135","1.2949182987213135"
"7199","6.5148515701293945","6.5148515701293945","6.5148515701293945","3.1140382289886475","3.1140382289886475","3.1140382289886475","1.2939605712890625","1.2939605712890625","1.2939605712890625","6.534976482391357","6.534976482391357","6.534976482391357","3.132258653640747","3.132258653640747","3.132258653640747","1.294488787651062","1.294488787651062","1.294488787651062"
"7799","6.5172576904296875","6.5172576904296875","6.5172576904296875","3.126554250717163","3.126554250717163","3.126554250717163","1.2947677373886108","1.2947677373886108","1.2947677373886108","6.5265727043151855","6.5265727043151855","6.5265727043151855","3.1298320293426514","3.1298320293426514","3.1298320293426514","1.2949182987213135","1.2949182987213135","1.2949182987213135"
"8399","6.5167365074157715","6.5167365074157715","6.5167365074157715","3.1309521198272705","3.1309521198272705","3.1309521198272705","1.2943499088287354","1.2943499088287354","1.2943499088287354","6.531854152679443","6.531854152679443","6.531854152679443","3.1338412761688232","3.1338412761688232","3.1338412761688232","1.2937504053115845","1.2937504053115845","1.2937504053115845"
"8999","6.512921333312988","6.512921333312988","6.512921333312988","3.1315953731536865","3.1315953731536865","3.1315953731536865","1.293784499168396","1.293784499168396","1.293784499168396","6.524631023406982","6.524631023406982","6.524631023406982","3.128732681274414","3.128732681274414","3.128732681274414","1.2938731908798218","1.2938731908798218","1.2938731908798218"
"9599","6.514805793762207","6.514805793762207","6.514805793762207","3.1331849098205566","3.1331849098205566","3.1331849098205566","1.2950037717819214","1.2950037717819214","1.2950037717819214","6.52560567855835","6.52560567855835","6.52560567855835","3.1197402477264404","3.1197402477264404","3.1197402477264404","1.2950586080551147","1.2950586080551147","1.2950586080551147"
"10199","6.513085842132568","6.513085842132568","6.513085842132568","3.1352529525756836","3.1352529525756836","3.1352529525756836","1.2943476438522339","1.2943476438522339","1.2943476438522339","6.50042724609375","6.50042724609375","6.50042724609375","3.127049684524536","3.127049684524536","3.127049684524536","1.2934404611587524","1.2934404611587524","1.2934404611587524"
"10799","6.517824649810791","6.517824649810791","6.517824649810791","3.133089303970337","3.133089303970337","3.133089303970337","1.2956602573394775","1.2956602573394775","1.2956602573394775","6.524453639984131","6.524453639984131","6.524453639984131","3.130406141281128","3.130406141281128","3.130406141281128","1.294100046157837","1.294100046157837","1.294100046157837"
"11399","6.507951259613037","6.507951259613037","6.507951259613037","3.130328893661499","3.130328893661499","3.130328893661499","1.2937206029891968","1.2937206029891968","1.2937206029891968","6.5348663330078125","6.5348663330078125","6.5348663330078125","3.1291205883026123","3.1291205883026123","3.1291205883026123","1.2942510843276978","1.2942510843276978","1.2942510843276978"
"11999","6.5045952796936035","6.5045952796936035","6.5045952796936035","3.1245815753936768","3.1245815753936768","3.1245815753936768","1.2949930429458618","1.2949930429458618","1.2949930429458618","6.528183937072754","6.528183937072754","6.528183937072754","3.122554063796997","3.122554063796997","3.122554063796997","1.2939783334732056","1.2939783334732056","1.2939783334732056"
"12599","6.515379428863525","6.515379428863525","6.515379428863525","3.130452871322632","3.130452871322632","3.130452871322632","1.2951792478561401","1.2951792478561401","1.2951792478561401","6.505800724029541","6.505800724029541","6.505800724029541","3.128838300704956","3.128838300704956","3.128838300704956","1.2945795059204102","1.2945795059204102","1.2945795059204102"
"13199","6.513696193695068","6.513696193695068","6.513696193695068","3.1349048614501953","3.1349048614501953","3.1349048614501953","1.2944024801254272","1.2944024801254272","1.2944024801254272","6.515483379364014","6.515483379364014","6.515483379364014","3.1309726238250732","3.1309726238250732","3.1309726238250732","1.2950350046157837","1.2950350046157837","1.2950350046157837"
"13799","6.519998073577881","6.519998073577881","6.519998073577881","3.1320016384124756","3.1320016384124756","3.1320016384124756","1.2959531545639038","1.2959531545639038","1.2959531545639038","6.52022123336792","6.52022123336792","6.52022123336792","3.129197359085083","3.129197359085083","3.129197359085083","1.2946289777755737","1.2946289777755737","1.2946289777755737"
"14399","6.5267181396484375","6.5267181396484375","6.5267181396484375","3.132201671600342","3.132201671600342","3.132201671600342","1.2939304113388062","1.2939304113388062","1.2939304113388062","6.526429176330566","6.526429176330566","6.526429176330566","3.132772922515869","3.132772922515869","3.132772922515869","1.2949411869049072","1.2949411869049072","1.2949411869049072"
"14999","6.523474216461182","6.523474216461182","6.523474216461182","3.125913619995117","3.125913619995117","3.125913619995117","1.2958978414535522","1.2958978414535522","1.2958978414535522","6.527050018310547","6.527050018310547","6.527050018310547","3.1285393238067627","3.1285393238067627","3.1285393238067627","1.2938458919525146","1.2938458919525146","1.2938458919525146"
"15599","6.5301833152771","6.5301833152771","6.5301833152771","3.125178098678589","3.125178098678589","3.125178098678589","1.2941654920578003","1.2941654920578003","1.2941654920578003","6.52334451675415","6.52334451675415","6.52334451675415","3.1324234008789062","3.1324234008789062","3.1324234008789062","1.2945894002914429","1.2945894002914429","1.2945894002914429"
"16199","6.525664806365967","6.525664806365967","6.525664806365967","3.129087209701538","3.129087209701538","3.129087209701538","1.2951596975326538","1.2951596975326538","1.2951596975326538","6.534572124481201","6.534572124481201","6.534572124481201","3.127145767211914","3.127145767211914","3.127145767211914","1.2940386533737183","1.2940386533737183","1.2940386533737183"
"16799","6.516119480133057","6.516119480133057","6.516119480133057","3.12821888923645","3.12821888923645","3.12821888923645","1.2951031923294067","1.2951031923294067","1.2951031923294067","6.552781105041504","6.552781105041504","6.552781105041504","3.1278252601623535","3.1278252601623535","3.1278252601623535","1.2948458194732666","1.2948458194732666","1.2948458194732666"
"17399","6.542325019836426","6.542325019836426","6.542325019836426","3.134047269821167","3.134047269821167","3.134047269821167","1.295166015625","1.295166015625","1.295166015625","6.522072792053223","6.522072792053223","6.522072792053223","3.136258363723755","3.136258363723755","3.136258363723755","1.2944316864013672","1.2944316864013672","1.2944316864013672"
"17999","6.528232097625732","6.528232097625732","6.528232097625732","3.12925124168396","3.12925124168396","3.12925124168396","1.2948477268218994","1.2948477268218994","1.2948477268218994","6.506009578704834","6.506009578704834","6.506009578704834","3.134831190109253","3.134831190109253","3.134831190109253","1.2942055463790894","1.2942055463790894","1.2942055463790894"
"18599","6.540187358856201","6.540187358856201","6.540187358856201","3.112978458404541","3.112978458404541","3.112978458404541","1.2938976287841797","1.2938976287841797","1.2938976287841797","6.514050483703613","6.514050483703613","6.514050483703613","3.1150434017181396","3.1150434017181396","3.1150434017181396","1.294309139251709","1.294309139251709","1.294309139251709"
"19199","6.506015300750732","6.506015300750732","6.506015300750732","3.1251251697540283","3.1251251697540283","3.1251251697540283","1.2940226793289185","1.2940226793289185","1.2940226793289185","6.511679172515869","6.511679172515869","6.511679172515869","3.1409032344818115","3.1409032344818115","3.1409032344818115","1.2948369979858398","1.2948369979858398","1.2948369979858398"
"19799","6.524514198303223","6.524514198303223","6.524514198303223","3.1337926387786865","3.1337926387786865","3.1337926387786865","1.2943347692489624","1.2943347692489624","1.2943347692489624","6.507208347320557","6.507208347320557","6.507208347320557","3.1280579566955566","3.1280579566955566","3.1280579566955566","1.2949625253677368","1.2949625253677368","1.2949625253677368"
