"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l0__MAX"
"11399","168.8175506591797","168.8175506591797","168.8175506591797","163.63015747070312","163.63015747070312","163.63015747070312","585.52978515625","585.52978515625","585.52978515625","168.58193969726562","168.58193969726562","168.58193969726562","162.5907745361328","162.5907745361328","162.5907745361328","467.1510925292969","467.1510925292969","467.1510925292969"
"11999","161.8074951171875","161.8074951171875","161.8074951171875","156.92593383789062","156.92593383789062","156.92593383789062","574.8908081054688","574.8908081054688","574.8908081054688","161.37051391601562","161.37051391601562","161.37051391601562","155.76304626464844","155.76304626464844","155.76304626464844","458.140625","458.140625","458.140625"
"12599","154.9593505859375","154.9593505859375","154.9593505859375","150.07298278808594","150.07298278808594","150.07298278808594","551.5626831054688","551.5626831054688","551.5626831054688","154.7507781982422","154.7507781982422","154.7507781982422","149.00926208496094","149.00926208496094","149.00926208496094","438.7018737792969","438.7018737792969","438.7018737792969"
"13199","150.53929138183594","150.53929138183594","150.53929138183594","144.3153533935547","144.3153533935547","144.3153533935547","543.1047973632812","543.1047973632812","543.1047973632812","150.2733154296875","150.2733154296875","150.2733154296875","143.38670349121094","143.38670349121094","143.38670349121094","430.4840393066406","430.4840393066406","430.4840393066406"
"13799","139.7548828125","139.7548828125","139.7548828125","138.13658142089844","138.13658142089844","138.13658142089844","520.5220336914062","520.5220336914062","520.5220336914062","139.34573364257812","139.34573364257812","139.34573364257812","137.1404571533203","137.1404571533203","137.1404571533203","413.6280212402344","413.6280212402344","413.6280212402344"
"14399","139.14990234375","139.14990234375","139.14990234375","134.4031219482422","134.4031219482422","134.4031219482422","514.0850830078125","514.0850830078125","514.0850830078125","138.88633728027344","138.88633728027344","138.88633728027344","133.1818389892578","133.1818389892578","133.1818389892578","407.8278503417969","407.8278503417969","407.8278503417969"
"14999","135.327880859375","135.327880859375","135.327880859375","130.8729248046875","130.8729248046875","130.8729248046875","498.3703308105469","498.3703308105469","498.3703308105469","135.1254119873047","135.1254119873047","135.1254119873047","130.0004119873047","130.0004119873047","130.0004119873047","395.0240478515625","395.0240478515625","395.0240478515625"
"15599","130.8358917236328","130.8358917236328","130.8358917236328","124.5942611694336","124.5942611694336","124.5942611694336","482.576171875","482.576171875","482.576171875","130.6708984375","130.6708984375","130.6708984375","123.80732727050781","123.80732727050781","123.80732727050781","384.5091857910156","384.5091857910156","384.5091857910156"
"16199","125.63127899169922","125.63127899169922","125.63127899169922","119.4797592163086","119.4797592163086","119.4797592163086","471.5021667480469","471.5021667480469","471.5021667480469","125.5582504272461","125.5582504272461","125.5582504272461","118.80364227294922","118.80364227294922","118.80364227294922","375.4026794433594","375.4026794433594","375.4026794433594"
"16799","121.01130676269531","121.01130676269531","121.01130676269531","115.91912078857422","115.91912078857422","115.91912078857422","452.26397705078125","452.26397705078125","452.26397705078125","120.7760009765625","120.7760009765625","120.7760009765625","115.3758773803711","115.3758773803711","115.3758773803711","360.46185302734375","360.46185302734375","360.46185302734375"
"17399","118.1072006225586","118.1072006225586","118.1072006225586","112.0237808227539","112.0237808227539","112.0237808227539","444.2132873535156","444.2132873535156","444.2132873535156","118.10176086425781","118.10176086425781","118.10176086425781","111.4747085571289","111.4747085571289","111.4747085571289","353.4440612792969","353.4440612792969","353.4440612792969"
"17999","115.86067199707031","115.86067199707031","115.86067199707031","108.79096984863281","108.79096984863281","108.79096984863281","429.2738952636719","429.2738952636719","429.2738952636719","115.6658706665039","115.6658706665039","115.6658706665039","108.34648895263672","108.34648895263672","108.34648895263672","343.64111328125","343.64111328125","343.64111328125"
"18599","112.74492645263672","112.74492645263672","112.74492645263672","107.93635559082031","107.93635559082031","107.93635559082031","420.4274597167969","420.4274597167969","420.4274597167969","112.5885238647461","112.5885238647461","112.5885238647461","107.39910125732422","107.39910125732422","107.39910125732422","337.0050048828125","337.0050048828125","337.0050048828125"
"19199","107.58447265625","107.58447265625","107.58447265625","104.1743392944336","104.1743392944336","104.1743392944336","424.7724609375","424.7724609375","424.7724609375","107.45722961425781","107.45722961425781","107.45722961425781","103.92402648925781","103.92402648925781","103.92402648925781","338.0809020996094","338.0809020996094","338.0809020996094"
"19799","109.8241958618164","109.8241958618164","109.8241958618164","102.81719207763672","102.81719207763672","102.81719207763672","407.1974182128906","407.1974182128906","407.1974182128906","109.5289306640625","109.5289306640625","109.5289306640625","102.3938217163086","102.3938217163086","102.3938217163086","326.41290283203125","326.41290283203125","326.41290283203125"
