"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX"
"6599","4753.2236328125","4753.2236328125","4753.2236328125","4311.59912109375","4311.59912109375","4311.59912109375","3786.17041015625","3786.17041015625","3786.17041015625","3069.552490234375","3069.552490234375","3069.552490234375","3364.052490234375","3364.052490234375","3364.052490234375","3433.369140625","3433.369140625","3433.369140625"
"7199","4684.18505859375","4684.18505859375","4684.18505859375","4277.47802734375","4277.47802734375","4277.47802734375","3751.92041015625","3751.92041015625","3751.92041015625","3326.188232421875","3326.188232421875","3326.188232421875","3487.125","3487.125","3487.125","3413.463623046875","3413.463623046875","3413.463623046875"
"7799","4685.16015625","4685.16015625","4685.16015625","4334.05029296875","4334.05029296875","4334.05029296875","3755.84375","3755.84375","3755.84375","3480.434814453125","3480.434814453125","3480.434814453125","3588.250732421875","3588.250732421875","3588.250732421875","3393.060546875","3393.060546875","3393.060546875"
"8399","4645.26318359375","4645.26318359375","4645.26318359375","4237.162109375","4237.162109375","4237.162109375","3718.766357421875","3718.766357421875","3718.766357421875","3625.421875","3625.421875","3625.421875","3654.240234375","3654.240234375","3654.240234375","3393.483642578125","3393.483642578125","3393.483642578125"
"8999","4693.7724609375","4693.7724609375","4693.7724609375","4186.2431640625","4186.2431640625","4186.2431640625","3691.657958984375","3691.657958984375","3691.657958984375","3842.679443359375","3842.679443359375","3842.679443359375","3657.244873046875","3657.244873046875","3657.244873046875","3366.068115234375","3366.068115234375","3366.068115234375"
"9599","4681.6611328125","4681.6611328125","4681.6611328125","4237.828125","4237.828125","4237.828125","3705.710205078125","3705.710205078125","3705.710205078125","3927.88525390625","3927.88525390625","3927.88525390625","3752.837646484375","3752.837646484375","3752.837646484375","3375.123779296875","3375.123779296875","3375.123779296875"
"10199","4721.3134765625","4721.3134765625","4721.3134765625","4237.2890625","4237.2890625","4237.2890625","3680.649169921875","3680.649169921875","3680.649169921875","4047.200927734375","4047.200927734375","4047.200927734375","3794.823486328125","3794.823486328125","3794.823486328125","3353.331298828125","3353.331298828125","3353.331298828125"
"10799","4598.572265625","4598.572265625","4598.572265625","4166.73681640625","4166.73681640625","4166.73681640625","3602.462646484375","3602.462646484375","3602.462646484375","4104.3720703125","4104.3720703125","4104.3720703125","3814.239990234375","3814.239990234375","3814.239990234375","3330.71484375","3330.71484375","3330.71484375"
"11399","4513.5712890625","4513.5712890625","4513.5712890625","4036.88525390625","4036.88525390625","4036.88525390625","3507.335205078125","3507.335205078125","3507.335205078125","4050.557861328125","4050.557861328125","4050.557861328125","3871.492919921875","3871.492919921875","3871.492919921875","3321.034912109375","3321.034912109375","3321.034912109375"
"11999","4564.4921875","4564.4921875","4564.4921875","4035.37158203125","4035.37158203125","4035.37158203125","3514.26953125","3514.26953125","3514.26953125","4209.21826171875","4209.21826171875","4209.21826171875","3785.58447265625","3785.58447265625","3785.58447265625","3288.276611328125","3288.276611328125","3288.276611328125"
"12599","4508.13037109375","4508.13037109375","4508.13037109375","4018.013427734375","4018.013427734375","4018.013427734375","3552.413330078125","3552.413330078125","3552.413330078125","4246.03173828125","4246.03173828125","4246.03173828125","3748.585205078125","3748.585205078125","3748.585205078125","3279.743896484375","3279.743896484375","3279.743896484375"
"13199","4625.16796875","4625.16796875","4625.16796875","4103.0908203125","4103.0908203125","4103.0908203125","3559.45166015625","3559.45166015625","3559.45166015625","4311.14697265625","4311.14697265625","4311.14697265625","3812.312255859375","3812.312255859375","3812.312255859375","3265.3408203125","3265.3408203125","3265.3408203125"
"13799","4438.5380859375","4438.5380859375","4438.5380859375","4015.808349609375","4015.808349609375","4015.808349609375","3418.844482421875","3418.844482421875","3418.844482421875","4302.68505859375","4302.68505859375","4302.68505859375","3822.177490234375","3822.177490234375","3822.177490234375","3249.034423828125","3249.034423828125","3249.034423828125"
"14399","4559.046875","4559.046875","4559.046875","4070.39697265625","4070.39697265625","4070.39697265625","3508.841552734375","3508.841552734375","3508.841552734375","4329.8125","4329.8125","4329.8125","3853.80859375","3853.80859375","3853.80859375","3244.623046875","3244.623046875","3244.623046875"
"14999","4499.16162109375","4499.16162109375","4499.16162109375","4035.085205078125","4035.085205078125","4035.085205078125","3444.95947265625","3444.95947265625","3444.95947265625","4340.85888671875","4340.85888671875","4340.85888671875","3821.5078125","3821.5078125","3821.5078125","3206.682373046875","3206.682373046875","3206.682373046875"
"15599","4428.78466796875","4428.78466796875","4428.78466796875","3976.23046875","3976.23046875","3976.23046875","3427.237548828125","3427.237548828125","3427.237548828125","4297.57177734375","4297.57177734375","4297.57177734375","3790.748046875","3790.748046875","3790.748046875","3218.712646484375","3218.712646484375","3218.712646484375"
"16199","4463.69970703125","4463.69970703125","4463.69970703125","4010.581298828125","4010.581298828125","4010.581298828125","3436.81494140625","3436.81494140625","3436.81494140625","4344.05419921875","4344.05419921875","4344.05419921875","3823.977783203125","3823.977783203125","3823.977783203125","3202.994873046875","3202.994873046875","3202.994873046875"
"16799","4374.04296875","4374.04296875","4374.04296875","3896.462646484375","3896.462646484375","3896.462646484375","3348.846923828125","3348.846923828125","3348.846923828125","4364.99365234375","4364.99365234375","4364.99365234375","3788.214111328125","3788.214111328125","3788.214111328125","3196.788330078125","3196.788330078125","3196.788330078125"
"17399","4400.73583984375","4400.73583984375","4400.73583984375","3945.995361328125","3945.995361328125","3945.995361328125","3353.686767578125","3353.686767578125","3353.686767578125","4346.43408203125","4346.43408203125","4346.43408203125","3784.001708984375","3784.001708984375","3784.001708984375","3168.31787109375","3168.31787109375","3168.31787109375"
"17999","4350.3876953125","4350.3876953125","4350.3876953125","3865.94189453125","3865.94189453125","3865.94189453125","3295.579833984375","3295.579833984375","3295.579833984375","4361.18798828125","4361.18798828125","4361.18798828125","3765.322021484375","3765.322021484375","3765.322021484375","3157.033203125","3157.033203125","3157.033203125"
"18599","4416.83349609375","4416.83349609375","4416.83349609375","3910.65087890625","3910.65087890625","3910.65087890625","3344.369140625","3344.369140625","3344.369140625","4309.69873046875","4309.69873046875","4309.69873046875","3788.901611328125","3788.901611328125","3788.901611328125","3146.032470703125","3146.032470703125","3146.032470703125"
"19199","4496.15673828125","4496.15673828125","4496.15673828125","3915.39111328125","3915.39111328125","3915.39111328125","3367.697021484375","3367.697021484375","3367.697021484375","4341.13818359375","4341.13818359375","4341.13818359375","3802.712158203125","3802.712158203125","3802.712158203125","3150.80224609375","3150.80224609375","3150.80224609375"
"19799","4445.0205078125","4445.0205078125","4445.0205078125","3955.188720703125","3955.188720703125","3955.188720703125","3307.489990234375","3307.489990234375","3307.489990234375","4336.96826171875","4336.96826171875","4336.96826171875","3818.208984375","3818.208984375","3818.208984375","3119.259033203125","3119.259033203125","3119.259033203125"
