"Step","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_resid_mid_gpt2_jumprelu_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"329","927.0950317382812","927.0950317382812","927.0950317382812","191.9723358154297","191.9723358154297","191.9723358154297","15.474921226501465","15.474921226501465","15.474921226501465","924.3736572265625","924.3736572265625","924.3736572265625","190.7376251220703","190.7376251220703","190.7376251220703","14.403453826904297","14.403453826904297","14.403453826904297"
"359","1252.8193359375","1252.8193359375","1252.8193359375","266.1044616699219","266.1044616699219","266.1044616699219","15.61555004119873","15.61555004119873","15.61555004119873","1250.7510986328125","1250.7510986328125","1250.7510986328125","265.7397155761719","265.7397155761719","265.7397155761719","14.535173416137695","14.535173416137695","14.535173416137695"
"389","1074.981689453125","1074.981689453125","1074.981689453125","232.03024291992188","232.03024291992188","232.03024291992188","15.499125480651855","15.499125480651855","15.499125480651855","1072.243896484375","1072.243896484375","1072.243896484375","231.6072540283203","231.6072540283203","231.6072540283203","14.528727531433105","14.528727531433105","14.528727531433105"
"419","943.6825561523438","943.6825561523438","943.6825561523438","201.85211181640625","201.85211181640625","201.85211181640625","13.086254119873047","13.086254119873047","13.086254119873047","936.10693359375","936.10693359375","936.10693359375","198.8380889892578","198.8380889892578","198.8380889892578","12.184496879577637","12.184496879577637","12.184496879577637"
"449","897.9375","897.9375","897.9375","189.1844940185547","189.1844940185547","189.1844940185547","10.845367431640625","10.845367431640625","10.845367431640625","891.984619140625","891.984619140625","891.984619140625","190.1970977783203","190.1970977783203","190.1970977783203","10.050865173339844","10.050865173339844","10.050865173339844"
"479","931.7081909179688","931.7081909179688","931.7081909179688","199.21348571777344","199.21348571777344","199.21348571777344","10.655868530273438","10.655868530273438","10.655868530273438","926.3418579101562","926.3418579101562","926.3418579101562","198.07530212402344","198.07530212402344","198.07530212402344","9.90726089477539","9.90726089477539","9.90726089477539"
"509","932.6369018554688","932.6369018554688","932.6369018554688","195.3599395751953","195.3599395751953","195.3599395751953","10.653302192687988","10.653302192687988","10.653302192687988","927.9360961914062","927.9360961914062","927.9360961914062","192.0793914794922","192.0793914794922","192.0793914794922","9.906509399414062","9.906509399414062","9.906509399414062"
"539","878.3295288085938","878.3295288085938","878.3295288085938","207.85800170898438","207.85800170898438","207.85800170898438","8.73848819732666","8.73848819732666","8.73848819732666","863.0654296875","863.0654296875","863.0654296875","215.10194396972656","215.10194396972656","215.10194396972656","8.040018081665039","8.040018081665039","8.040018081665039"
"569","900.7965698242188","900.7965698242188","900.7965698242188","163.13424682617188","163.13424682617188","163.13424682617188","7.267599105834961","7.267599105834961","7.267599105834961","894.2034301757812","894.2034301757812","894.2034301757812","161.024658203125","161.024658203125","161.024658203125","6.696996688842773","6.696996688842773","6.696996688842773"
"599","697.188720703125","697.188720703125","697.188720703125","137.75889587402344","137.75889587402344","137.75889587402344","8.0369873046875","8.0369873046875","8.0369873046875","683.3650512695312","683.3650512695312","683.3650512695312","136.2576141357422","136.2576141357422","136.2576141357422","7.387299537658691","7.387299537658691","7.387299537658691"
"629","565.7310180664062","565.7310180664062","565.7310180664062","100.44190979003906","100.44190979003906","100.44190979003906","5.608279705047607","5.608279705047607","5.608279705047607","557.0667114257812","557.0667114257812","557.0667114257812","96.87353515625","96.87353515625","96.87353515625","5.124994277954102","5.124994277954102","5.124994277954102"
"659","552.9439697265625","552.9439697265625","552.9439697265625","113.59744262695312","113.59744262695312","113.59744262695312","5.92043399810791","5.92043399810791","5.92043399810791","541.9229125976562","541.9229125976562","541.9229125976562","114.09326171875","114.09326171875","114.09326171875","5.391987323760986","5.391987323760986","5.391987323760986"
"689","551.1283569335938","551.1283569335938","551.1283569335938","139.44796752929688","139.44796752929688","139.44796752929688","5.817457675933838","5.817457675933838","5.817457675933838","545.17578125","545.17578125","545.17578125","135.98959350585938","135.98959350585938","135.98959350585938","5.3165202140808105","5.3165202140808105","5.3165202140808105"
"719","482.8404541015625","482.8404541015625","482.8404541015625","107.62646484375","107.62646484375","107.62646484375","4.961542129516602","4.961542129516602","4.961542129516602","473.0054626464844","473.0054626464844","473.0054626464844","104.51909637451172","104.51909637451172","104.51909637451172","4.552718639373779","4.552718639373779","4.552718639373779"
"749","610.0787963867188","610.0787963867188","610.0787963867188","120.98929595947266","120.98929595947266","120.98929595947266","5.539988994598389","5.539988994598389","5.539988994598389","595.778564453125","595.778564453125","595.778564453125","117.84033966064453","117.84033966064453","117.84033966064453","5.059370994567871","5.059370994567871","5.059370994567871"
"779","431.79248046875","431.79248046875","431.79248046875","92.39420318603516","92.39420318603516","92.39420318603516","4.340817928314209","4.340817928314209","4.340817928314209","418.86767578125","418.86767578125","418.86767578125","88.97796630859375","88.97796630859375","88.97796630859375","3.9618797302246094","3.9618797302246094","3.9618797302246094"
"809","645.4854736328125","645.4854736328125","645.4854736328125","365.5683898925781","365.5683898925781","365.5683898925781","4.29475212097168","4.29475212097168","4.29475212097168","645.2369384765625","645.2369384765625","645.2369384765625","274.05340576171875","274.05340576171875","274.05340576171875","3.885789394378662","3.885789394378662","3.885789394378662"
"839","466.6006164550781","466.6006164550781","466.6006164550781","97.7498779296875","97.7498779296875","97.7498779296875","4.340847969055176","4.340847969055176","4.340847969055176","449.34234619140625","449.34234619140625","449.34234619140625","93.84214782714844","93.84214782714844","93.84214782714844","3.9773693084716797","3.9773693084716797","3.9773693084716797"
"869","635.3711547851562","635.3711547851562","635.3711547851562","198.68899536132812","198.68899536132812","198.68899536132812","3.7224814891815186","3.7224814891815186","3.7224814891815186","646.9273071289062","646.9273071289062","646.9273071289062","202.40452575683594","202.40452575683594","202.40452575683594","3.392338752746582","3.392338752746582","3.392338752746582"
"899","457.906005859375","457.906005859375","457.906005859375","92.26730346679688","92.26730346679688","92.26730346679688","4.253818035125732","4.253818035125732","4.253818035125732","437.94036865234375","437.94036865234375","437.94036865234375","87.8208999633789","87.8208999633789","87.8208999633789","3.8804287910461426","3.8804287910461426","3.8804287910461426"
"929","426.59716796875","426.59716796875","426.59716796875","93.25328826904297","93.25328826904297","93.25328826904297","4.012076377868652","4.012076377868652","4.012076377868652","405.36090087890625","405.36090087890625","405.36090087890625","87.57251739501953","87.57251739501953","87.57251739501953","3.6572418212890625","3.6572418212890625","3.6572418212890625"
"959","443.1504211425781","443.1504211425781","443.1504211425781","101.39216613769531","101.39216613769531","101.39216613769531","3.7631096839904785","3.7631096839904785","3.7631096839904785","422.1204833984375","422.1204833984375","422.1204833984375","97.08527374267578","97.08527374267578","97.08527374267578","3.4323794841766357","3.4323794841766357","3.4323794841766357"
"989","212.05950927734375","212.05950927734375","212.05950927734375","42.93034744262695","42.93034744262695","42.93034744262695","3.2303099632263184","3.2303099632263184","3.2303099632263184","201.34117126464844","201.34117126464844","201.34117126464844","42.220054626464844","42.220054626464844","42.220054626464844","2.9853954315185547","2.9853954315185547","2.9853954315185547"
"1019","483.6073303222656","483.6073303222656","483.6073303222656","303.1658630371094","303.1658630371094","303.1658630371094","2.8023905754089355","2.8023905754089355","2.8023905754089355","464.7680358886719","464.7680358886719","464.7680358886719","324.7000427246094","324.7000427246094","324.7000427246094","2.539787530899048","2.539787530899048","2.539787530899048"
"1049","244.15060424804688","244.15060424804688","244.15060424804688","55.21168518066406","55.21168518066406","55.21168518066406","3.0123283863067627","3.0123283863067627","3.0123283863067627","237.5867919921875","237.5867919921875","237.5867919921875","55.45963668823242","55.45963668823242","55.45963668823242","2.7716264724731445","2.7716264724731445","2.7716264724731445"
"1079","153.87789916992188","153.87789916992188","153.87789916992188","37.66153335571289","37.66153335571289","37.66153335571289","2.471712112426758","2.471712112426758","2.471712112426758","148.62408447265625","148.62408447265625","148.62408447265625","36.260990142822266","36.260990142822266","36.260990142822266","2.2631051540374756","2.2631051540374756","2.2631051540374756"
"1109","525.6470947265625","525.6470947265625","525.6470947265625","106.36516571044922","106.36516571044922","106.36516571044922","2.508606195449829","2.508606195449829","2.508606195449829","519.0838623046875","519.0838623046875","519.0838623046875","103.3177719116211","103.3177719116211","103.3177719116211","2.2819321155548096","2.2819321155548096","2.2819321155548096"
"1139","199.80116271972656","199.80116271972656","199.80116271972656","46.62099838256836","46.62099838256836","46.62099838256836","2.257392644882202","2.257392644882202","2.257392644882202","192.75784301757812","192.75784301757812","192.75784301757812","45.010169982910156","45.010169982910156","45.010169982910156","2.080674409866333","2.080674409866333","2.080674409866333"
"1169","209.67271423339844","209.67271423339844","209.67271423339844","42.640525817871094","42.640525817871094","42.640525817871094","2.3002078533172607","2.3002078533172607","2.3002078533172607","200.43023681640625","200.43023681640625","200.43023681640625","42.12977981567383","42.12977981567383","42.12977981567383","2.1206114292144775","2.1206114292144775","2.1206114292144775"
"1199","235.4290313720703","235.4290313720703","235.4290313720703","44.301231384277344","44.301231384277344","44.301231384277344","2.149142026901245","2.149142026901245","2.149142026901245","226.3352813720703","226.3352813720703","226.3352813720703","45.32708740234375","45.32708740234375","45.32708740234375","2.0043327808380127","2.0043327808380127","2.0043327808380127"
"1229","386.2326354980469","386.2326354980469","386.2326354980469","226.74508666992188","226.74508666992188","226.74508666992188","1.7033852338790894","1.7033852338790894","1.7033852338790894","328.31170654296875","328.31170654296875","328.31170654296875","225.96209716796875","225.96209716796875","225.96209716796875","1.5517959594726562","1.5517959594726562","1.5517959594726562"
"1259","187.50257873535156","187.50257873535156","187.50257873535156","45.36387634277344","45.36387634277344","45.36387634277344","2.254927396774292","2.254927396774292","2.254927396774292","181.73583984375","181.73583984375","181.73583984375","45.30519485473633","45.30519485473633","45.30519485473633","2.1264615058898926","2.1264615058898926","2.1264615058898926"
"1289","137.7726287841797","137.7726287841797","137.7726287841797","33.55903625488281","33.55903625488281","33.55903625488281","1.78220796585083","1.78220796585083","1.78220796585083","134.4618377685547","134.4618377685547","134.4618377685547","32.71487045288086","32.71487045288086","32.71487045288086","1.649091124534607","1.649091124534607","1.649091124534607"
"1319","169.55401611328125","169.55401611328125","169.55401611328125","53.48764419555664","53.48764419555664","53.48764419555664","1.854583740234375","1.854583740234375","1.854583740234375","168.16970825195312","168.16970825195312","168.16970825195312","74.65611267089844","74.65611267089844","74.65611267089844","1.7472796440124512","1.7472796440124512","1.7472796440124512"
"1349","162.0433807373047","162.0433807373047","162.0433807373047","40.177391052246094","40.177391052246094","40.177391052246094","1.7781881093978882","1.7781881093978882","1.7781881093978882","156.49546813964844","156.49546813964844","156.49546813964844","40.53607177734375","40.53607177734375","40.53607177734375","1.6501291990280151","1.6501291990280151","1.6501291990280151"
"1379","117.58218383789062","117.58218383789062","117.58218383789062","30.05242919921875","30.05242919921875","30.05242919921875","1.8222640752792358","1.8222640752792358","1.8222640752792358","112.9415283203125","112.9415283203125","112.9415283203125","30.042734146118164","30.042734146118164","30.042734146118164","1.7423701286315918","1.7423701286315918","1.7423701286315918"
"1409","164.96792602539062","164.96792602539062","164.96792602539062","40.3828125","40.3828125","40.3828125","1.8311036825180054","1.8311036825180054","1.8311036825180054","158.41815185546875","158.41815185546875","158.41815185546875","39.617645263671875","39.617645263671875","39.617645263671875","1.7057158946990967","1.7057158946990967","1.7057158946990967"
"1439","133.2990264892578","133.2990264892578","133.2990264892578","38.17787170410156","38.17787170410156","38.17787170410156","1.770895004272461","1.770895004272461","1.770895004272461","129.86663818359375","129.86663818359375","129.86663818359375","39.320762634277344","39.320762634277344","39.320762634277344","1.7045419216156006","1.7045419216156006","1.7045419216156006"
"1469","184.46983337402344","184.46983337402344","184.46983337402344","37.647987365722656","37.647987365722656","37.647987365722656","1.6016640663146973","1.6016640663146973","1.6016640663146973","174.82925415039062","174.82925415039062","174.82925415039062","37.139305114746094","37.139305114746094","37.139305114746094","1.5469006299972534","1.5469006299972534","1.5469006299972534"
"1499","132.02841186523438","132.02841186523438","132.02841186523438","27.703964233398438","27.703964233398438","27.703964233398438","1.4241557121276855","1.4241557121276855","1.4241557121276855","124.97830963134766","124.97830963134766","124.97830963134766","28.070392608642578","28.070392608642578","28.070392608642578","1.382620930671692","1.382620930671692","1.382620930671692"
"1529","97.4552001953125","97.4552001953125","97.4552001953125","23.409852981567383","23.409852981567383","23.409852981567383","1.5878968238830566","1.5878968238830566","1.5878968238830566","93.30487823486328","93.30487823486328","93.30487823486328","24.360233306884766","24.360233306884766","24.360233306884766","1.5296549797058105","1.5296549797058105","1.5296549797058105"
"1559","100.32032775878906","100.32032775878906","100.32032775878906","25.882137298583984","25.882137298583984","25.882137298583984","1.354181170463562","1.354181170463562","1.354181170463562","97.67122650146484","97.67122650146484","97.67122650146484","26.96139907836914","26.96139907836914","26.96139907836914","1.3007131814956665","1.3007131814956665","1.3007131814956665"
"1589","101.09442901611328","101.09442901611328","101.09442901611328","27.59453010559082","27.59453010559082","27.59453010559082","1.4359804391860962","1.4359804391860962","1.4359804391860962","97.63209533691406","97.63209533691406","97.63209533691406","25.986085891723633","25.986085891723633","25.986085891723633","1.3783389329910278","1.3783389329910278","1.3783389329910278"
"1619","153.28445434570312","153.28445434570312","153.28445434570312","46.6014289855957","46.6014289855957","46.6014289855957","1.6129817962646484","1.6129817962646484","1.6129817962646484","142.26678466796875","142.26678466796875","142.26678466796875","44.21455383300781","44.21455383300781","44.21455383300781","1.5827866792678833","1.5827866792678833","1.5827866792678833"
"1649","60.22886657714844","60.22886657714844","60.22886657714844","19.077600479125977","19.077600479125977","19.077600479125977","1.2755120992660522","1.2755120992660522","1.2755120992660522","60.7572135925293","60.7572135925293","60.7572135925293","19.875091552734375","19.875091552734375","19.875091552734375","1.2490774393081665","1.2490774393081665","1.2490774393081665"
"1679","61.39071273803711","61.39071273803711","61.39071273803711","18.730424880981445","18.730424880981445","18.730424880981445","1.2617173194885254","1.2617173194885254","1.2617173194885254","60.18925476074219","60.18925476074219","60.18925476074219","18.55813980102539","18.55813980102539","18.55813980102539","1.227173089981079","1.227173089981079","1.227173089981079"
"1709","51.77152633666992","51.77152633666992","51.77152633666992","17.2320556640625","17.2320556640625","17.2320556640625","1.2666250467300415","1.2666250467300415","1.2666250467300415","52.1342658996582","52.1342658996582","52.1342658996582","17.72722625732422","17.72722625732422","17.72722625732422","1.2401525974273682","1.2401525974273682","1.2401525974273682"
"1739","43.74471664428711","43.74471664428711","43.74471664428711","15.537081718444824","15.537081718444824","15.537081718444824","1.0761195421218872","1.0761195421218872","1.0761195421218872","40.04770278930664","40.04770278930664","40.04770278930664","13.822306632995605","13.822306632995605","13.822306632995605","1.0505471229553223","1.0505471229553223","1.0505471229553223"
"1769","105.24410247802734","105.24410247802734","105.24410247802734","26.38041877746582","26.38041877746582","26.38041877746582","1.4231700897216797","1.4231700897216797","1.4231700897216797","103.47481536865234","103.47481536865234","103.47481536865234","28.06775665283203","28.06775665283203","28.06775665283203","1.4297964572906494","1.4297964572906494","1.4297964572906494"
"1799","57.96901321411133","57.96901321411133","57.96901321411133","15.180307388305664","15.180307388305664","15.180307388305664","1.023491621017456","1.023491621017456","1.023491621017456","60.316776275634766","60.316776275634766","60.316776275634766","15.84338092803955","15.84338092803955","15.84338092803955","0.9796987771987915","0.9796987771987915","0.9796987771987915"
"1829","81.20638275146484","81.20638275146484","81.20638275146484","20.354740142822266","20.354740142822266","20.354740142822266","1.0760712623596191","1.0760712623596191","1.0760712623596191","81.74752044677734","81.74752044677734","81.74752044677734","22.56537628173828","22.56537628173828","22.56537628173828","1.0623948574066162","1.0623948574066162","1.0623948574066162"
"1859","75.69257354736328","75.69257354736328","75.69257354736328","18.49993896484375","18.49993896484375","18.49993896484375","0.7990758419036865","0.7990758419036865","0.7990758419036865","79.88641357421875","79.88641357421875","79.88641357421875","19.774015426635742","19.774015426635742","19.774015426635742","0.756579577922821","0.756579577922821","0.756579577922821"
"1889","56.211429595947266","56.211429595947266","56.211429595947266","11.011017799377441","11.011017799377441","11.011017799377441","1.0168086290359497","1.0168086290359497","1.0168086290359497","61.34184265136719","61.34184265136719","61.34184265136719","11.363444328308105","11.363444328308105","11.363444328308105","0.995710551738739","0.995710551738739","0.995710551738739"
"1919","56.70836639404297","56.70836639404297","56.70836639404297","40.04214859008789","40.04214859008789","40.04214859008789","0.9655290842056274","0.9655290842056274","0.9655290842056274","61.658119201660156","61.658119201660156","61.658119201660156","35.43283462524414","35.43283462524414","35.43283462524414","0.9483655095100403","0.9483655095100403","0.9483655095100403"
"1949","55.0699348449707","55.0699348449707","55.0699348449707","13.162117958068848","13.162117958068848","13.162117958068848","1.044039249420166","1.044039249420166","1.044039249420166","56.05935287475586","56.05935287475586","56.05935287475586","14.271401405334473","14.271401405334473","14.271401405334473","1.020302653312683","1.020302653312683","1.020302653312683"
"1979","39.04615020751953","39.04615020751953","39.04615020751953","11.261442184448242","11.261442184448242","11.261442184448242","0.8737143278121948","0.8737143278121948","0.8737143278121948","41.63323211669922","41.63323211669922","41.63323211669922","12.307971000671387","12.307971000671387","12.307971000671387","0.8545627593994141","0.8545627593994141","0.8545627593994141"
"2009","36.37224197387695","36.37224197387695","36.37224197387695","11.076695442199707","11.076695442199707","11.076695442199707","0.907120943069458","0.907120943069458","0.907120943069458","39.70796203613281","39.70796203613281","39.70796203613281","11.417116165161133","11.417116165161133","11.417116165161133","0.9244745969772339","0.9244745969772339","0.9244745969772339"
"2039","48.62023162841797","48.62023162841797","48.62023162841797","11.241020202636719","11.241020202636719","11.241020202636719","0.7437068819999695","0.7437068819999695","0.7437068819999695","53.62152099609375","53.62152099609375","53.62152099609375","13.683146476745605","13.683146476745605","13.683146476745605","0.7638735771179199","0.7638735771179199","0.7638735771179199"
"2069","60.50304412841797","60.50304412841797","60.50304412841797","15.448688507080078","15.448688507080078","15.448688507080078","0.9419461488723755","0.9419461488723755","0.9419461488723755","64.89928436279297","64.89928436279297","64.89928436279297","15.953718185424805","15.953718185424805","15.953718185424805","0.9659202098846436","0.9659202098846436","0.9659202098846436"
"2099","58.40179443359375","58.40179443359375","58.40179443359375","17.161893844604492","17.161893844604492","17.161893844604492","0.888493537902832","0.888493537902832","0.888493537902832","64.40840911865234","64.40840911865234","64.40840911865234","17.12115478515625","17.12115478515625","17.12115478515625","0.9037013649940491","0.9037013649940491","0.9037013649940491"
"2129","44.49292755126953","44.49292755126953","44.49292755126953","12.756488800048828","12.756488800048828","12.756488800048828","0.9415240287780762","0.9415240287780762","0.9415240287780762","49.114524841308594","49.114524841308594","49.114524841308594","13.953327178955078","13.953327178955078","13.953327178955078","0.965502142906189","0.965502142906189","0.965502142906189"
"2159","29.46931266784668","29.46931266784668","29.46931266784668","9.633938789367676","9.633938789367676","9.633938789367676","0.7976058721542358","0.7976058721542358","0.7976058721542358","31.061336517333984","31.061336517333984","31.061336517333984","9.856523513793945","9.856523513793945","9.856523513793945","0.7987775802612305","0.7987775802612305","0.7987775802612305"
"2189","40.90363693237305","40.90363693237305","40.90363693237305","10.235300064086914","10.235300064086914","10.235300064086914","0.6503710746765137","0.6503710746765137","0.6503710746765137","44.21186065673828","44.21186065673828","44.21186065673828","10.868443489074707","10.868443489074707","10.868443489074707","0.6293495893478394","0.6293495893478394","0.6293495893478394"
"2219","46.29712677001953","46.29712677001953","46.29712677001953","14.797564506530762","14.797564506530762","14.797564506530762","0.785710871219635","0.785710871219635","0.785710871219635","52.4169807434082","52.4169807434082","52.4169807434082","13.79955005645752","13.79955005645752","13.79955005645752","0.7863377332687378","0.7863377332687378","0.7863377332687378"
"2249","38.09360885620117","38.09360885620117","38.09360885620117","11.077858924865723","11.077858924865723","11.077858924865723","0.7594207525253296","0.7594207525253296","0.7594207525253296","44.830448150634766","44.830448150634766","44.830448150634766","12.942728996276855","12.942728996276855","12.942728996276855","0.7978774905204773","0.7978774905204773","0.7978774905204773"
"2279","65.35643005371094","65.35643005371094","65.35643005371094","13.419350624084473","13.419350624084473","13.419350624084473","0.6631932854652405","0.6631932854652405","0.6631932854652405","70.93174743652344","70.93174743652344","70.93174743652344","13.98667049407959","13.98667049407959","13.98667049407959","0.6401500701904297","0.6401500701904297","0.6401500701904297"
"2309","23.47441291809082","23.47441291809082","23.47441291809082","8.889968872070312","8.889968872070312","8.889968872070312","0.7078326940536499","0.7078326940536499","0.7078326940536499","26.34064483642578","26.34064483642578","26.34064483642578","9.54648494720459","9.54648494720459","9.54648494720459","0.7191402912139893","0.7191402912139893","0.7191402912139893"
"2339","34.021549224853516","34.021549224853516","34.021549224853516","21.889970779418945","21.889970779418945","21.889970779418945","0.6858096122741699","0.6858096122741699","0.6858096122741699","40.82073974609375","40.82073974609375","40.82073974609375","20.994935989379883","20.994935989379883","20.994935989379883","0.7108654379844666","0.7108654379844666","0.7108654379844666"
"2369","30.365575790405273","30.365575790405273","30.365575790405273","13.892359733581543","13.892359733581543","13.892359733581543","0.7014420628547668","0.7014420628547668","0.7014420628547668","38.58181381225586","38.58181381225586","38.58181381225586","17.05982208251953","17.05982208251953","17.05982208251953","0.7329573035240173","0.7329573035240173","0.7329573035240173"
"2399","33.73492431640625","33.73492431640625","33.73492431640625","52.7394905090332","52.7394905090332","52.7394905090332","0.5696958303451538","0.5696958303451538","0.5696958303451538","40.75459289550781","40.75459289550781","40.75459289550781","83.8556137084961","83.8556137084961","83.8556137084961","0.5635790228843689","0.5635790228843689","0.5635790228843689"
