"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX"
"6599","12082.2802734375","12082.2802734375","12082.2802734375","11984.955078125","11984.955078125","11984.955078125","12142.8828125","12142.8828125","12142.8828125","10239.337890625","10239.337890625","10239.337890625","11163.4326171875","11163.4326171875","11163.4326171875","10136.708984375","10136.708984375","10136.708984375"
"7199","12049.599609375","12049.599609375","12049.599609375","11941.5439453125","11941.5439453125","11941.5439453125","12144.263671875","12144.263671875","12144.263671875","10341.447265625","10341.447265625","10341.447265625","11258.5576171875","11258.5576171875","11258.5576171875","9957.943359375","9957.943359375","9957.943359375"
"7799","12081.7373046875","12081.7373046875","12081.7373046875","11979.2548828125","11979.2548828125","11979.2548828125","12145.3115234375","12145.3115234375","12145.3115234375","10429.03125","10429.03125","10429.03125","11353.8623046875","11353.8623046875","11353.8623046875","9774.6904296875","9774.6904296875","9774.6904296875"
"8399","12080.984375","12080.984375","12080.984375","11948.90625","11948.90625","11948.90625","12150.828125","12150.828125","12150.828125","10499.736328125","10499.736328125","10499.736328125","11392.8310546875","11392.8310546875","11392.8310546875","9642.5","9642.5","9642.5"
"8999","12074.5810546875","12074.5810546875","12074.5810546875","11932.4052734375","11932.4052734375","11932.4052734375","12142.0888671875","12142.0888671875","12142.0888671875","10558.6240234375","10558.6240234375","10558.6240234375","11412.6533203125","11412.6533203125","11412.6533203125","9502.9521484375","9502.9521484375","9502.9521484375"
"9599","12084.197265625","12084.197265625","12084.197265625","11961.8828125","11961.8828125","11961.8828125","12153.7607421875","12153.7607421875","12153.7607421875","10605.4716796875","10605.4716796875","10605.4716796875","11482.6064453125","11482.6064453125","11482.6064453125","9386.3466796875","9386.3466796875","9386.3466796875"
"10199","12084.783203125","12084.783203125","12084.783203125","11942.0615234375","11942.0615234375","11942.0615234375","12154.5048828125","12154.5048828125","12154.5048828125","10633.8583984375","10633.8583984375","10633.8583984375","11510.5830078125","11510.5830078125","11510.5830078125","9269.5537109375","9269.5537109375","9269.5537109375"
"10799","12091.3525390625","12091.3525390625","12091.3525390625","11932.0947265625","11932.0947265625","11932.0947265625","12152.900390625","12152.900390625","12152.900390625","10670.7451171875","10670.7451171875","10670.7451171875","11521.041015625","11521.041015625","11521.041015625","9168.26953125","9168.26953125","9168.26953125"
"11399","12086.5302734375","12086.5302734375","12086.5302734375","11925.5498046875","11925.5498046875","11925.5498046875","12155.6005859375","12155.6005859375","12155.6005859375","10680.23046875","10680.23046875","10680.23046875","11554.533203125","11554.533203125","11554.533203125","9062.4365234375","9062.4365234375","9062.4365234375"
"11999","12076.8564453125","12076.8564453125","12076.8564453125","11928.609375","11928.609375","11928.609375","12137.244140625","12137.244140625","12137.244140625","10699.5966796875","10699.5966796875","10699.5966796875","11520.78125","11520.78125","11520.78125","8928.53125","8928.53125","8928.53125"
"12599","12067.1162109375","12067.1162109375","12067.1162109375","11923.87890625","11923.87890625","11923.87890625","12155.076171875","12155.076171875","12155.076171875","10726.3359375","10726.3359375","10726.3359375","11512.19921875","11512.19921875","11512.19921875","8842.884765625","8842.884765625","8842.884765625"
"13199","12090.9404296875","12090.9404296875","12090.9404296875","11936.921875","11936.921875","11936.921875","12156.41796875","12156.41796875","12156.41796875","10737.9423828125","10737.9423828125","10737.9423828125","11534.7529296875","11534.7529296875","11534.7529296875","8760.84765625","8760.84765625","8760.84765625"
"13799","12077.642578125","12077.642578125","12077.642578125","11916.603515625","11916.603515625","11916.603515625","12150.9794921875","12150.9794921875","12150.9794921875","10745.76953125","10745.76953125","10745.76953125","11536.615234375","11536.615234375","11536.615234375","8679.234375","8679.234375","8679.234375"
"14399","12090.845703125","12090.845703125","12090.845703125","11935.5849609375","11935.5849609375","11935.5849609375","12153.6328125","12153.6328125","12153.6328125","10749.03125","10749.03125","10749.03125","11535.6611328125","11535.6611328125","11535.6611328125","8593.353515625","8593.353515625","8593.353515625"
"14999","12083.7265625","12083.7265625","12083.7265625","11929.2607421875","11929.2607421875","11929.2607421875","12140.0849609375","12140.0849609375","12140.0849609375","10752.9013671875","10752.9013671875","10752.9013671875","11511.1044921875","11511.1044921875","11511.1044921875","8492.5908203125","8492.5908203125","8492.5908203125"
"15599","12082.5634765625","12082.5634765625","12082.5634765625","11904.1494140625","11904.1494140625","11904.1494140625","12142.5595703125","12142.5595703125","12142.5595703125","10757.2724609375","10757.2724609375","10757.2724609375","11516.650390625","11516.650390625","11516.650390625","8427.8544921875","8427.8544921875","8427.8544921875"
"16199","12092.0283203125","12092.0283203125","12092.0283203125","11944.861328125","11944.861328125","11944.861328125","12146.9619140625","12146.9619140625","12146.9619140625","10769.3623046875","10769.3623046875","10769.3623046875","11525.970703125","11525.970703125","11525.970703125","8356.595703125","8356.595703125","8356.595703125"
"16799","12092.841796875","12092.841796875","12092.841796875","11939.1455078125","11939.1455078125","11939.1455078125","12151.7607421875","12151.7607421875","12151.7607421875","10775.046875","10775.046875","10775.046875","11534.30078125","11534.30078125","11534.30078125","8297.5205078125","8297.5205078125","8297.5205078125"
"17399","12074.705078125","12074.705078125","12074.705078125","11922.982421875","11922.982421875","11922.982421875","12152.7978515625","12152.7978515625","12152.7978515625","10758.3466796875","10758.3466796875","10758.3466796875","11499.8857421875","11499.8857421875","11499.8857421875","8211.4599609375","8211.4599609375","8211.4599609375"
"17999","12083.7939453125","12083.7939453125","12083.7939453125","11940.55859375","11940.55859375","11940.55859375","12148.1982421875","12148.1982421875","12148.1982421875","10773.21875","10773.21875","10773.21875","11497.8193359375","11497.8193359375","11497.8193359375","8165.99365234375","8165.99365234375","8165.99365234375"
"18599","12061.0830078125","12061.0830078125","12061.0830078125","11929.837890625","11929.837890625","11929.837890625","12139.8310546875","12139.8310546875","12139.8310546875","10751.8173828125","10751.8173828125","10751.8173828125","11474.8095703125","11474.8095703125","11474.8095703125","8103.67578125","8103.67578125","8103.67578125"
"19199","12079.697265625","12079.697265625","12079.697265625","11936.6279296875","11936.6279296875","11936.6279296875","12145.2724609375","12145.2724609375","12145.2724609375","10760.033203125","10760.033203125","10760.033203125","11482.2998046875","11482.2998046875","11482.2998046875","8031.0830078125","8031.0830078125","8031.0830078125"
"19799","12072.7880859375","12072.7880859375","12072.7880859375","11949.392578125","11949.392578125","11949.392578125","12140.7998046875","12140.7998046875","12140.7998046875","10755.8232421875","10755.8232421875","10755.8232421875","11481.6044921875","11481.6044921875","11481.6044921875","7972.15966796875","7972.15966796875","7972.15966796875"
