"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - losses/mse_loss__MAX"
"1139","176.98284912109375","176.98284912109375","176.98284912109375","180.8743896484375","180.8743896484375","180.8743896484375","89.37570190429688","89.37570190429688","89.37570190429688","176.66726684570312","176.66726684570312","176.66726684570312","179.41226196289062","179.41226196289062","179.41226196289062","89.6082763671875","89.6082763671875","89.6082763671875"
"1169","194.15728759765625","194.15728759765625","194.15728759765625","164.98953247070312","164.98953247070312","164.98953247070312","90.87521362304688","90.87521362304688","90.87521362304688","193.8563232421875","193.8563232421875","193.8563232421875","162.82154846191406","162.82154846191406","162.82154846191406","90.70027923583984","90.70027923583984","90.70027923583984"
"1199","221.8248748779297","221.8248748779297","221.8248748779297","151.46241760253906","151.46241760253906","151.46241760253906","76.25428009033203","76.25428009033203","76.25428009033203","221.19667053222656","221.19667053222656","221.19667053222656","149.412109375","149.412109375","149.412109375","76.18778228759766","76.18778228759766","76.18778228759766"
"1229","132.44937133789062","132.44937133789062","132.44937133789062","177.95761108398438","177.95761108398438","177.95761108398438","71.73867797851562","71.73867797851562","71.73867797851562","132.1597900390625","132.1597900390625","132.1597900390625","175.7217559814453","175.7217559814453","175.7217559814453","71.53329467773438","71.53329467773438","71.53329467773438"
"1259","188.52615356445312","188.52615356445312","188.52615356445312","200.4185333251953","200.4185333251953","200.4185333251953","90.94866943359375","90.94866943359375","90.94866943359375","188.30059814453125","188.30059814453125","188.30059814453125","198.68788146972656","198.68788146972656","198.68788146972656","90.87555694580078","90.87555694580078","90.87555694580078"
"1289","151.19528198242188","151.19528198242188","151.19528198242188","169.17135620117188","169.17135620117188","169.17135620117188","80.51778411865234","80.51778411865234","80.51778411865234","150.83541870117188","150.83541870117188","150.83541870117188","167.0929412841797","167.0929412841797","167.0929412841797","80.56483459472656","80.56483459472656","80.56483459472656"
"1319","178.04733276367188","178.04733276367188","178.04733276367188","176.15419006347656","176.15419006347656","176.15419006347656","98.82205200195312","98.82205200195312","98.82205200195312","177.86924743652344","177.86924743652344","177.86924743652344","173.99066162109375","173.99066162109375","173.99066162109375","99.00363159179688","99.00363159179688","99.00363159179688"
"1349","165.56272888183594","165.56272888183594","165.56272888183594","170.26795959472656","170.26795959472656","170.26795959472656","83.32011413574219","83.32011413574219","83.32011413574219","165.26417541503906","165.26417541503906","165.26417541503906","168.08447265625","168.08447265625","168.08447265625","83.21846771240234","83.21846771240234","83.21846771240234"
"1379","166.81597900390625","166.81597900390625","166.81597900390625","193.8517303466797","193.8517303466797","193.8517303466797","97.4898681640625","97.4898681640625","97.4898681640625","166.8987274169922","166.8987274169922","166.8987274169922","191.906982421875","191.906982421875","191.906982421875","97.28911590576172","97.28911590576172","97.28911590576172"
"1409","193.299560546875","193.299560546875","193.299560546875","197.02281188964844","197.02281188964844","197.02281188964844","99.83914184570312","99.83914184570312","99.83914184570312","192.92880249023438","192.92880249023438","192.92880249023438","195.0701446533203","195.0701446533203","195.0701446533203","99.64156341552734","99.64156341552734","99.64156341552734"
"1439","152.50656127929688","152.50656127929688","152.50656127929688","171.4894256591797","171.4894256591797","171.4894256591797","83.66958618164062","83.66958618164062","83.66958618164062","152.1506805419922","152.1506805419922","152.1506805419922","169.833251953125","169.833251953125","169.833251953125","83.77445220947266","83.77445220947266","83.77445220947266"
"1469","199.4742889404297","199.4742889404297","199.4742889404297","152.37966918945312","152.37966918945312","152.37966918945312","69.63334655761719","69.63334655761719","69.63334655761719","199.11209106445312","199.11209106445312","199.11209106445312","151.353515625","151.353515625","151.353515625","69.50967407226562","69.50967407226562","69.50967407226562"
"1499","167.57891845703125","167.57891845703125","167.57891845703125","171.35597229003906","171.35597229003906","171.35597229003906","74.28003692626953","74.28003692626953","74.28003692626953","167.22634887695312","167.22634887695312","167.22634887695312","169.25628662109375","169.25628662109375","169.25628662109375","74.03435516357422","74.03435516357422","74.03435516357422"
"1529","137.18287658691406","137.18287658691406","137.18287658691406","174.59776306152344","174.59776306152344","174.59776306152344","90.64775085449219","90.64775085449219","90.64775085449219","136.86700439453125","136.86700439453125","136.86700439453125","172.5260467529297","172.5260467529297","172.5260467529297","90.6176528930664","90.6176528930664","90.6176528930664"
"1559","147.42984008789062","147.42984008789062","147.42984008789062","176.89817810058594","176.89817810058594","176.89817810058594","76.37953186035156","76.37953186035156","76.37953186035156","147.07554626464844","147.07554626464844","147.07554626464844","175.13604736328125","175.13604736328125","175.13604736328125","76.1836929321289","76.1836929321289","76.1836929321289"
"1589","147.07150268554688","147.07150268554688","147.07150268554688","188.51675415039062","188.51675415039062","188.51675415039062","81.31643676757812","81.31643676757812","81.31643676757812","146.989013671875","146.989013671875","146.989013671875","186.30816650390625","186.30816650390625","186.30816650390625","81.01625061035156","81.01625061035156","81.01625061035156"
"1619","170.66688537597656","170.66688537597656","170.66688537597656","169.6242218017578","169.6242218017578","169.6242218017578","84.36457061767578","84.36457061767578","84.36457061767578","170.24012756347656","170.24012756347656","170.24012756347656","167.7581787109375","167.7581787109375","167.7581787109375","84.28118133544922","84.28118133544922","84.28118133544922"
"1649","105.38209533691406","105.38209533691406","105.38209533691406","174.33070373535156","174.33070373535156","174.33070373535156","87.7630386352539","87.7630386352539","87.7630386352539","105.14900207519531","105.14900207519531","105.14900207519531","172.54400634765625","172.54400634765625","172.54400634765625","87.75470733642578","87.75470733642578","87.75470733642578"
"1679","116.71630859375","116.71630859375","116.71630859375","193.72994995117188","193.72994995117188","193.72994995117188","76.14373016357422","76.14373016357422","76.14373016357422","116.38902282714844","116.38902282714844","116.38902282714844","192.00909423828125","192.00909423828125","192.00909423828125","76.16712188720703","76.16712188720703","76.16712188720703"
"1709","104.5469970703125","104.5469970703125","104.5469970703125","201.90206909179688","201.90206909179688","201.90206909179688","83.70532989501953","83.70532989501953","83.70532989501953","104.24050903320312","104.24050903320312","104.24050903320312","199.9735870361328","199.9735870361328","199.9735870361328","83.807373046875","83.807373046875","83.807373046875"
"1739","88.12071228027344","88.12071228027344","88.12071228027344","174.5634307861328","174.5634307861328","174.5634307861328","69.03994750976562","69.03994750976562","69.03994750976562","87.94381713867188","87.94381713867188","87.94381713867188","172.577880859375","172.577880859375","172.577880859375","68.93544006347656","68.93544006347656","68.93544006347656"
"1769","174.24032592773438","174.24032592773438","174.24032592773438","184.58853149414062","184.58853149414062","184.58853149414062","107.04117584228516","107.04117584228516","107.04117584228516","174.4076385498047","174.4076385498047","174.4076385498047","182.4967498779297","182.4967498779297","182.4967498779297","107.12567138671875","107.12567138671875","107.12567138671875"
"1799","120.72319030761719","120.72319030761719","120.72319030761719","184.52694702148438","184.52694702148438","184.52694702148438","67.6748046875","67.6748046875","67.6748046875","120.72357940673828","120.72357940673828","120.72357940673828","183.1142120361328","183.1142120361328","183.1142120361328","67.6277847290039","67.6277847290039","67.6277847290039"
"1829","147.31497192382812","147.31497192382812","147.31497192382812","153.5128631591797","153.5128631591797","153.5128631591797","66.66996002197266","66.66996002197266","66.66996002197266","147.23779296875","147.23779296875","147.23779296875","151.91604614257812","151.91604614257812","151.91604614257812","66.60562133789062","66.60562133789062","66.60562133789062"
"1859","124.76988220214844","124.76988220214844","124.76988220214844","148.84300231933594","148.84300231933594","148.84300231933594","50.02146530151367","50.02146530151367","50.02146530151367","124.5735092163086","124.5735092163086","124.5735092163086","147.4765167236328","147.4765167236328","147.4765167236328","49.95037841796875","49.95037841796875","49.95037841796875"
"1889","112.85011291503906","112.85011291503906","112.85011291503906","171.31375122070312","171.31375122070312","171.31375122070312","72.48588562011719","72.48588562011719","72.48588562011719","112.79132843017578","112.79132843017578","112.79132843017578","169.7722625732422","169.7722625732422","169.7722625732422","72.57134246826172","72.57134246826172","72.57134246826172"
"1919","115.58657836914062","115.58657836914062","115.58657836914062","162.46591186523438","162.46591186523438","162.46591186523438","70.4249496459961","70.4249496459961","70.4249496459961","115.6655044555664","115.6655044555664","115.6655044555664","160.91114807128906","160.91114807128906","160.91114807128906","70.09877014160156","70.09877014160156","70.09877014160156"
"1949","109.6444320678711","109.6444320678711","109.6444320678711","158.37887573242188","158.37887573242188","158.37887573242188","80.26736450195312","80.26736450195312","80.26736450195312","109.55741119384766","109.55741119384766","109.55741119384766","156.64584350585938","156.64584350585938","156.64584350585938","80.08248138427734","80.08248138427734","80.08248138427734"
"1979","86.35980987548828","86.35980987548828","86.35980987548828","156.5614471435547","156.5614471435547","156.5614471435547","61.44649887084961","61.44649887084961","61.44649887084961","86.20879364013672","86.20879364013672","86.20879364013672","155.15577697753906","155.15577697753906","155.15577697753906","61.347938537597656","61.347938537597656","61.347938537597656"
"2009","101.60900115966797","101.60900115966797","101.60900115966797","189.28065490722656","189.28065490722656","189.28065490722656","72.18949890136719","72.18949890136719","72.18949890136719","101.45233917236328","101.45233917236328","101.45233917236328","187.43142700195312","187.43142700195312","187.43142700195312","72.18309783935547","72.18309783935547","72.18309783935547"
"2039","109.18728637695312","109.18728637695312","109.18728637695312","142.1443328857422","142.1443328857422","142.1443328857422","54.04616165161133","54.04616165161133","54.04616165161133","109.11261749267578","109.11261749267578","109.11261749267578","140.9597625732422","140.9597625732422","140.9597625732422","54.27538299560547","54.27538299560547","54.27538299560547"
"2069","132.52769470214844","132.52769470214844","132.52769470214844","167.93374633789062","167.93374633789062","167.93374633789062","79.40084075927734","79.40084075927734","79.40084075927734","132.3820343017578","132.3820343017578","132.3820343017578","166.58692932128906","166.58692932128906","166.58692932128906","79.34959411621094","79.34959411621094","79.34959411621094"
"2099","129.1660919189453","129.1660919189453","129.1660919189453","162.1614227294922","162.1614227294922","162.1614227294922","69.43561553955078","69.43561553955078","69.43561553955078","129.06967163085938","129.06967163085938","129.06967163085938","160.8403778076172","160.8403778076172","160.8403778076172","69.57173919677734","69.57173919677734","69.57173919677734"
"2129","104.61196899414062","104.61196899414062","104.61196899414062","156.14927673339844","156.14927673339844","156.14927673339844","72.79991912841797","72.79991912841797","72.79991912841797","104.50419616699219","104.50419616699219","104.50419616699219","154.98153686523438","154.98153686523438","154.98153686523438","72.89625549316406","72.89625549316406","72.89625549316406"
"2159","90.73274993896484","90.73274993896484","90.73274993896484","173.507568359375","173.507568359375","173.507568359375","62.67326354980469","62.67326354980469","62.67326354980469","90.70830535888672","90.70830535888672","90.70830535888672","172.3232421875","172.3232421875","172.3232421875","62.53239440917969","62.53239440917969","62.53239440917969"
"2189","111.10816192626953","111.10816192626953","111.10816192626953","150.22586059570312","150.22586059570312","150.22586059570312","47.20265579223633","47.20265579223633","47.20265579223633","110.82875061035156","110.82875061035156","110.82875061035156","148.9947967529297","148.9947967529297","148.9947967529297","46.98643112182617","46.98643112182617","46.98643112182617"
"2219","122.77760314941406","122.77760314941406","122.77760314941406","157.6958770751953","157.6958770751953","157.6958770751953","60.12368392944336","60.12368392944336","60.12368392944336","122.85260772705078","122.85260772705078","122.85260772705078","156.68540954589844","156.68540954589844","156.68540954589844","59.96868133544922","59.96868133544922","59.96868133544922"
"2249","112.54515075683594","112.54515075683594","112.54515075683594","149.61126708984375","149.61126708984375","149.61126708984375","62.97383499145508","62.97383499145508","62.97383499145508","112.63410186767578","112.63410186767578","112.63410186767578","148.52647399902344","148.52647399902344","148.52647399902344","62.886268615722656","62.886268615722656","62.886268615722656"
"2279","151.8209991455078","151.8209991455078","151.8209991455078","167.84080505371094","167.84080505371094","167.84080505371094","41.06999588012695","41.06999588012695","41.06999588012695","151.6679229736328","151.6679229736328","151.6679229736328","167.0938262939453","167.0938262939453","167.0938262939453","40.91434097290039","40.91434097290039","40.91434097290039"
"2309","85.11035919189453","85.11035919189453","85.11035919189453","161.88665771484375","161.88665771484375","161.88665771484375","59.86763000488281","59.86763000488281","59.86763000488281","84.97598266601562","84.97598266601562","84.97598266601562","160.41854858398438","160.41854858398438","160.41854858398438","59.7944450378418","59.7944450378418","59.7944450378418"
"2339","100.67384338378906","100.67384338378906","100.67384338378906","155.54354858398438","155.54354858398438","155.54354858398438","58.577606201171875","58.577606201171875","58.577606201171875","100.69190216064453","100.69190216064453","100.69190216064453","154.29823303222656","154.29823303222656","154.29823303222656","58.647342681884766","58.647342681884766","58.647342681884766"
"2369","107.06885528564453","107.06885528564453","107.06885528564453","170.43423461914062","170.43423461914062","170.43423461914062","67.30217742919922","67.30217742919922","67.30217742919922","106.94451904296875","106.94451904296875","106.94451904296875","169.2865753173828","169.2865753173828","169.2865753173828","67.41535186767578","67.41535186767578","67.41535186767578"
"2399","97.50312042236328","97.50312042236328","97.50312042236328","150.4008026123047","150.4008026123047","150.4008026123047","49.38511276245117","49.38511276245117","49.38511276245117","97.4496841430664","97.4496841430664","97.4496841430664","149.16453552246094","149.16453552246094","149.16453552246094","49.39591598510742","49.39591598510742","49.39591598510742"
"2429","98.7334976196289","98.7334976196289","98.7334976196289","180.66053771972656","180.66053771972656","180.66053771972656","63.664794921875","63.664794921875","63.664794921875","98.77395629882812","98.77395629882812","98.77395629882812","179.4140625","179.4140625","179.4140625","63.59067153930664","63.59067153930664","63.59067153930664"
"2459","95.9224624633789","95.9224624633789","95.9224624633789","177.86993408203125","177.86993408203125","177.86993408203125","63.74871826171875","63.74871826171875","63.74871826171875","95.98406219482422","95.98406219482422","95.98406219482422","176.9829864501953","176.9829864501953","176.9829864501953","63.73107147216797","63.73107147216797","63.73107147216797"
"2489","81.45320892333984","81.45320892333984","81.45320892333984","161.5698699951172","161.5698699951172","161.5698699951172","64.46836853027344","64.46836853027344","64.46836853027344","81.35809326171875","81.35809326171875","81.35809326171875","160.4759521484375","160.4759521484375","160.4759521484375","64.30620574951172","64.30620574951172","64.30620574951172"
