"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - sparsity.l1__MAX"
"8399","5495.28955078125","5495.28955078125","5495.28955078125","7244.72509765625","7244.72509765625","7244.72509765625","5583.65380859375","5583.65380859375","5583.65380859375","3650.21923828125","3650.21923828125","3650.21923828125","4653.57958984375","4653.57958984375","4653.57958984375","5446.54248046875","5446.54248046875","5446.54248046875"
"8999","5500.76416015625","5500.76416015625","5500.76416015625","7310.2080078125","7310.2080078125","7310.2080078125","5483.61083984375","5483.61083984375","5483.61083984375","3673.4453125","3673.4453125","3673.4453125","4660.74169921875","4660.74169921875","4660.74169921875","5416.96728515625","5416.96728515625","5416.96728515625"
"9599","5439.17236328125","5439.17236328125","5439.17236328125","7320.40234375","7320.40234375","7320.40234375","5501.7001953125","5501.7001953125","5501.7001953125","3703.875","3703.875","3703.875","4651.96484375","4651.96484375","4651.96484375","5430.26123046875","5430.26123046875","5430.26123046875"
"10199","5465.33154296875","5465.33154296875","5465.33154296875","7395.234375","7395.234375","7395.234375","5516.244140625","5516.244140625","5516.244140625","3721.7265625","3721.7265625","3721.7265625","4695.5849609375","4695.5849609375","4695.5849609375","5424.7080078125","5424.7080078125","5424.7080078125"
"10799","5461.306640625","5461.306640625","5461.306640625","7359.89404296875","7359.89404296875","7359.89404296875","5415.46728515625","5415.46728515625","5415.46728515625","3782.071044921875","3782.071044921875","3782.071044921875","4695.7822265625","4695.7822265625","4695.7822265625","5448.8876953125","5448.8876953125","5448.8876953125"
"11399","5291.18896484375","5291.18896484375","5291.18896484375","7233.421875","7233.421875","7233.421875","5291.42724609375","5291.42724609375","5291.42724609375","3762.97265625","3762.97265625","3762.97265625","4719.32568359375","4719.32568359375","4719.32568359375","5471.71533203125","5471.71533203125","5471.71533203125"
"11999","5351.6201171875","5351.6201171875","5351.6201171875","7401.88037109375","7401.88037109375","7401.88037109375","5333.0712890625","5333.0712890625","5333.0712890625","3778.56640625","3778.56640625","3778.56640625","4725.06201171875","4725.06201171875","4725.06201171875","5483.40771484375","5483.40771484375","5483.40771484375"
"12599","5343.70068359375","5343.70068359375","5343.70068359375","7339.00146484375","7339.00146484375","7339.00146484375","5377.95654296875","5377.95654296875","5377.95654296875","3775.743896484375","3775.743896484375","3775.743896484375","4695.71875","4695.71875","4695.71875","5438.12646484375","5438.12646484375","5438.12646484375"
"13199","5395.32568359375","5395.32568359375","5395.32568359375","7354.08837890625","7354.08837890625","7354.08837890625","5388.69580078125","5388.69580078125","5388.69580078125","3802.475830078125","3802.475830078125","3802.475830078125","4681.70068359375","4681.70068359375","4681.70068359375","5442.46630859375","5442.46630859375","5442.46630859375"
"13799","5293.8359375","5293.8359375","5293.8359375","7360.0830078125","7360.0830078125","7360.0830078125","5218.65185546875","5218.65185546875","5218.65185546875","3819.671875","3819.671875","3819.671875","4703.0830078125","4703.0830078125","4703.0830078125","5492.40380859375","5492.40380859375","5492.40380859375"
"14399","5319.0107421875","5319.0107421875","5319.0107421875","7438.9609375","7438.9609375","7438.9609375","5289.98095703125","5289.98095703125","5289.98095703125","3799.92578125","3799.92578125","3799.92578125","4713.4951171875","4713.4951171875","4713.4951171875","5454.087890625","5454.087890625","5454.087890625"
"14999","5242.7919921875","5242.7919921875","5242.7919921875","7348.32666015625","7348.32666015625","7348.32666015625","5276.642578125","5276.642578125","5276.642578125","3782.246826171875","3782.246826171875","3782.246826171875","4685.67138671875","4685.67138671875","4685.67138671875","5488.115234375","5488.115234375","5488.115234375"
"15599","5189.73876953125","5189.73876953125","5189.73876953125","7269.71728515625","7269.71728515625","7269.71728515625","5117.43896484375","5117.43896484375","5117.43896484375","3796.567138671875","3796.567138671875","3796.567138671875","4710.03955078125","4710.03955078125","4710.03955078125","5444.56396484375","5444.56396484375","5444.56396484375"
"16199","5211.4775390625","5211.4775390625","5211.4775390625","7388.64404296875","7388.64404296875","7388.64404296875","5243.384765625","5243.384765625","5243.384765625","3795.353271484375","3795.353271484375","3795.353271484375","4727.1181640625","4727.1181640625","4727.1181640625","5468.2919921875","5468.2919921875","5468.2919921875"
"16799","5124.0361328125","5124.0361328125","5124.0361328125","7258.73681640625","7258.73681640625","7258.73681640625","5030.07568359375","5030.07568359375","5030.07568359375","3813.17431640625","3813.17431640625","3813.17431640625","4719.6865234375","4719.6865234375","4719.6865234375","5464.21044921875","5464.21044921875","5464.21044921875"
"17399","5153.17041015625","5153.17041015625","5153.17041015625","7417.46875","7417.46875","7417.46875","5144.23046875","5144.23046875","5144.23046875","3814.666748046875","3814.666748046875","3814.666748046875","4725.54052734375","4725.54052734375","4725.54052734375","5490.76904296875","5490.76904296875","5490.76904296875"
"17999","5065.1455078125","5065.1455078125","5065.1455078125","7287.08447265625","7287.08447265625","7287.08447265625","5056.4755859375","5056.4755859375","5056.4755859375","3814.159912109375","3814.159912109375","3814.159912109375","4713.47216796875","4713.47216796875","4713.47216796875","5474.69287109375","5474.69287109375","5474.69287109375"
"18599","5177.08203125","5177.08203125","5177.08203125","7336.65380859375","7336.65380859375","7336.65380859375","5189.60107421875","5189.60107421875","5189.60107421875","3797.801513671875","3797.801513671875","3797.801513671875","4683.73193359375","4683.73193359375","4683.73193359375","5469.1123046875","5469.1123046875","5469.1123046875"
"19199","5212.72802734375","5212.72802734375","5212.72802734375","7368.20263671875","7368.20263671875","7368.20263671875","5153.2890625","5153.2890625","5153.2890625","3828.684814453125","3828.684814453125","3828.684814453125","4719.62353515625","4719.62353515625","4719.62353515625","5479.96240234375","5479.96240234375","5479.96240234375"
"19799","5052.6533203125","5052.6533203125","5052.6533203125","7365.76416015625","7365.76416015625","7365.76416015625","5066.80712890625","5066.80712890625","5066.80712890625","3788.411376953125","3788.411376953125","3788.411376953125","4676.69970703125","4676.69970703125","4676.69970703125","5424.52685546875","5424.52685546875","5424.52685546875"
