"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - sparsity.l1__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - sparsity.l1__MAX"
"6599","303.34332275390625","303.34332275390625","303.34332275390625","249.68594360351562","249.68594360351562","249.68594360351562","210.7377471923828","210.7377471923828","210.7377471923828","297.11065673828125","297.11065673828125","297.11065673828125","247.5705108642578","247.5705108642578","247.5705108642578","209.1779022216797","209.1779022216797","209.1779022216797"
"7199","303.3881530761719","303.3881530761719","303.3881530761719","249.47265625","249.47265625","249.47265625","201.97972106933594","201.97972106933594","201.97972106933594","296.4990234375","296.4990234375","296.4990234375","247.25498962402344","247.25498962402344","247.25498962402344","200.32437133789062","200.32437133789062","200.32437133789062"
"7799","271.0723571777344","271.0723571777344","271.0723571777344","235.485595703125","235.485595703125","235.485595703125","194.86375427246094","194.86375427246094","194.86375427246094","265.0505065917969","265.0505065917969","265.0505065917969","233.38027954101562","233.38027954101562","233.38027954101562","193.1805877685547","193.1805877685547","193.1805877685547"
"8399","270.1743469238281","270.1743469238281","270.1743469238281","226.0452880859375","226.0452880859375","226.0452880859375","187.0261688232422","187.0261688232422","187.0261688232422","263.8982849121094","263.8982849121094","263.8982849121094","224.332275390625","224.332275390625","224.332275390625","185.364013671875","185.364013671875","185.364013671875"
"8999","261.23382568359375","261.23382568359375","261.23382568359375","217.8418426513672","217.8418426513672","217.8418426513672","181.22393798828125","181.22393798828125","181.22393798828125","255.3070068359375","255.3070068359375","255.3070068359375","215.90469360351562","215.90469360351562","215.90469360351562","179.59873962402344","179.59873962402344","179.59873962402344"
"9599","246.7771759033203","246.7771759033203","246.7771759033203","213.6685791015625","213.6685791015625","213.6685791015625","175.24745178222656","175.24745178222656","175.24745178222656","241.20176696777344","241.20176696777344","241.20176696777344","211.898681640625","211.898681640625","211.898681640625","173.62814331054688","173.62814331054688","173.62814331054688"
"10199","239.25341796875","239.25341796875","239.25341796875","202.00401306152344","202.00401306152344","202.00401306152344","168.63475036621094","168.63475036621094","168.63475036621094","233.88748168945312","233.88748168945312","233.88748168945312","200.3359832763672","200.3359832763672","200.3359832763672","167.05868530273438","167.05868530273438","167.05868530273438"
"10799","229.890625","229.890625","229.890625","198.29461669921875","198.29461669921875","198.29461669921875","163.65635681152344","163.65635681152344","163.65635681152344","224.5049285888672","224.5049285888672","224.5049285888672","196.73431396484375","196.73431396484375","196.73431396484375","162.1597900390625","162.1597900390625","162.1597900390625"
"11399","222.2607879638672","222.2607879638672","222.2607879638672","188.03369140625","188.03369140625","188.03369140625","155.28404235839844","155.28404235839844","155.28404235839844","217.0609588623047","217.0609588623047","217.0609588623047","186.5288543701172","186.5288543701172","186.5288543701172","153.8993682861328","153.8993682861328","153.8993682861328"
"11999","215.209228515625","215.209228515625","215.209228515625","188.423095703125","188.423095703125","188.423095703125","152.5709991455078","152.5709991455078","152.5709991455078","210.23428344726562","210.23428344726562","210.23428344726562","186.89781188964844","186.89781188964844","186.89781188964844","151.20985412597656","151.20985412597656","151.20985412597656"
"12599","205.6953887939453","205.6953887939453","205.6953887939453","182.71640014648438","182.71640014648438","182.71640014648438","150.0380401611328","150.0380401611328","150.0380401611328","201.3321533203125","201.3321533203125","201.3321533203125","181.1691131591797","181.1691131591797","181.1691131591797","148.8069610595703","148.8069610595703","148.8069610595703"
"13199","206.4839324951172","206.4839324951172","206.4839324951172","177.0581512451172","177.0581512451172","177.0581512451172","147.8344268798828","147.8344268798828","147.8344268798828","201.44224548339844","201.44224548339844","201.44224548339844","175.8159637451172","175.8159637451172","175.8159637451172","146.45361328125","146.45361328125","146.45361328125"
"13799","204.24928283691406","204.24928283691406","204.24928283691406","174.69322204589844","174.69322204589844","174.69322204589844","140.76756286621094","140.76756286621094","140.76756286621094","200.0500030517578","200.0500030517578","200.0500030517578","173.40904235839844","173.40904235839844","173.40904235839844","139.5081329345703","139.5081329345703","139.5081329345703"
"14399","187.8920440673828","187.8920440673828","187.8920440673828","173.0677032470703","173.0677032470703","173.0677032470703","141.86354064941406","141.86354064941406","141.86354064941406","183.2993927001953","183.2993927001953","183.2993927001953","171.6712188720703","171.6712188720703","171.6712188720703","140.6430206298828","140.6430206298828","140.6430206298828"
"14999","189.17819213867188","189.17819213867188","189.17819213867188","173.09951782226562","173.09951782226562","173.09951782226562","140.91957092285156","140.91957092285156","140.91957092285156","184.51393127441406","184.51393127441406","184.51393127441406","171.7193145751953","171.7193145751953","171.7193145751953","139.70823669433594","139.70823669433594","139.70823669433594"
"15599","179.95974731445312","179.95974731445312","179.95974731445312","163.77706909179688","163.77706909179688","163.77706909179688","134.22109985351562","134.22109985351562","134.22109985351562","175.70652770996094","175.70652770996094","175.70652770996094","162.4576873779297","162.4576873779297","162.4576873779297","132.9517364501953","132.9517364501953","132.9517364501953"
"16199","176.00596618652344","176.00596618652344","176.00596618652344","159.16064453125","159.16064453125","159.16064453125","133.21963500976562","133.21963500976562","133.21963500976562","171.6930389404297","171.6930389404297","171.6930389404297","157.75283813476562","157.75283813476562","157.75283813476562","132.11416625976562","132.11416625976562","132.11416625976562"
"16799","174.9020233154297","174.9020233154297","174.9020233154297","153.3253631591797","153.3253631591797","153.3253631591797","126.3257827758789","126.3257827758789","126.3257827758789","170.87742614746094","170.87742614746094","170.87742614746094","152.20193481445312","152.20193481445312","152.20193481445312","125.14678955078125","125.14678955078125","125.14678955078125"
"17399","173.7251434326172","173.7251434326172","173.7251434326172","154.3600616455078","154.3600616455078","154.3600616455078","128.2384490966797","128.2384490966797","128.2384490966797","169.65567016601562","169.65567016601562","169.65567016601562","153.19534301757812","153.19534301757812","153.19534301757812","127.218017578125","127.218017578125","127.218017578125"
"17999","166.6913299560547","166.6913299560547","166.6913299560547","146.3455352783203","146.3455352783203","146.3455352783203","121.0333023071289","121.0333023071289","121.0333023071289","162.93955993652344","162.93955993652344","162.93955993652344","145.3892059326172","145.3892059326172","145.3892059326172","119.82271575927734","119.82271575927734","119.82271575927734"
"18599","166.40921020507812","166.40921020507812","166.40921020507812","153.09446716308594","153.09446716308594","153.09446716308594","124.99739074707031","124.99739074707031","124.99739074707031","162.07859802246094","162.07859802246094","162.07859802246094","151.96267700195312","151.96267700195312","151.96267700195312","123.7861099243164","123.7861099243164","123.7861099243164"
"19199","169.53857421875","169.53857421875","169.53857421875","145.0571746826172","145.0571746826172","145.0571746826172","121.19982147216797","121.19982147216797","121.19982147216797","165.7055206298828","165.7055206298828","165.7055206298828","144.2494354248047","144.2494354248047","144.2494354248047","120.2354736328125","120.2354736328125","120.2354736328125"
"19799","156.7425079345703","156.7425079345703","156.7425079345703","145.13096618652344","145.13096618652344","145.13096618652344","121.1156005859375","121.1156005859375","121.1156005859375","152.9991912841797","152.9991912841797","152.9991912841797","143.90640258789062","143.90640258789062","143.90640258789062","119.98308563232422","119.98308563232422","119.98308563232422"
