"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - sparsity.l0__MAX"
"6599","12198.9033203125","12198.9033203125","12198.9033203125","12156.6669921875","12156.6669921875","12156.6669921875","12187.177734375","12187.177734375","12187.177734375","11299.1513671875","11299.1513671875","11299.1513671875","11431.7685546875","11431.7685546875","11431.7685546875","12010.8017578125","12010.8017578125","12010.8017578125"
"7199","12189.4443359375","12189.4443359375","12189.4443359375","12130.9501953125","12130.9501953125","12130.9501953125","12189.4111328125","12189.4111328125","12189.4111328125","11304.779296875","11304.779296875","11304.779296875","11393.509765625","11393.509765625","11393.509765625","12013.7490234375","12013.7490234375","12013.7490234375"
"7799","12196.123046875","12196.123046875","12196.123046875","12150.7802734375","12150.7802734375","12150.7802734375","12189.654296875","12189.654296875","12189.654296875","11352.7958984375","11352.7958984375","11352.7958984375","11436.8837890625","11436.8837890625","11436.8837890625","12019.6435546875","12019.6435546875","12019.6435546875"
"8399","12200.9580078125","12200.9580078125","12200.9580078125","12160.6669921875","12160.6669921875","12160.6669921875","12204.2890625","12204.2890625","12204.2890625","11398.0078125","11398.0078125","11398.0078125","11459.4755859375","11459.4755859375","11459.4755859375","12040.3193359375","12040.3193359375","12040.3193359375"
"8999","12196.05859375","12196.05859375","12196.05859375","12171.2021484375","12171.2021484375","12171.2021484375","12177.013671875","12177.013671875","12177.013671875","11394.7021484375","11394.7021484375","11394.7021484375","11462.908203125","11462.908203125","11462.908203125","12038.5849609375","12038.5849609375","12038.5849609375"
"9599","12191.0654296875","12191.0654296875","12191.0654296875","12167.11328125","12167.11328125","12167.11328125","12193.9716796875","12193.9716796875","12193.9716796875","11415.4130859375","11415.4130859375","11415.4130859375","11450.8017578125","11450.8017578125","11450.8017578125","12047.5615234375","12047.5615234375","12047.5615234375"
"10199","12177.544921875","12177.544921875","12177.544921875","12186.099609375","12186.099609375","12186.099609375","12193.8017578125","12193.8017578125","12193.8017578125","11406.2333984375","11406.2333984375","11406.2333984375","11484.4404296875","11484.4404296875","11484.4404296875","12045.765625","12045.765625","12045.765625"
"10799","12204.2607421875","12204.2607421875","12204.2607421875","12185.4248046875","12185.4248046875","12185.4248046875","12204.4638671875","12204.4638671875","12204.4638671875","11442.27734375","11442.27734375","11442.27734375","11481.7197265625","11481.7197265625","11481.7197265625","12061.228515625","12061.228515625","12061.228515625"
"11399","12204.2060546875","12204.2060546875","12204.2060546875","12187.28515625","12187.28515625","12187.28515625","12205.1865234375","12205.1865234375","12205.1865234375","11465.0341796875","11465.0341796875","11465.0341796875","11507.99609375","11507.99609375","11507.99609375","12069.5","12069.5","12069.5"
"11999","12195.90625","12195.90625","12195.90625","12186.642578125","12186.642578125","12186.642578125","12197.943359375","12197.943359375","12197.943359375","11435.1220703125","11435.1220703125","11435.1220703125","11479.5224609375","11479.5224609375","11479.5224609375","12063.306640625","12063.306640625","12063.306640625"
"12599","12199.296875","12199.296875","12199.296875","12190.244140625","12190.244140625","12190.244140625","12207.7646484375","12207.7646484375","12207.7646484375","11456.0107421875","11456.0107421875","11456.0107421875","11489.7626953125","11489.7626953125","11489.7626953125","12073.4287109375","12073.4287109375","12073.4287109375"
"13199","12206.8037109375","12206.8037109375","12206.8037109375","12197.0771484375","12197.0771484375","12197.0771484375","12202.6123046875","12202.6123046875","12202.6123046875","11454.435546875","11454.435546875","11454.435546875","11494.9658203125","11494.9658203125","11494.9658203125","12072.927734375","12072.927734375","12072.927734375"
"13799","12202.2119140625","12202.2119140625","12202.2119140625","12188.501953125","12188.501953125","12188.501953125","12200.6240234375","12200.6240234375","12200.6240234375","11451.2109375","11451.2109375","11451.2109375","11480.9599609375","11480.9599609375","11480.9599609375","12080.8916015625","12080.8916015625","12080.8916015625"
"14399","12203.6689453125","12203.6689453125","12203.6689453125","12196.3251953125","12196.3251953125","12196.3251953125","12195.0458984375","12195.0458984375","12195.0458984375","11451.4091796875","11451.4091796875","11451.4091796875","11484.5283203125","11484.5283203125","11484.5283203125","12075.5263671875","12075.5263671875","12075.5263671875"
"14999","12191.6474609375","12191.6474609375","12191.6474609375","12176.1669921875","12176.1669921875","12176.1669921875","12186.212890625","12186.212890625","12186.212890625","11436.4091796875","11436.4091796875","11436.4091796875","11472.6435546875","11472.6435546875","11472.6435546875","12071.7373046875","12071.7373046875","12071.7373046875"
"15599","12193.541015625","12193.541015625","12193.541015625","12186.5185546875","12186.5185546875","12186.5185546875","12189.3818359375","12189.3818359375","12189.3818359375","11450.1455078125","11450.1455078125","11450.1455078125","11505.2255859375","11505.2255859375","11505.2255859375","12083.3642578125","12083.3642578125","12083.3642578125"
"16199","12198.2080078125","12198.2080078125","12198.2080078125","12201.845703125","12201.845703125","12201.845703125","12196.6845703125","12196.6845703125","12196.6845703125","11458.6083984375","11458.6083984375","11458.6083984375","11519.81640625","11519.81640625","11519.81640625","12085.7607421875","12085.7607421875","12085.7607421875"
"16799","12203.521484375","12203.521484375","12203.521484375","12196.103515625","12196.103515625","12196.103515625","12200.0078125","12200.0078125","12200.0078125","11471.177734375","11471.177734375","11471.177734375","11525.015625","11525.015625","11525.015625","12095.9443359375","12095.9443359375","12095.9443359375"
"17399","12195.0087890625","12195.0087890625","12195.0087890625","12206.4931640625","12206.4931640625","12206.4931640625","12193.1591796875","12193.1591796875","12193.1591796875","11451.572265625","11451.572265625","11451.572265625","11509.4248046875","11509.4248046875","11509.4248046875","12084.5146484375","12084.5146484375","12084.5146484375"
"17999","12199.658203125","12199.658203125","12199.658203125","12206.9404296875","12206.9404296875","12206.9404296875","12199.28125","12199.28125","12199.28125","11474.2099609375","11474.2099609375","11474.2099609375","11537.8701171875","11537.8701171875","11537.8701171875","12100.0751953125","12100.0751953125","12100.0751953125"
"18599","12189.8193359375","12189.8193359375","12189.8193359375","12188.99609375","12188.99609375","12188.99609375","12192.7724609375","12192.7724609375","12192.7724609375","11432.9228515625","11432.9228515625","11432.9228515625","11486.7861328125","11486.7861328125","11486.7861328125","12084.7841796875","12084.7841796875","12084.7841796875"
"19199","12193.3916015625","12193.3916015625","12193.3916015625","12207.666015625","12207.666015625","12207.666015625","12190.341796875","12190.341796875","12190.341796875","11432.9345703125","11432.9345703125","11432.9345703125","11524.9375","11524.9375","11524.9375","12094.5107421875","12094.5107421875","12094.5107421875"
"19799","12193.1669921875","12193.1669921875","12193.1669921875","12200.5302734375","12200.5302734375","12200.5302734375","12179.1552734375","12179.1552734375","12179.1552734375","11437.041015625","11437.041015625","11437.041015625","11501.34765625","11501.34765625","11501.34765625","12080.115234375","12080.115234375","12080.115234375"
