"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"6599","2.4585728645324707","2.4585728645324707","2.4585728645324707","0.5698151588439941","0.5698151588439941","0.5698151588439941","0.9455665946006775","0.9455665946006775","0.9455665946006775","2.459221601486206","2.459221601486206","2.459221601486206","0.5698211789131165","0.5698211789131165","0.5698211789131165","0.9459568858146667","0.9459568858146667","0.9459568858146667"
"7199","2.4809329509735107","2.4809329509735107","2.4809329509735107","0.5763933658599854","0.5763933658599854","0.5763933658599854","0.9432336091995239","0.9432336091995239","0.9432336091995239","2.4806342124938965","2.4806342124938965","2.4806342124938965","0.5764563083648682","0.5764563083648682","0.5764563083648682","0.9437702298164368","0.9437702298164368","0.9437702298164368"
"7799","2.4580745697021484","2.4580745697021484","2.4580745697021484","0.5719240307807922","0.5719240307807922","0.5719240307807922","0.9456024169921875","0.9456024169921875","0.9456024169921875","2.457988739013672","2.457988739013672","2.457988739013672","0.5719571113586426","0.5719571113586426","0.5719571113586426","0.945410430431366","0.945410430431366","0.945410430431366"
"8399","2.469318389892578","2.469318389892578","2.469318389892578","0.5784130096435547","0.5784130096435547","0.5784130096435547","0.9479681849479675","0.9479681849479675","0.9479681849479675","2.4694204330444336","2.4694204330444336","2.4694204330444336","0.5790861248970032","0.5790861248970032","0.5790861248970032","0.9478193521499634","0.9478193521499634","0.9478193521499634"
"8999","2.4637506008148193","2.4637506008148193","2.4637506008148193","0.5731123089790344","0.5731123089790344","0.5731123089790344","0.9475076794624329","0.9475076794624329","0.9475076794624329","2.4650683403015137","2.4650683403015137","2.4650683403015137","0.5734033584594727","0.5734033584594727","0.5734033584594727","0.9471288919448853","0.9471288919448853","0.9471288919448853"
"9599","2.477025270462036","2.477025270462036","2.477025270462036","0.5742230415344238","0.5742230415344238","0.5742230415344238","0.9492365121841431","0.9492365121841431","0.9492365121841431","2.4774701595306396","2.4774701595306396","2.4774701595306396","0.5745264887809753","0.5745264887809753","0.5745264887809753","0.9492260813713074","0.9492260813713074","0.9492260813713074"
"10199","2.4763219356536865","2.4763219356536865","2.4763219356536865","0.5761745572090149","0.5761745572090149","0.5761745572090149","0.9536757469177246","0.9536757469177246","0.9536757469177246","2.4757909774780273","2.4757909774780273","2.4757909774780273","0.5761721730232239","0.5761721730232239","0.5761721730232239","0.9539986848831177","0.9539986848831177","0.9539986848831177"
"10799","2.4651801586151123","2.4651801586151123","2.4651801586151123","0.5776378512382507","0.5776378512382507","0.5776378512382507","0.953803539276123","0.953803539276123","0.953803539276123","2.4634463787078857","2.4634463787078857","2.4634463787078857","0.5778116583824158","0.5778116583824158","0.5778116583824158","0.9539293646812439","0.9539293646812439","0.9539293646812439"
"11399","2.4868805408477783","2.4868805408477783","2.4868805408477783","0.5832401514053345","0.5832401514053345","0.5832401514053345","0.953561007976532","0.953561007976532","0.953561007976532","2.4870688915252686","2.4870688915252686","2.4870688915252686","0.5836353302001953","0.5836353302001953","0.5836353302001953","0.9539979100227356","0.9539979100227356","0.9539979100227356"
"11999","2.4647369384765625","2.4647369384765625","2.4647369384765625","0.5770606994628906","0.5770606994628906","0.5770606994628906","0.9454208612442017","0.9454208612442017","0.9454208612442017","2.464967966079712","2.464967966079712","2.464967966079712","0.577183187007904","0.577183187007904","0.577183187007904","0.9453222155570984","0.9453222155570984","0.9453222155570984"
"12599","2.4827373027801514","2.4827373027801514","2.4827373027801514","0.5806285738945007","0.5806285738945007","0.5806285738945007","0.9544073343276978","0.9544073343276978","0.9544073343276978","2.485546588897705","2.485546588897705","2.485546588897705","0.5803213715553284","0.5803213715553284","0.5803213715553284","0.9553499221801758","0.9553499221801758","0.9553499221801758"
"13199","2.4898993968963623","2.4898993968963623","2.4898993968963623","0.5803623795509338","0.5803623795509338","0.5803623795509338","0.9549299478530884","0.9549299478530884","0.9549299478530884","2.490163564682007","2.490163564682007","2.490163564682007","0.5811988711357117","0.5811988711357117","0.5811988711357117","0.9545799493789673","0.9545799493789673","0.9545799493789673"
"13799","2.493593215942383","2.493593215942383","2.493593215942383","0.5835533142089844","0.5835533142089844","0.5835533142089844","0.954053521156311","0.954053521156311","0.954053521156311","2.4988274574279785","2.4988274574279785","2.4988274574279785","0.5836275815963745","0.5836275815963745","0.5836275815963745","0.9536733031272888","0.9536733031272888","0.9536733031272888"
"14399","2.481710910797119","2.481710910797119","2.481710910797119","0.5815693736076355","0.5815693736076355","0.5815693736076355","0.9568788409233093","0.9568788409233093","0.9568788409233093","2.4797749519348145","2.4797749519348145","2.4797749519348145","0.5816828608512878","0.5816828608512878","0.5816828608512878","0.9570341110229492","0.9570341110229492","0.9570341110229492"
"14999","2.4907546043395996","2.4907546043395996","2.4907546043395996","0.5834949612617493","0.5834949612617493","0.5834949612617493","0.9528241157531738","0.9528241157531738","0.9528241157531738","2.488550901412964","2.488550901412964","2.488550901412964","0.5834199786186218","0.5834199786186218","0.5834199786186218","0.9528093338012695","0.9528093338012695","0.9528093338012695"
"15599","2.47690749168396","2.47690749168396","2.47690749168396","0.5827828049659729","0.5827828049659729","0.5827828049659729","0.9594746828079224","0.9594746828079224","0.9594746828079224","2.4770824909210205","2.4770824909210205","2.4770824909210205","0.5829088687896729","0.5829088687896729","0.5829088687896729","0.9586599469184875","0.9586599469184875","0.9586599469184875"
"16199","2.4891438484191895","2.4891438484191895","2.4891438484191895","0.5848617553710938","0.5848617553710938","0.5848617553710938","0.9519569277763367","0.9519569277763367","0.9519569277763367","2.4884889125823975","2.4884889125823975","2.4884889125823975","0.5848288536071777","0.5848288536071777","0.5848288536071777","0.9521102905273438","0.9521102905273438","0.9521102905273438"
"16799","2.4967281818389893","2.4967281818389893","2.4967281818389893","0.583212673664093","0.583212673664093","0.583212673664093","0.9587374925613403","0.9587374925613403","0.9587374925613403","2.4992311000823975","2.4992311000823975","2.4992311000823975","0.583497941493988","0.583497941493988","0.583497941493988","0.9574390649795532","0.9574390649795532","0.9574390649795532"
"17399","2.497795820236206","2.497795820236206","2.497795820236206","0.5841423869132996","0.5841423869132996","0.5841423869132996","0.9590204358100891","0.9590204358100891","0.9590204358100891","2.498915910720825","2.498915910720825","2.498915910720825","0.5839781165122986","0.5839781165122986","0.5839781165122986","0.9599397778511047","0.9599397778511047","0.9599397778511047"
"17999","2.4856815338134766","2.4856815338134766","2.4856815338134766","0.5857931971549988","0.5857931971549988","0.5857931971549988","0.964458167552948","0.964458167552948","0.964458167552948","2.48736834526062","2.48736834526062","2.48736834526062","0.5865590572357178","0.5865590572357178","0.5865590572357178","0.9627735018730164","0.9627735018730164","0.9627735018730164"
"18599","2.498189687728882","2.498189687728882","2.498189687728882","0.5840520262718201","0.5840520262718201","0.5840520262718201","0.9562684893608093","0.9562684893608093","0.9562684893608093","2.4970200061798096","2.4970200061798096","2.4970200061798096","0.5844818949699402","0.5844818949699402","0.5844818949699402","0.9560723304748535","0.9560723304748535","0.9560723304748535"
"19199","2.4924514293670654","2.4924514293670654","2.4924514293670654","0.5825530886650085","0.5825530886650085","0.5825530886650085","0.9577812552452087","0.9577812552452087","0.9577812552452087","2.4929683208465576","2.4929683208465576","2.4929683208465576","0.5835856795310974","0.5835856795310974","0.5835856795310974","0.9579458236694336","0.9579458236694336","0.9579458236694336"
"19799","2.4811856746673584","2.4811856746673584","2.4811856746673584","0.5784890055656433","0.5784890055656433","0.5784890055656433","0.9609352350234985","0.9609352350234985","0.9609352350234985","2.482450246810913","2.482450246810913","2.482450246810913","0.577740490436554","0.577740490436554","0.577740490436554","0.959642231464386","0.959642231464386","0.959642231464386"
