"Step","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_standard_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"6599","2.6407861709594727","2.6407861709594727","2.6407861709594727","0.6405802369117737","0.6405802369117737","0.6405802369117737","0.977752685546875","0.977752685546875","0.977752685546875","2.644105911254883","2.644105911254883","2.644105911254883","0.6406527757644653","0.6406527757644653","0.6406527757644653","0.9774259924888611","0.9774259924888611","0.9774259924888611"
"7199","2.6396336555480957","2.6396336555480957","2.6396336555480957","0.6391799449920654","0.6391799449920654","0.6391799449920654","0.975560188293457","0.975560188293457","0.975560188293457","2.6440510749816895","2.6440510749816895","2.6440510749816895","0.6395637392997742","0.6395637392997742","0.6395637392997742","0.9770647287368774","0.9770647287368774","0.9770647287368774"
"7799","2.638991355895996","2.638991355895996","2.638991355895996","0.639103889465332","0.639103889465332","0.639103889465332","0.9781603813171387","0.9781603813171387","0.9781603813171387","2.6432244777679443","2.6432244777679443","2.6432244777679443","0.6391817331314087","0.6391817331314087","0.6391817331314087","0.9788705706596375","0.9788705706596375","0.9788705706596375"
"8399","2.6400158405303955","2.6400158405303955","2.6400158405303955","0.6398879289627075","0.6398879289627075","0.6398879289627075","0.9778507351875305","0.9778507351875305","0.9778507351875305","2.642549991607666","2.642549991607666","2.642549991607666","0.6396528482437134","0.6396528482437134","0.6396528482437134","0.9787303805351257","0.9787303805351257","0.9787303805351257"
"8999","2.6436591148376465","2.6436591148376465","2.6436591148376465","0.6402290463447571","0.6402290463447571","0.6402290463447571","0.9742843508720398","0.9742843508720398","0.9742843508720398","2.64339280128479","2.64339280128479","2.64339280128479","0.6398095488548279","0.6398095488548279","0.6398095488548279","0.9768754243850708","0.9768754243850708","0.9768754243850708"
"9599","2.64422345161438","2.64422345161438","2.64422345161438","0.6399229168891907","0.6399229168891907","0.6399229168891907","0.976815402507782","0.976815402507782","0.976815402507782","2.6445538997650146","2.6445538997650146","2.6445538997650146","0.6398509740829468","0.6398509740829468","0.6398509740829468","0.9773587584495544","0.9773587584495544","0.9773587584495544"
"10199","2.6378190517425537","2.6378190517425537","2.6378190517425537","0.6397477388381958","0.6397477388381958","0.6397477388381958","0.9767168164253235","0.9767168164253235","0.9767168164253235","2.639191150665283","2.639191150665283","2.639191150665283","0.6404430866241455","0.6404430866241455","0.6404430866241455","0.9764932990074158","0.9764932990074158","0.9764932990074158"
"10799","2.63860821723938","2.63860821723938","2.63860821723938","0.6398765444755554","0.6398765444755554","0.6398765444755554","0.9769325256347656","0.9769325256347656","0.9769325256347656","2.642852783203125","2.642852783203125","2.642852783203125","0.6403777003288269","0.6403777003288269","0.6403777003288269","0.9773001670837402","0.9773001670837402","0.9773001670837402"
"11399","2.6428234577178955","2.6428234577178955","2.6428234577178955","0.6399468779563904","0.6399468779563904","0.6399468779563904","0.9765958786010742","0.9765958786010742","0.9765958786010742","2.6430447101593018","2.6430447101593018","2.6430447101593018","0.6396967768669128","0.6396967768669128","0.6396967768669128","0.9798769354820251","0.9798769354820251","0.9798769354820251"
"11999","2.641211748123169","2.641211748123169","2.641211748123169","0.6394453048706055","0.6394453048706055","0.6394453048706055","0.9763333201408386","0.9763333201408386","0.9763333201408386","2.6412055492401123","2.6412055492401123","2.6412055492401123","0.639920175075531","0.639920175075531","0.639920175075531","0.977249801158905","0.977249801158905","0.977249801158905"
"12599","2.6437320709228516","2.6437320709228516","2.6437320709228516","0.6400537490844727","0.6400537490844727","0.6400537490844727","0.9768153429031372","0.9768153429031372","0.9768153429031372","2.6440441608428955","2.6440441608428955","2.6440441608428955","0.6405443549156189","0.6405443549156189","0.6405443549156189","0.9783029556274414","0.9783029556274414","0.9783029556274414"
"13199","2.6417794227600098","2.6417794227600098","2.6417794227600098","0.6399855017662048","0.6399855017662048","0.6399855017662048","0.9768959283828735","0.9768959283828735","0.9768959283828735","2.6430835723876953","2.6430835723876953","2.6430835723876953","0.6401375532150269","0.6401375532150269","0.6401375532150269","0.9780182242393494","0.9780182242393494","0.9780182242393494"
"13799","2.640939474105835","2.640939474105835","2.640939474105835","0.6391919255256653","0.6391919255256653","0.6391919255256653","0.9767390489578247","0.9767390489578247","0.9767390489578247","2.642784833908081","2.642784833908081","2.642784833908081","0.63910973072052","0.63910973072052","0.63910973072052","0.9797849655151367","0.9797849655151367","0.9797849655151367"
"14399","2.640068292617798","2.640068292617798","2.640068292617798","0.6397261023521423","0.6397261023521423","0.6397261023521423","0.976782500743866","0.976782500743866","0.976782500743866","2.6407883167266846","2.6407883167266846","2.6407883167266846","0.6400654911994934","0.6400654911994934","0.6400654911994934","0.9765329360961914","0.9765329360961914","0.9765329360961914"
"14999","2.642388105392456","2.642388105392456","2.642388105392456","0.6384496092796326","0.6384496092796326","0.6384496092796326","0.9760269522666931","0.9760269522666931","0.9760269522666931","2.6404991149902344","2.6404991149902344","2.6404991149902344","0.6389226317405701","0.6389226317405701","0.6389226317405701","0.9777418375015259","0.9777418375015259","0.9777418375015259"
"15599","2.6429789066314697","2.6429789066314697","2.6429789066314697","0.638823926448822","0.638823926448822","0.638823926448822","0.9758743643760681","0.9758743643760681","0.9758743643760681","2.6429309844970703","2.6429309844970703","2.6429309844970703","0.6395990252494812","0.6395990252494812","0.6395990252494812","0.9761956334114075","0.9761956334114075","0.9761956334114075"
"16199","2.639738082885742","2.639738082885742","2.639738082885742","0.6395701169967651","0.6395701169967651","0.6395701169967651","0.9758108258247375","0.9758108258247375","0.9758108258247375","2.6410186290740967","2.6410186290740967","2.6410186290740967","0.6401261687278748","0.6401261687278748","0.6401261687278748","0.9776149988174438","0.9776149988174438","0.9776149988174438"
"16799","2.642563581466675","2.642563581466675","2.642563581466675","0.6398116946220398","0.6398116946220398","0.6398116946220398","0.9759323000907898","0.9759323000907898","0.9759323000907898","2.6447651386260986","2.6447651386260986","2.6447651386260986","0.6399311423301697","0.6399311423301697","0.6399311423301697","0.9769380688667297","0.9769380688667297","0.9769380688667297"
"17399","2.6397900581359863","2.6397900581359863","2.6397900581359863","0.640596866607666","0.640596866607666","0.640596866607666","0.9797992706298828","0.9797992706298828","0.9797992706298828","2.641909122467041","2.641909122467041","2.641909122467041","0.639281153678894","0.639281153678894","0.639281153678894","0.976426899433136","0.976426899433136","0.976426899433136"
"17999","2.6426045894622803","2.6426045894622803","2.6426045894622803","0.6404715776443481","0.6404715776443481","0.6404715776443481","0.9768373370170593","0.9768373370170593","0.9768373370170593","2.6431643962860107","2.6431643962860107","2.6431643962860107","0.6406536102294922","0.6406536102294922","0.6406536102294922","0.9773157238960266","0.9773157238960266","0.9773157238960266"
"18599","2.6395411491394043","2.6395411491394043","2.6395411491394043","0.6392781138420105","0.6392781138420105","0.6392781138420105","0.9750963449478149","0.9750963449478149","0.9750963449478149","2.6454453468322754","2.6454453468322754","2.6454453468322754","0.6392948031425476","0.6392948031425476","0.6392948031425476","0.9772022366523743","0.9772022366523743","0.9772022366523743"
"19199","2.6379776000976562","2.6379776000976562","2.6379776000976562","0.6398072838783264","0.6398072838783264","0.6398072838783264","0.9761061668395996","0.9761061668395996","0.9761061668395996","2.6395041942596436","2.6395041942596436","2.6395041942596436","0.6404978036880493","0.6404978036880493","0.6404978036880493","0.9772424697875977","0.9772424697875977","0.9772424697875977"
"19799","2.6398468017578125","2.6398468017578125","2.6398468017578125","0.6403369307518005","0.6403369307518005","0.6403369307518005","0.9777032732963562","0.9777032732963562","0.9777032732963562","2.642958402633667","2.642958402633667","2.642958402633667","0.6402189135551453","0.6402189135551453","0.6402189135551453","0.9772976040840149","0.9772976040840149","0.9772976040840149"
