"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - losses/mse_loss__MAX"
"959","266.944091796875","266.944091796875","266.944091796875","155.862060546875","155.862060546875","155.862060546875","84.8865966796875","84.8865966796875","84.8865966796875","266.3484191894531","266.3484191894531","266.3484191894531","154.07180786132812","154.07180786132812","154.07180786132812","84.31236267089844","84.31236267089844","84.31236267089844"
"989","191.3376922607422","191.3376922607422","191.3376922607422","216.68649291992188","216.68649291992188","216.68649291992188","112.43313598632812","112.43313598632812","112.43313598632812","191.03265380859375","191.03265380859375","191.03265380859375","214.2835693359375","214.2835693359375","214.2835693359375","112.0234146118164","112.0234146118164","112.0234146118164"
"1019","169.88987731933594","169.88987731933594","169.88987731933594","192.13327026367188","192.13327026367188","192.13327026367188","103.97126007080078","103.97126007080078","103.97126007080078","169.43516540527344","169.43516540527344","169.43516540527344","189.8506622314453","189.8506622314453","189.8506622314453","103.94654083251953","103.94654083251953","103.94654083251953"
"1049","185.86126708984375","185.86126708984375","185.86126708984375","216.69053649902344","216.69053649902344","216.69053649902344","108.43603515625","108.43603515625","108.43603515625","185.44093322753906","185.44093322753906","185.44093322753906","214.15370178222656","214.15370178222656","214.15370178222656","108.38980102539062","108.38980102539062","108.38980102539062"
"1079","182.609130859375","182.609130859375","182.609130859375","209.222900390625","209.222900390625","209.222900390625","113.28450775146484","113.28450775146484","113.28450775146484","182.3721466064453","182.3721466064453","182.3721466064453","206.84725952148438","206.84725952148438","206.84725952148438","113.24077606201172","113.24077606201172","113.24077606201172"
"1109","185.7035675048828","185.7035675048828","185.7035675048828","209.15252685546875","209.15252685546875","209.15252685546875","90.45152282714844","90.45152282714844","90.45152282714844","185.1691131591797","185.1691131591797","185.1691131591797","207.34088134765625","207.34088134765625","207.34088134765625","90.08462524414062","90.08462524414062","90.08462524414062"
"1139","177.6395263671875","177.6395263671875","177.6395263671875","191.61148071289062","191.61148071289062","191.61148071289062","108.31855010986328","108.31855010986328","108.31855010986328","177.13673400878906","177.13673400878906","177.13673400878906","189.43714904785156","189.43714904785156","189.43714904785156","108.40196990966797","108.40196990966797","108.40196990966797"
"1169","228.67405700683594","228.67405700683594","228.67405700683594","165.20884704589844","165.20884704589844","165.20884704589844","92.52391052246094","92.52391052246094","92.52391052246094","228.5584259033203","228.5584259033203","228.5584259033203","163.36236572265625","163.36236572265625","163.36236572265625","92.3468246459961","92.3468246459961","92.3468246459961"
"1199","217.8408203125","217.8408203125","217.8408203125","185.2867889404297","185.2867889404297","185.2867889404297","99.97679138183594","99.97679138183594","99.97679138183594","217.35784912109375","217.35784912109375","217.35784912109375","183.44300842285156","183.44300842285156","183.44300842285156","100.41470336914062","100.41470336914062","100.41470336914062"
"1229","152.7042694091797","152.7042694091797","152.7042694091797","186.795654296875","186.795654296875","186.795654296875","110.97525024414062","110.97525024414062","110.97525024414062","152.44879150390625","152.44879150390625","152.44879150390625","184.62200927734375","184.62200927734375","184.62200927734375","111.22882843017578","111.22882843017578","111.22882843017578"
"1259","200.3754425048828","200.3754425048828","200.3754425048828","202.25791931152344","202.25791931152344","202.25791931152344","102.87003326416016","102.87003326416016","102.87003326416016","200.05288696289062","200.05288696289062","200.05288696289062","199.901611328125","199.901611328125","199.901611328125","102.84426879882812","102.84426879882812","102.84426879882812"
"1289","180.01153564453125","180.01153564453125","180.01153564453125","170.33897399902344","170.33897399902344","170.33897399902344","80.00453186035156","80.00453186035156","80.00453186035156","179.54342651367188","179.54342651367188","179.54342651367188","168.53125","168.53125","168.53125","79.89252471923828","79.89252471923828","79.89252471923828"
"1319","175.7783966064453","175.7783966064453","175.7783966064453","171.58192443847656","171.58192443847656","171.58192443847656","72.44169616699219","72.44169616699219","72.44169616699219","175.54281616210938","175.54281616210938","175.54281616210938","169.29815673828125","169.29815673828125","169.29815673828125","72.47078704833984","72.47078704833984","72.47078704833984"
"1349","173.04421997070312","173.04421997070312","173.04421997070312","166.01055908203125","166.01055908203125","166.01055908203125","93.68736267089844","93.68736267089844","93.68736267089844","172.826416015625","172.826416015625","172.826416015625","164.09437561035156","164.09437561035156","164.09437561035156","93.40437316894531","93.40437316894531","93.40437316894531"
"1379","149.5473175048828","149.5473175048828","149.5473175048828","184.1003875732422","184.1003875732422","184.1003875732422","84.36835479736328","84.36835479736328","84.36835479736328","149.2396240234375","149.2396240234375","149.2396240234375","182.27810668945312","182.27810668945312","182.27810668945312","84.53103637695312","84.53103637695312","84.53103637695312"
"1409","172.55238342285156","172.55238342285156","172.55238342285156","174.20599365234375","174.20599365234375","174.20599365234375","84.19832611083984","84.19832611083984","84.19832611083984","172.25125122070312","172.25125122070312","172.25125122070312","172.11729431152344","172.11729431152344","172.11729431152344","84.16626739501953","84.16626739501953","84.16626739501953"
"1439","176.9364013671875","176.9364013671875","176.9364013671875","169.08680725097656","169.08680725097656","169.08680725097656","73.4349365234375","73.4349365234375","73.4349365234375","176.4800567626953","176.4800567626953","176.4800567626953","167.18968200683594","167.18968200683594","167.18968200683594","73.45936584472656","73.45936584472656","73.45936584472656"
"1469","209.2869110107422","209.2869110107422","209.2869110107422","166.19984436035156","166.19984436035156","166.19984436035156","84.08025360107422","84.08025360107422","84.08025360107422","208.930419921875","208.930419921875","208.930419921875","164.30589294433594","164.30589294433594","164.30589294433594","83.9415283203125","83.9415283203125","83.9415283203125"
"1499","187.66078186035156","187.66078186035156","187.66078186035156","181.6763458251953","181.6763458251953","181.6763458251953","76.48674774169922","76.48674774169922","76.48674774169922","187.39854431152344","187.39854431152344","187.39854431152344","179.41156005859375","179.41156005859375","179.41156005859375","76.7202377319336","76.7202377319336","76.7202377319336"
"1529","137.22242736816406","137.22242736816406","137.22242736816406","163.66482543945312","163.66482543945312","163.66482543945312","71.6373062133789","71.6373062133789","71.6373062133789","136.88613891601562","136.88613891601562","136.88613891601562","161.31396484375","161.31396484375","161.31396484375","71.60281372070312","71.60281372070312","71.60281372070312"
"1559","132.88400268554688","132.88400268554688","132.88400268554688","178.6621856689453","178.6621856689453","178.6621856689453","74.77407836914062","74.77407836914062","74.77407836914062","132.49072265625","132.49072265625","132.49072265625","176.5242156982422","176.5242156982422","176.5242156982422","74.68359375","74.68359375","74.68359375"
"1589","158.96107482910156","158.96107482910156","158.96107482910156","162.31716918945312","162.31716918945312","162.31716918945312","80.85292053222656","80.85292053222656","80.85292053222656","158.30764770507812","158.30764770507812","158.30764770507812","160.49053955078125","160.49053955078125","160.49053955078125","80.81798553466797","80.81798553466797","80.81798553466797"
"1619","142.1580810546875","142.1580810546875","142.1580810546875","156.50648498535156","156.50648498535156","156.50648498535156","73.15896606445312","73.15896606445312","73.15896606445312","141.72491455078125","141.72491455078125","141.72491455078125","154.2467803955078","154.2467803955078","154.2467803955078","73.01923370361328","73.01923370361328","73.01923370361328"
"1649","113.91940307617188","113.91940307617188","113.91940307617188","172.04820251464844","172.04820251464844","172.04820251464844","80.09532165527344","80.09532165527344","80.09532165527344","113.80769348144531","113.80769348144531","113.80769348144531","169.94189453125","169.94189453125","169.94189453125","80.35662078857422","80.35662078857422","80.35662078857422"
"1679","131.70001220703125","131.70001220703125","131.70001220703125","192.02061462402344","192.02061462402344","192.02061462402344","67.26799011230469","67.26799011230469","67.26799011230469","131.75537109375","131.75537109375","131.75537109375","189.99075317382812","189.99075317382812","189.99075317382812","67.22234344482422","67.22234344482422","67.22234344482422"
"1709","117.4159164428711","117.4159164428711","117.4159164428711","174.28956604003906","174.28956604003906","174.28956604003906","58.61654281616211","58.61654281616211","58.61654281616211","117.14974212646484","117.14974212646484","117.14974212646484","172.65609741210938","172.65609741210938","172.65609741210938","58.57622528076172","58.57622528076172","58.57622528076172"
"1739","102.41163635253906","102.41163635253906","102.41163635253906","179.1330108642578","179.1330108642578","179.1330108642578","68.2825927734375","68.2825927734375","68.2825927734375","102.27023315429688","102.27023315429688","102.27023315429688","176.79296875","176.79296875","176.79296875","68.41921997070312","68.41921997070312","68.41921997070312"
"1769","121.2289810180664","121.2289810180664","121.2289810180664","165.34347534179688","165.34347534179688","165.34347534179688","80.45948028564453","80.45948028564453","80.45948028564453","120.86552429199219","120.86552429199219","120.86552429199219","163.0907440185547","163.0907440185547","163.0907440185547","80.63130187988281","80.63130187988281","80.63130187988281"
"1799","101.77033233642578","101.77033233642578","101.77033233642578","156.95175170898438","156.95175170898438","156.95175170898438","53.96864318847656","53.96864318847656","53.96864318847656","101.4904556274414","101.4904556274414","101.4904556274414","154.89938354492188","154.89938354492188","154.89938354492188","53.95737075805664","53.95737075805664","53.95737075805664"
"1829","167.14651489257812","167.14651489257812","167.14651489257812","181.35134887695312","181.35134887695312","181.35134887695312","104.4178466796875","104.4178466796875","104.4178466796875","167.0439453125","167.0439453125","167.0439453125","179.0800323486328","179.0800323486328","179.0800323486328","104.70623016357422","104.70623016357422","104.70623016357422"
"1859","139.88552856445312","139.88552856445312","139.88552856445312","177.6805877685547","177.6805877685547","177.6805877685547","69.29059600830078","69.29059600830078","69.29059600830078","139.6088104248047","139.6088104248047","139.6088104248047","175.65577697753906","175.65577697753906","175.65577697753906","69.38102722167969","69.38102722167969","69.38102722167969"
"1889","105.13958740234375","105.13958740234375","105.13958740234375","196.00830078125","196.00830078125","196.00830078125","79.77106475830078","79.77106475830078","79.77106475830078","105.07499694824219","105.07499694824219","105.07499694824219","193.73773193359375","193.73773193359375","193.73773193359375","79.92298889160156","79.92298889160156","79.92298889160156"
"1919","141.50816345214844","141.50816345214844","141.50816345214844","184.12103271484375","184.12103271484375","184.12103271484375","88.5433349609375","88.5433349609375","88.5433349609375","141.4392852783203","141.4392852783203","141.4392852783203","182.12660217285156","182.12660217285156","182.12660217285156","88.4786605834961","88.4786605834961","88.4786605834961"
"1949","158.23760986328125","158.23760986328125","158.23760986328125","187.92543029785156","187.92543029785156","187.92543029785156","87.51121520996094","87.51121520996094","87.51121520996094","158.29458618164062","158.29458618164062","158.29458618164062","185.8577423095703","185.8577423095703","185.8577423095703","87.70427703857422","87.70427703857422","87.70427703857422"
"1979","121.99917602539062","121.99917602539062","121.99917602539062","153.27279663085938","153.27279663085938","153.27279663085938","54.593143463134766","54.593143463134766","54.593143463134766","121.96147155761719","121.96147155761719","121.96147155761719","151.68470764160156","151.68470764160156","151.68470764160156","54.541385650634766","54.541385650634766","54.541385650634766"
"2009","113.26532745361328","113.26532745361328","113.26532745361328","157.41818237304688","157.41818237304688","157.41818237304688","58.982669830322266","58.982669830322266","58.982669830322266","112.97821807861328","112.97821807861328","112.97821807861328","155.5032196044922","155.5032196044922","155.5032196044922","59.04952621459961","59.04952621459961","59.04952621459961"
"2039","142.70156860351562","142.70156860351562","142.70156860351562","189.48760986328125","189.48760986328125","189.48760986328125","66.50553894042969","66.50553894042969","66.50553894042969","142.6513671875","142.6513671875","142.6513671875","187.23841857910156","187.23841857910156","187.23841857910156","66.27484130859375","66.27484130859375","66.27484130859375"
"2069","143.86203002929688","143.86203002929688","143.86203002929688","179.5227508544922","179.5227508544922","179.5227508544922","65.8777847290039","65.8777847290039","65.8777847290039","143.57508850097656","143.57508850097656","143.57508850097656","177.69493103027344","177.69493103027344","177.69493103027344","65.80043029785156","65.80043029785156","65.80043029785156"
"2099","146.82257080078125","146.82257080078125","146.82257080078125","176.0797882080078","176.0797882080078","176.0797882080078","75.5655517578125","75.5655517578125","75.5655517578125","146.62619018554688","146.62619018554688","146.62619018554688","174.1296844482422","174.1296844482422","174.1296844482422","75.51292419433594","75.51292419433594","75.51292419433594"
"2129","102.41999053955078","102.41999053955078","102.41999053955078","157.9674530029297","157.9674530029297","157.9674530029297","68.6547622680664","68.6547622680664","68.6547622680664","102.13581848144531","102.13581848144531","102.13581848144531","156.21351623535156","156.21351623535156","156.21351623535156","68.41032409667969","68.41032409667969","68.41032409667969"
"2159","92.22208404541016","92.22208404541016","92.22208404541016","194.41558837890625","194.41558837890625","194.41558837890625","68.15265655517578","68.15265655517578","68.15265655517578","92.09383392333984","92.09383392333984","92.09383392333984","192.75698852539062","192.75698852539062","192.75698852539062","68.03376007080078","68.03376007080078","68.03376007080078"
"2189","108.69949340820312","108.69949340820312","108.69949340820312","162.8760528564453","162.8760528564453","162.8760528564453","68.99980163574219","68.99980163574219","68.99980163574219","108.5224380493164","108.5224380493164","108.5224380493164","160.93722534179688","160.93722534179688","160.93722534179688","68.99651336669922","68.99651336669922","68.99651336669922"
"2219","123.17404174804688","123.17404174804688","123.17404174804688","161.44578552246094","161.44578552246094","161.44578552246094","51.293148040771484","51.293148040771484","51.293148040771484","123.22140502929688","123.22140502929688","123.22140502929688","159.99888610839844","159.99888610839844","159.99888610839844","51.03968811035156","51.03968811035156","51.03968811035156"
"2249","102.10964965820312","102.10964965820312","102.10964965820312","149.79690551757812","149.79690551757812","149.79690551757812","60.70680618286133","60.70680618286133","60.70680618286133","102.0469741821289","102.0469741821289","102.0469741821289","148.13607788085938","148.13607788085938","148.13607788085938","60.77921676635742","60.77921676635742","60.77921676635742"
"2279","129.17770385742188","129.17770385742188","129.17770385742188","159.60926818847656","159.60926818847656","159.60926818847656","48.92930221557617","48.92930221557617","48.92930221557617","128.99122619628906","128.99122619628906","128.99122619628906","158.11093139648438","158.11093139648438","158.11093139648438","48.99843978881836","48.99843978881836","48.99843978881836"
"2309","113.8221435546875","113.8221435546875","113.8221435546875","169.89605712890625","169.89605712890625","169.89605712890625","61.25287628173828","61.25287628173828","61.25287628173828","113.7509536743164","113.7509536743164","113.7509536743164","167.8186492919922","167.8186492919922","167.8186492919922","61.27192306518555","61.27192306518555","61.27192306518555"
"2339","95.46866607666016","95.46866607666016","95.46866607666016","151.0559844970703","151.0559844970703","151.0559844970703","64.71111297607422","64.71111297607422","64.71111297607422","95.27840423583984","95.27840423583984","95.27840423583984","149.55792236328125","149.55792236328125","149.55792236328125","64.68959045410156","64.68959045410156","64.68959045410156"
"2369","130.383056640625","130.383056640625","130.383056640625","177.8393096923828","177.8393096923828","177.8393096923828","71.22090911865234","71.22090911865234","71.22090911865234","130.51327514648438","130.51327514648438","130.51327514648438","175.87973022460938","175.87973022460938","175.87973022460938","71.41680145263672","71.41680145263672","71.41680145263672"
"2399","110.99671936035156","110.99671936035156","110.99671936035156","157.0313262939453","157.0313262939453","157.0313262939453","56.333621978759766","56.333621978759766","56.333621978759766","110.85844421386719","110.85844421386719","110.85844421386719","155.8671112060547","155.8671112060547","155.8671112060547","56.56062698364258","56.56062698364258","56.56062698364258"
"2429","84.75435638427734","84.75435638427734","84.75435638427734","160.01866149902344","160.01866149902344","160.01866149902344","60.46299743652344","60.46299743652344","60.46299743652344","84.61597442626953","84.61597442626953","84.61597442626953","158.26998901367188","158.26998901367188","158.26998901367188","60.669647216796875","60.669647216796875","60.669647216796875"
"2459","80.86168670654297","80.86168670654297","80.86168670654297","152.4879608154297","152.4879608154297","152.4879608154297","59.8755989074707","59.8755989074707","59.8755989074707","80.73676300048828","80.73676300048828","80.73676300048828","150.82638549804688","150.82638549804688","150.82638549804688","60.02853012084961","60.02853012084961","60.02853012084961"
"2489","117.32675170898438","117.32675170898438","117.32675170898438","177.261962890625","177.261962890625","177.261962890625","59.82427978515625","59.82427978515625","59.82427978515625","116.95097351074219","116.95097351074219","116.95097351074219","175.85745239257812","175.85745239257812","175.85745239257812","59.84062194824219","59.84062194824219","59.84062194824219"
