"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"6599","2.3696885108947754","2.3696885108947754","2.3696885108947754","0.6363115310668945","0.6363115310668945","0.6363115310668945","0.9734854102134705","0.9734854102134705","0.9734854102134705","2.3706424236297607","2.3706424236297607","2.3706424236297607","0.6366138458251953","0.6366138458251953","0.6366138458251953","0.974909782409668","0.974909782409668","0.974909782409668"
"7199","2.3732173442840576","2.3732173442840576","2.3732173442840576","0.6367853879928589","0.6367853879928589","0.6367853879928589","0.9723933339118958","0.9723933339118958","0.9723933339118958","2.369821310043335","2.369821310043335","2.369821310043335","0.6372966170310974","0.6372966170310974","0.6372966170310974","0.9764103293418884","0.9764103293418884","0.9764103293418884"
"7799","2.3734705448150635","2.3734705448150635","2.3734705448150635","0.637029767036438","0.637029767036438","0.637029767036438","0.9751285910606384","0.9751285910606384","0.9751285910606384","2.372042417526245","2.372042417526245","2.372042417526245","0.6372281908988953","0.6372281908988953","0.6372281908988953","0.9759737849235535","0.9759737849235535","0.9759737849235535"
"8399","2.3692493438720703","2.3692493438720703","2.3692493438720703","0.6360172629356384","0.6360172629356384","0.6360172629356384","0.9743028879165649","0.9743028879165649","0.9743028879165649","2.3697190284729004","2.3697190284729004","2.3697190284729004","0.6367954611778259","0.6367954611778259","0.6367954611778259","0.9771690368652344","0.9771690368652344","0.9771690368652344"
"8999","2.367258071899414","2.367258071899414","2.367258071899414","0.6360849738121033","0.6360849738121033","0.6360849738121033","0.9747301340103149","0.9747301340103149","0.9747301340103149","2.373539686203003","2.373539686203003","2.373539686203003","0.6367682814598083","0.6367682814598083","0.6367682814598083","0.97211092710495","0.97211092710495","0.97211092710495"
"9599","2.36859130859375","2.36859130859375","2.36859130859375","0.6361242532730103","0.6361242532730103","0.6361242532730103","0.9751829504966736","0.9751829504966736","0.9751829504966736","2.372431993484497","2.372431993484497","2.372431993484497","0.6364517211914062","0.6364517211914062","0.6364517211914062","0.9752413034439087","0.9752413034439087","0.9752413034439087"
"10199","2.3767144680023193","2.3767144680023193","2.3767144680023193","0.6356561183929443","0.6356561183929443","0.6356561183929443","0.9749590158462524","0.9749590158462524","0.9749590158462524","2.368834972381592","2.368834972381592","2.368834972381592","0.6365463137626648","0.6365463137626648","0.6365463137626648","0.9761830568313599","0.9761830568313599","0.9761830568313599"
"10799","2.36578631401062","2.36578631401062","2.36578631401062","0.6363659501075745","0.6363659501075745","0.6363659501075745","0.9742388725280762","0.9742388725280762","0.9742388725280762","2.370307207107544","2.370307207107544","2.370307207107544","0.6363218426704407","0.6363218426704407","0.6363218426704407","0.9746314883232117","0.9746314883232117","0.9746314883232117"
"11399","2.370466709136963","2.370466709136963","2.370466709136963","0.6374340057373047","0.6374340057373047","0.6374340057373047","0.9759853482246399","0.9759853482246399","0.9759853482246399","2.371610403060913","2.371610403060913","2.371610403060913","0.6372874975204468","0.6372874975204468","0.6372874975204468","0.97449791431427","0.97449791431427","0.97449791431427"
"11999","2.3635382652282715","2.3635382652282715","2.3635382652282715","0.6365664601325989","0.6365664601325989","0.6365664601325989","0.9753036499023438","0.9753036499023438","0.9753036499023438","2.36795711517334","2.36795711517334","2.36795711517334","0.6368373036384583","0.6368373036384583","0.6368373036384583","0.9739627838134766","0.9739627838134766","0.9739627838134766"
"12599","2.3694698810577393","2.3694698810577393","2.3694698810577393","0.6371191740036011","0.6371191740036011","0.6371191740036011","0.9748131036758423","0.9748131036758423","0.9748131036758423","2.370617389678955","2.370617389678955","2.370617389678955","0.6367115378379822","0.6367115378379822","0.6367115378379822","0.9742695093154907","0.9742695093154907","0.9742695093154907"
"13199","2.368947744369507","2.368947744369507","2.368947744369507","0.6368506550788879","0.6368506550788879","0.6368506550788879","0.9744905829429626","0.9744905829429626","0.9744905829429626","2.36826753616333","2.36826753616333","2.36826753616333","0.6375536322593689","0.6375536322593689","0.6375536322593689","0.9746629595756531","0.9746629595756531","0.9746629595756531"
"13799","2.3692615032196045","2.3692615032196045","2.3692615032196045","0.6368045210838318","0.6368045210838318","0.6368045210838318","0.9742369055747986","0.9742369055747986","0.9742369055747986","2.36810564994812","2.36810564994812","2.36810564994812","0.6373284459114075","0.6373284459114075","0.6373284459114075","0.9747756123542786","0.9747756123542786","0.9747756123542786"
"14399","2.3688087463378906","2.3688087463378906","2.3688087463378906","0.6367687582969666","0.6367687582969666","0.6367687582969666","0.9726273417472839","0.9726273417472839","0.9726273417472839","2.3728280067443848","2.3728280067443848","2.3728280067443848","0.6368173956871033","0.6368173956871033","0.6368173956871033","0.9748944640159607","0.9748944640159607","0.9748944640159607"
"14999","2.367648124694824","2.367648124694824","2.367648124694824","0.6365641951560974","0.6365641951560974","0.6365641951560974","0.9742283821105957","0.9742283821105957","0.9742283821105957","2.3701186180114746","2.3701186180114746","2.3701186180114746","0.6368183493614197","0.6368183493614197","0.6368183493614197","0.9758353233337402","0.9758353233337402","0.9758353233337402"
"15599","2.3700191974639893","2.3700191974639893","2.3700191974639893","0.6365987062454224","0.6365987062454224","0.6365987062454224","0.9756580591201782","0.9756580591201782","0.9756580591201782","2.3674964904785156","2.3674964904785156","2.3674964904785156","0.6367283463478088","0.6367283463478088","0.6367283463478088","0.9748520255088806","0.9748520255088806","0.9748520255088806"
"16199","2.3696608543395996","2.3696608543395996","2.3696608543395996","0.6367577910423279","0.6367577910423279","0.6367577910423279","0.973855197429657","0.973855197429657","0.973855197429657","2.370915651321411","2.370915651321411","2.370915651321411","0.6370717287063599","0.6370717287063599","0.6370717287063599","0.9752729535102844","0.9752729535102844","0.9752729535102844"
"16799","2.3671681880950928","2.3671681880950928","2.3671681880950928","0.6368531584739685","0.6368531584739685","0.6368531584739685","0.9754627346992493","0.9754627346992493","0.9754627346992493","2.369593381881714","2.369593381881714","2.369593381881714","0.6369426846504211","0.6369426846504211","0.6369426846504211","0.975635826587677","0.975635826587677","0.975635826587677"
"17399","2.3703532218933105","2.3703532218933105","2.3703532218933105","0.6364501118659973","0.6364501118659973","0.6364501118659973","0.9737730026245117","0.9737730026245117","0.9737730026245117","2.371041774749756","2.371041774749756","2.371041774749756","0.6368533372879028","0.6368533372879028","0.6368533372879028","0.9749537706375122","0.9749537706375122","0.9749537706375122"
"17999","2.3683135509490967","2.3683135509490967","2.3683135509490967","0.6360811591148376","0.6360811591148376","0.6360811591148376","0.9748675227165222","0.9748675227165222","0.9748675227165222","2.3729028701782227","2.3729028701782227","2.3729028701782227","0.6375083327293396","0.6375083327293396","0.6375083327293396","0.9750938415527344","0.9750938415527344","0.9750938415527344"
"18599","2.3616840839385986","2.3616840839385986","2.3616840839385986","0.6365064978599548","0.6365064978599548","0.6365064978599548","0.9748396277427673","0.9748396277427673","0.9748396277427673","2.3724961280822754","2.3724961280822754","2.3724961280822754","0.6368669867515564","0.6368669867515564","0.6368669867515564","0.9755604863166809","0.9755604863166809","0.9755604863166809"
"19199","2.3699228763580322","2.3699228763580322","2.3699228763580322","0.6370339393615723","0.6370339393615723","0.6370339393615723","0.9758539199829102","0.9758539199829102","0.9758539199829102","2.3694536685943604","2.3694536685943604","2.3694536685943604","0.6369807124137878","0.6369807124137878","0.6369807124137878","0.9770744442939758","0.9770744442939758","0.9770744442939758"
"19799","2.368177890777588","2.368177890777588","2.368177890777588","0.6369096636772156","0.6369096636772156","0.6369096636772156","0.9742531180381775","0.9742531180381775","0.9742531180381775","2.368945837020874","2.368945837020874","2.368945837020874","0.6372098326683044","0.6372098326683044","0.6372098326683044","0.9749733209609985","0.9749733209609985","0.9749733209609985"
