"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TheStackPython - shrinkage.l2_ratio__MAX"
"8999","2.2155861854553223","2.2155861854553223","2.2155861854553223","0.5737938284873962","0.5737938284873962","0.5737938284873962","0.9492023587226868","0.9492023587226868","0.9492023587226868","2.2204859256744385","2.2204859256744385","2.2204859256744385","0.5737399458885193","0.5737399458885193","0.5737399458885193","0.9492807388305664","0.9492807388305664","0.9492807388305664"
"9599","2.2117385864257812","2.2117385864257812","2.2117385864257812","0.5760902166366577","0.5760902166366577","0.5760902166366577","0.9539979100227356","0.9539979100227356","0.9539979100227356","2.2138659954071045","2.2138659954071045","2.2138659954071045","0.5765177607536316","0.5765177607536316","0.5765177607536316","0.9548965692520142","0.9548965692520142","0.9548965692520142"
"10199","2.2218804359436035","2.2218804359436035","2.2218804359436035","0.5711515545845032","0.5711515545845032","0.5711515545845032","0.9507034420967102","0.9507034420967102","0.9507034420967102","2.221621036529541","2.221621036529541","2.221621036529541","0.5711851716041565","0.5711851716041565","0.5711851716041565","0.9514991044998169","0.9514991044998169","0.9514991044998169"
"10799","2.2177822589874268","2.2177822589874268","2.2177822589874268","0.5740935206413269","0.5740935206413269","0.5740935206413269","0.954793393611908","0.954793393611908","0.954793393611908","2.222196578979492","2.222196578979492","2.222196578979492","0.5743383765220642","0.5743383765220642","0.5743383765220642","0.9538556933403015","0.9538556933403015","0.9538556933403015"
"11399","2.216881275177002","2.216881275177002","2.216881275177002","0.5761432647705078","0.5761432647705078","0.5761432647705078","0.9495109915733337","0.9495109915733337","0.9495109915733337","2.2178218364715576","2.2178218364715576","2.2178218364715576","0.5754841566085815","0.5754841566085815","0.5754841566085815","0.9513359069824219","0.9513359069824219","0.9513359069824219"
"11999","2.222025156021118","2.222025156021118","2.222025156021118","0.5783650279045105","0.5783650279045105","0.5783650279045105","0.9551281929016113","0.9551281929016113","0.9551281929016113","2.2213428020477295","2.2213428020477295","2.2213428020477295","0.5780569911003113","0.5780569911003113","0.5780569911003113","0.9539605379104614","0.9539605379104614","0.9539605379104614"
"12599","2.19854736328125","2.19854736328125","2.19854736328125","0.5756224989891052","0.5756224989891052","0.5756224989891052","0.9521760940551758","0.9521760940551758","0.9521760940551758","2.1974265575408936","2.1974265575408936","2.1974265575408936","0.5756317973136902","0.5756317973136902","0.5756317973136902","0.9519832730293274","0.9519832730293274","0.9519832730293274"
"13199","2.218271017074585","2.218271017074585","2.218271017074585","0.5738327503204346","0.5738327503204346","0.5738327503204346","0.9486917853355408","0.9486917853355408","0.9486917853355408","2.2213592529296875","2.2213592529296875","2.2213592529296875","0.5734277963638306","0.5734277963638306","0.5734277963638306","0.948882520198822","0.948882520198822","0.948882520198822"
"13799","2.2240540981292725","2.2240540981292725","2.2240540981292725","0.5797880291938782","0.5797880291938782","0.5797880291938782","0.9571146368980408","0.9571146368980408","0.9571146368980408","2.2233169078826904","2.2233169078826904","2.2233169078826904","0.5795802474021912","0.5795802474021912","0.5795802474021912","0.9571285247802734","0.9571285247802734","0.9571285247802734"
"14399","2.2235043048858643","2.2235043048858643","2.2235043048858643","0.5765972137451172","0.5765972137451172","0.5765972137451172","0.9543901681900024","0.9543901681900024","0.9543901681900024","2.2255046367645264","2.2255046367645264","2.2255046367645264","0.5764887928962708","0.5764887928962708","0.5764887928962708","0.9539317488670349","0.9539317488670349","0.9539317488670349"
"14999","2.221773147583008","2.221773147583008","2.221773147583008","0.57435542345047","0.57435542345047","0.57435542345047","0.9544944763183594","0.9544944763183594","0.9544944763183594","2.2198326587677","2.2198326587677","2.2198326587677","0.574335515499115","0.574335515499115","0.574335515499115","0.9543537497520447","0.9543537497520447","0.9543537497520447"
"15599","2.2284629344940186","2.2284629344940186","2.2284629344940186","0.5805506110191345","0.5805506110191345","0.5805506110191345","0.9511560797691345","0.9511560797691345","0.9511560797691345","2.228013753890991","2.228013753890991","2.228013753890991","0.5808610320091248","0.5808610320091248","0.5808610320091248","0.9524259567260742","0.9524259567260742","0.9524259567260742"
"16199","2.211447238922119","2.211447238922119","2.211447238922119","0.5714318752288818","0.5714318752288818","0.5714318752288818","0.9547138214111328","0.9547138214111328","0.9547138214111328","2.2135162353515625","2.2135162353515625","2.2135162353515625","0.5720165371894836","0.5720165371894836","0.5720165371894836","0.9553198218345642","0.9553198218345642","0.9553198218345642"
"16799","2.225364923477173","2.225364923477173","2.225364923477173","0.5730008482933044","0.5730008482933044","0.5730008482933044","0.9541568160057068","0.9541568160057068","0.9541568160057068","2.2251102924346924","2.2251102924346924","2.2251102924346924","0.5730514526367188","0.5730514526367188","0.5730514526367188","0.9531028866767883","0.9531028866767883","0.9531028866767883"
"17399","2.2131412029266357","2.2131412029266357","2.2131412029266357","0.5738937258720398","0.5738937258720398","0.5738937258720398","0.956690788269043","0.956690788269043","0.956690788269043","2.2138328552246094","2.2138328552246094","2.2138328552246094","0.5739870071411133","0.5739870071411133","0.5739870071411133","0.9569430351257324","0.9569430351257324","0.9569430351257324"
"17999","2.235217332839966","2.235217332839966","2.235217332839966","0.5719645619392395","0.5719645619392395","0.5719645619392395","0.9563605189323425","0.9563605189323425","0.9563605189323425","2.2356998920440674","2.2356998920440674","2.2356998920440674","0.5716163516044617","0.5716163516044617","0.5716163516044617","0.957567036151886","0.957567036151886","0.957567036151886"
"18599","2.2250282764434814","2.2250282764434814","2.2250282764434814","0.5761260986328125","0.5761260986328125","0.5761260986328125","0.9548067450523376","0.9548067450523376","0.9548067450523376","2.2243735790252686","2.2243735790252686","2.2243735790252686","0.5764865875244141","0.5764865875244141","0.5764865875244141","0.9566343426704407","0.9566343426704407","0.9566343426704407"
"19199","2.2315986156463623","2.2315986156463623","2.2315986156463623","0.5754117369651794","0.5754117369651794","0.5754117369651794","0.9589264988899231","0.9589264988899231","0.9589264988899231","2.2308056354522705","2.2308056354522705","2.2308056354522705","0.5755518078804016","0.5755518078804016","0.5755518078804016","0.9599512219429016","0.9599512219429016","0.9599512219429016"
"19799","2.2301414012908936","2.2301414012908936","2.2301414012908936","0.5769906044006348","0.5769906044006348","0.5769906044006348","0.9520746469497681","0.9520746469497681","0.9520746469497681","2.2281575202941895","2.2281575202941895","2.2281575202941895","0.5773549675941467","0.5773549675941467","0.5773549675941467","0.9504444003105164","0.9504444003105164","0.9504444003105164"
