"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackPython - sparsity.l0__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackPython - sparsity.l0__MAX"
"6599","12196.9951171875","12196.9951171875","12196.9951171875","12145.1640625","12145.1640625","12145.1640625","12190.0185546875","12190.0185546875","12190.0185546875","11458.7177734375","11458.7177734375","11458.7177734375","11410.4609375","11410.4609375","11410.4609375","12025.515625","12025.515625","12025.515625"
"7199","12202.578125","12202.578125","12202.578125","12153.9677734375","12153.9677734375","12153.9677734375","12194.6357421875","12194.6357421875","12194.6357421875","11494.3330078125","11494.3330078125","11494.3330078125","11435.6396484375","11435.6396484375","11435.6396484375","12031.6044921875","12031.6044921875","12031.6044921875"
"7799","12206.810546875","12206.810546875","12206.810546875","12173.7529296875","12173.7529296875","12173.7529296875","12184.4248046875","12184.4248046875","12184.4248046875","11527.525390625","11527.525390625","11527.525390625","11465.5185546875","11465.5185546875","11465.5185546875","12045.5205078125","12045.5205078125","12045.5205078125"
"8399","12200.8037109375","12200.8037109375","12200.8037109375","12150.080078125","12150.080078125","12150.080078125","12185.0908203125","12185.0908203125","12185.0908203125","11531.4912109375","11531.4912109375","11531.4912109375","11427.4111328125","11427.4111328125","11427.4111328125","12038.283203125","12038.283203125","12038.283203125"
"8999","12211.5966796875","12211.5966796875","12211.5966796875","12174.111328125","12174.111328125","12174.111328125","12187.2607421875","12187.2607421875","12187.2607421875","11564.7802734375","11564.7802734375","11564.7802734375","11474.6259765625","11474.6259765625","11474.6259765625","12048.8037109375","12048.8037109375","12048.8037109375"
"9599","12216.8984375","12216.8984375","12216.8984375","12182.4736328125","12182.4736328125","12182.4736328125","12196.4033203125","12196.4033203125","12196.4033203125","11584.1708984375","11584.1708984375","11584.1708984375","11469.8466796875","11469.8466796875","11469.8466796875","12062.705078125","12062.705078125","12062.705078125"
"10199","12200.3330078125","12200.3330078125","12200.3330078125","12167.3154296875","12167.3154296875","12167.3154296875","12192.994140625","12192.994140625","12192.994140625","11561.255859375","11561.255859375","11561.255859375","11444.2626953125","11444.2626953125","11444.2626953125","12048.953125","12048.953125","12048.953125"
"10799","12208.330078125","12208.330078125","12208.330078125","12183.3818359375","12183.3818359375","12183.3818359375","12203.259765625","12203.259765625","12203.259765625","11583.900390625","11583.900390625","11583.900390625","11464.5615234375","11464.5615234375","11464.5615234375","12063.2158203125","12063.2158203125","12063.2158203125"
"11399","12212.3671875","12212.3671875","12212.3671875","12198.5693359375","12198.5693359375","12198.5693359375","12199.75","12199.75","12199.75","11600.2529296875","11600.2529296875","11600.2529296875","11502.0751953125","11502.0751953125","11502.0751953125","12073.595703125","12073.595703125","12073.595703125"
"11999","12209.1396484375","12209.1396484375","12209.1396484375","12193.2421875","12193.2421875","12193.2421875","12203.0009765625","12203.0009765625","12203.0009765625","11602.9921875","11602.9921875","11602.9921875","11503.0615234375","11503.0615234375","11503.0615234375","12078.7578125","12078.7578125","12078.7578125"
"12599","12210.4755859375","12210.4755859375","12210.4755859375","12189.60546875","12189.60546875","12189.60546875","12204.9091796875","12204.9091796875","12204.9091796875","11585.2861328125","11585.2861328125","11585.2861328125","11477.6796875","11477.6796875","11477.6796875","12071.3779296875","12071.3779296875","12071.3779296875"
"13199","12211.916015625","12211.916015625","12211.916015625","12198.2880859375","12198.2880859375","12198.2880859375","12204.4765625","12204.4765625","12204.4765625","11590.4892578125","11590.4892578125","11590.4892578125","11482.4052734375","11482.4052734375","11482.4052734375","12072.7060546875","12072.7060546875","12072.7060546875"
"13799","12213.037109375","12213.037109375","12213.037109375","12199.3857421875","12199.3857421875","12199.3857421875","12207.9365234375","12207.9365234375","12207.9365234375","11594.078125","11594.078125","11594.078125","11489.697265625","11489.697265625","11489.697265625","12082.36328125","12082.36328125","12082.36328125"
"14399","12217.78125","12217.78125","12217.78125","12207.2255859375","12207.2255859375","12207.2255859375","12211.28125","12211.28125","12211.28125","11595.189453125","11595.189453125","11595.189453125","11492.7265625","11492.7265625","11492.7265625","12078.9033203125","12078.9033203125","12078.9033203125"
"14999","12209.1162109375","12209.1162109375","12209.1162109375","12201.345703125","12201.345703125","12201.345703125","12204.1669921875","12204.1669921875","12204.1669921875","11591.2939453125","11591.2939453125","11591.2939453125","11479.2158203125","11479.2158203125","11479.2158203125","12080.8232421875","12080.8232421875","12080.8232421875"
"15599","12212.853515625","12212.853515625","12212.853515625","12198.0458984375","12198.0458984375","12198.0458984375","12184.203125","12184.203125","12184.203125","11606.2451171875","11606.2451171875","11606.2451171875","11503.568359375","11503.568359375","11503.568359375","12089.0185546875","12089.0185546875","12089.0185546875"
"16199","12208.0283203125","12208.0283203125","12208.0283203125","12205.3486328125","12205.3486328125","12205.3486328125","12189.6669921875","12189.6669921875","12189.6669921875","11591.7685546875","11591.7685546875","11591.7685546875","11489.607421875","11489.607421875","11489.607421875","12072.8935546875","12072.8935546875","12072.8935546875"
"16799","12193.3623046875","12193.3623046875","12193.3623046875","12200.4716796875","12200.4716796875","12200.4716796875","12189.576171875","12189.576171875","12189.576171875","11572.5390625","11572.5390625","11572.5390625","11477.173828125","11477.173828125","11477.173828125","12074.37109375","12074.37109375","12074.37109375"
"17399","12208.8349609375","12208.8349609375","12208.8349609375","12207.5341796875","12207.5341796875","12207.5341796875","12195.8818359375","12195.8818359375","12195.8818359375","11596.4638671875","11596.4638671875","11596.4638671875","11499.6669921875","11499.6669921875","11499.6669921875","12081.7109375","12081.7109375","12081.7109375"
"17999","12208.0029296875","12208.0029296875","12208.0029296875","12212.353515625","12212.353515625","12212.353515625","12202.2080078125","12202.2080078125","12202.2080078125","11602.5439453125","11602.5439453125","11602.5439453125","11521.1513671875","11521.1513671875","11521.1513671875","12093.794921875","12093.794921875","12093.794921875"
"18599","12203.697265625","12203.697265625","12203.697265625","12202.4091796875","12202.4091796875","12202.4091796875","12193.005859375","12193.005859375","12193.005859375","11610.7578125","11610.7578125","11610.7578125","11514.6044921875","11514.6044921875","11514.6044921875","12094.8154296875","12094.8154296875","12094.8154296875"
"19199","12204.3388671875","12204.3388671875","12204.3388671875","12206.345703125","12206.345703125","12206.345703125","12188.7509765625","12188.7509765625","12188.7509765625","11595.25","11595.25","11595.25","11511.083984375","11511.083984375","11511.083984375","12097.4892578125","12097.4892578125","12097.4892578125"
"19799","12193.05859375","12193.05859375","12193.05859375","12208.2958984375","12208.2958984375","12208.2958984375","12191.462890625","12191.462890625","12191.462890625","11597.8876953125","11597.8876953125","11597.8876953125","11525.46875","11525.46875","11525.46875","12098.4873046875","12098.4873046875","12098.4873046875"
