"Step","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"8399","6.586355686187744","6.586355686187744","6.586355686187744","2.7785356044769287","2.7785356044769287","2.7785356044769287","1.1919479370117188","1.1919479370117188","1.1919479370117188","6.588188171386719","6.588188171386719","6.588188171386719","2.7773258686065674","2.7773258686065674","2.7773258686065674","1.1890194416046143","1.1890194416046143","1.1890194416046143"
"8999","6.5725908279418945","6.5725908279418945","6.5725908279418945","2.77597975730896","2.77597975730896","2.77597975730896","1.1864145994186401","1.1864145994186401","1.1864145994186401","6.571264743804932","6.571264743804932","6.571264743804932","2.7748825550079346","2.7748825550079346","2.7748825550079346","1.1869730949401855","1.1869730949401855","1.1869730949401855"
"9599","6.642372131347656","6.642372131347656","6.642372131347656","2.7791965007781982","2.7791965007781982","2.7791965007781982","1.1897064447402954","1.1897064447402954","1.1897064447402954","6.642848968505859","6.642848968505859","6.642848968505859","2.778796434402466","2.778796434402466","2.778796434402466","1.1892695426940918","1.1892695426940918","1.1892695426940918"
"10199","6.60067892074585","6.60067892074585","6.60067892074585","2.7794816493988037","2.7794816493988037","2.7794816493988037","1.1885130405426025","1.1885130405426025","1.1885130405426025","6.599991798400879","6.599991798400879","6.599991798400879","2.77815318107605","2.77815318107605","2.77815318107605","1.1890920400619507","1.1890920400619507","1.1890920400619507"
"10799","6.620495796203613","6.620495796203613","6.620495796203613","2.778707504272461","2.778707504272461","2.778707504272461","1.1750755310058594","1.1750755310058594","1.1750755310058594","6.618765354156494","6.618765354156494","6.618765354156494","2.7802469730377197","2.7802469730377197","2.7802469730377197","1.1755508184432983","1.1755508184432983","1.1755508184432983"
"11399","6.6112565994262695","6.6112565994262695","6.6112565994262695","2.7862937450408936","2.7862937450408936","2.7862937450408936","1.191428542137146","1.191428542137146","1.191428542137146","6.609927654266357","6.609927654266357","6.609927654266357","2.785231113433838","2.785231113433838","2.785231113433838","1.1888777017593384","1.1888777017593384","1.1888777017593384"
"11999","6.590494632720947","6.590494632720947","6.590494632720947","2.784693479537964","2.784693479537964","2.784693479537964","1.1845060586929321","1.1845060586929321","1.1845060586929321","6.589562892913818","6.589562892913818","6.589562892913818","2.7841384410858154","2.7841384410858154","2.7841384410858154","1.1845219135284424","1.1845219135284424","1.1845219135284424"
"12599","6.610412120819092","6.610412120819092","6.610412120819092","2.784226655960083","2.784226655960083","2.784226655960083","1.1849157810211182","1.1849157810211182","1.1849157810211182","6.609902381896973","6.609902381896973","6.609902381896973","2.7846312522888184","2.7846312522888184","2.7846312522888184","1.1855497360229492","1.1855497360229492","1.1855497360229492"
"13199","6.616891384124756","6.616891384124756","6.616891384124756","2.788193941116333","2.788193941116333","2.788193941116333","1.1897491216659546","1.1897491216659546","1.1897491216659546","6.617044925689697","6.617044925689697","6.617044925689697","2.788673162460327","2.788673162460327","2.788673162460327","1.190360426902771","1.190360426902771","1.190360426902771"
"13799","6.599358558654785","6.599358558654785","6.599358558654785","2.7791988849639893","2.7791988849639893","2.7791988849639893","1.184835433959961","1.184835433959961","1.184835433959961","6.6026611328125","6.6026611328125","6.6026611328125","2.7796566486358643","2.7796566486358643","2.7796566486358643","1.1860235929489136","1.1860235929489136","1.1860235929489136"
"14399","6.616776466369629","6.616776466369629","6.616776466369629","2.7807297706604004","2.7807297706604004","2.7807297706604004","1.1838709115982056","1.1838709115982056","1.1838709115982056","6.617984294891357","6.617984294891357","6.617984294891357","2.780693769454956","2.780693769454956","2.780693769454956","1.1856517791748047","1.1856517791748047","1.1856517791748047"
"14999","6.654778957366943","6.654778957366943","6.654778957366943","2.800257444381714","2.800257444381714","2.800257444381714","1.1901520490646362","1.1901520490646362","1.1901520490646362","6.653489589691162","6.653489589691162","6.653489589691162","2.7981836795806885","2.7981836795806885","2.7981836795806885","1.1882721185684204","1.1882721185684204","1.1882721185684204"
"15599","6.651771545410156","6.651771545410156","6.651771545410156","2.7926061153411865","2.7926061153411865","2.7926061153411865","1.1917033195495605","1.1917033195495605","1.1917033195495605","6.651326656341553","6.651326656341553","6.651326656341553","2.7915561199188232","2.7915561199188232","2.7915561199188232","1.1930623054504395","1.1930623054504395","1.1930623054504395"
"16199","6.616310119628906","6.616310119628906","6.616310119628906","2.795560598373413","2.795560598373413","2.795560598373413","1.1828112602233887","1.1828112602233887","1.1828112602233887","6.612646579742432","6.612646579742432","6.612646579742432","2.7951836585998535","2.7951836585998535","2.7951836585998535","1.1825894117355347","1.1825894117355347","1.1825894117355347"
"16799","6.626176357269287","6.626176357269287","6.626176357269287","2.7831482887268066","2.7831482887268066","2.7831482887268066","1.1827129125595093","1.1827129125595093","1.1827129125595093","6.627673625946045","6.627673625946045","6.627673625946045","2.782532215118408","2.782532215118408","2.782532215118408","1.1821156740188599","1.1821156740188599","1.1821156740188599"
"17399","6.668193340301514","6.668193340301514","6.668193340301514","2.789588689804077","2.789588689804077","2.789588689804077","1.1941856145858765","1.1941856145858765","1.1941856145858765","6.666604518890381","6.666604518890381","6.666604518890381","2.7872955799102783","2.7872955799102783","2.7872955799102783","1.1953916549682617","1.1953916549682617","1.1953916549682617"
"17999","6.659695625305176","6.659695625305176","6.659695625305176","2.7879741191864014","2.7879741191864014","2.7879741191864014","1.1931087970733643","1.1931087970733643","1.1931087970733643","6.6606597900390625","6.6606597900390625","6.6606597900390625","2.7880210876464844","2.7880210876464844","2.7880210876464844","1.1933742761611938","1.1933742761611938","1.1933742761611938"
"18599","6.644076824188232","6.644076824188232","6.644076824188232","2.7930917739868164","2.7930917739868164","2.7930917739868164","1.1890696287155151","1.1890696287155151","1.1890696287155151","6.645118713378906","6.645118713378906","6.645118713378906","2.792407274246216","2.792407274246216","2.792407274246216","1.187488079071045","1.187488079071045","1.187488079071045"
"19199","6.6341552734375","6.6341552734375","6.6341552734375","2.785261869430542","2.785261869430542","2.785261869430542","1.193597674369812","1.193597674369812","1.193597674369812","6.634047985076904","6.634047985076904","6.634047985076904","2.7859039306640625","2.7859039306640625","2.7859039306640625","1.1934350728988647","1.1934350728988647","1.1934350728988647"
"19799","6.650393009185791","6.650393009185791","6.650393009185791","2.795640707015991","2.795640707015991","2.795640707015991","1.1870062351226807","1.1870062351226807","1.1870062351226807","6.650975704193115","6.650975704193115","6.650975704193115","2.795397996902466","2.795397996902466","2.795397996902466","1.186393141746521","1.186393141746521","1.186393141746521"
