"Step","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_mid_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"10199","6.89028787612915","6.89028787612915","6.89028787612915","2.8694496154785156","2.8694496154785156","2.8694496154785156","1.2005360126495361","1.2005360126495361","1.2005360126495361","6.871598720550537","6.871598720550537","6.871598720550537","2.8736660480499268","2.8736660480499268","2.8736660480499268","1.1992158889770508","1.1992158889770508","1.1992158889770508"
"10799","6.8829569816589355","6.8829569816589355","6.8829569816589355","2.872365713119507","2.872365713119507","2.872365713119507","1.2004834413528442","1.2004834413528442","1.2004834413528442","6.890295505523682","6.890295505523682","6.890295505523682","2.870542526245117","2.870542526245117","2.870542526245117","1.1994476318359375","1.1994476318359375","1.1994476318359375"
"11399","6.876806735992432","6.876806735992432","6.876806735992432","2.8731801509857178","2.8731801509857178","2.8731801509857178","1.2004530429840088","1.2004530429840088","1.2004530429840088","6.8758225440979","6.8758225440979","6.8758225440979","2.874821901321411","2.874821901321411","2.874821901321411","1.199457049369812","1.199457049369812","1.199457049369812"
"11999","6.899316310882568","6.899316310882568","6.899316310882568","2.8717041015625","2.8717041015625","2.8717041015625","1.2012674808502197","1.2012674808502197","1.2012674808502197","6.8943095207214355","6.8943095207214355","6.8943095207214355","2.862820863723755","2.862820863723755","2.862820863723755","1.1993240118026733","1.1993240118026733","1.1993240118026733"
"12599","6.8705925941467285","6.8705925941467285","6.8705925941467285","2.8736703395843506","2.8736703395843506","2.8736703395843506","1.1992743015289307","1.1992743015289307","1.1992743015289307","6.8853936195373535","6.8853936195373535","6.8853936195373535","2.874178409576416","2.874178409576416","2.874178409576416","1.1999993324279785","1.1999993324279785","1.1999993324279785"
"13199","6.8853654861450195","6.8853654861450195","6.8853654861450195","2.8644864559173584","2.8644864559173584","2.8644864559173584","1.1996530294418335","1.1996530294418335","1.1996530294418335","6.893657684326172","6.893657684326172","6.893657684326172","2.8638665676116943","2.8638665676116943","2.8638665676116943","1.1994976997375488","1.1994976997375488","1.1994976997375488"
"13799","6.87960958480835","6.87960958480835","6.87960958480835","2.8748536109924316","2.8748536109924316","2.8748536109924316","1.200994849205017","1.200994849205017","1.200994849205017","6.881227970123291","6.881227970123291","6.881227970123291","2.8679771423339844","2.8679771423339844","2.8679771423339844","1.1996335983276367","1.1996335983276367","1.1996335983276367"
"14399","6.8825578689575195","6.8825578689575195","6.8825578689575195","2.8740015029907227","2.8740015029907227","2.8740015029907227","1.2000688314437866","1.2000688314437866","1.2000688314437866","6.89581823348999","6.89581823348999","6.89581823348999","2.8817648887634277","2.8817648887634277","2.8817648887634277","1.2003462314605713","1.2003462314605713","1.2003462314605713"
"14999","6.886867523193359","6.886867523193359","6.886867523193359","2.8731212615966797","2.8731212615966797","2.8731212615966797","1.1990718841552734","1.1990718841552734","1.1990718841552734","6.875840663909912","6.875840663909912","6.875840663909912","2.875977039337158","2.875977039337158","2.875977039337158","1.199971079826355","1.199971079826355","1.199971079826355"
"15599","6.875491619110107","6.875491619110107","6.875491619110107","2.872643232345581","2.872643232345581","2.872643232345581","1.2000948190689087","1.2000948190689087","1.2000948190689087","6.889259338378906","6.889259338378906","6.889259338378906","2.87764310836792","2.87764310836792","2.87764310836792","1.1993671655654907","1.1993671655654907","1.1993671655654907"
"16199","6.8850603103637695","6.8850603103637695","6.8850603103637695","2.871953248977661","2.871953248977661","2.871953248977661","1.2002593278884888","1.2002593278884888","1.2002593278884888","6.8785881996154785","6.8785881996154785","6.8785881996154785","2.8707804679870605","2.8707804679870605","2.8707804679870605","1.2000477313995361","1.2000477313995361","1.2000477313995361"
"16799","6.881900310516357","6.881900310516357","6.881900310516357","2.8748555183410645","2.8748555183410645","2.8748555183410645","1.2009750604629517","1.2009750604629517","1.2009750604629517","6.880669593811035","6.880669593811035","6.880669593811035","2.871833324432373","2.871833324432373","2.871833324432373","1.200347661972046","1.200347661972046","1.200347661972046"
"17399","6.88942289352417","6.88942289352417","6.88942289352417","2.8743014335632324","2.8743014335632324","2.8743014335632324","1.2013657093048096","1.2013657093048096","1.2013657093048096","6.89174222946167","6.89174222946167","6.89174222946167","2.8735928535461426","2.8735928535461426","2.8735928535461426","1.1991738080978394","1.1991738080978394","1.1991738080978394"
"17999","6.87924337387085","6.87924337387085","6.87924337387085","2.8722949028015137","2.8722949028015137","2.8722949028015137","1.1994489431381226","1.1994489431381226","1.1994489431381226","6.874057292938232","6.874057292938232","6.874057292938232","2.8717546463012695","2.8717546463012695","2.8717546463012695","1.199724793434143","1.199724793434143","1.199724793434143"
"18599","6.876181125640869","6.876181125640869","6.876181125640869","2.8810698986053467","2.8810698986053467","2.8810698986053467","1.199449896812439","1.199449896812439","1.199449896812439","6.8869309425354","6.8869309425354","6.8869309425354","2.8828072547912598","2.8828072547912598","2.8828072547912598","1.1995865106582642","1.1995865106582642","1.1995865106582642"
"19199","6.893035888671875","6.893035888671875","6.893035888671875","2.873013973236084","2.873013973236084","2.873013973236084","1.1999800205230713","1.1999800205230713","1.1999800205230713","6.861966609954834","6.861966609954834","6.861966609954834","2.8690319061279297","2.8690319061279297","2.8690319061279297","1.2003813982009888","1.2003813982009888","1.2003813982009888"
"19799","6.887546062469482","6.887546062469482","6.887546062469482","2.8722686767578125","2.8722686767578125","2.8722686767578125","1.1997902393341064","1.1997902393341064","1.1997902393341064","6.8859453201293945","6.8859453201293945","6.8859453201293945","2.87451171875","2.87451171875","2.87451171875","1.199953317642212","1.199953317642212","1.199953317642212"
