"Step","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"6599","5.452329158782959","5.452329158782959","5.452329158782959","2.6538052558898926","2.6538052558898926","2.6538052558898926","0.1620868444442749","0.1620868444442749","0.1620868444442749","5.4529290199279785","5.4529290199279785","5.4529290199279785","2.6541197299957275","2.6541197299957275","2.6541197299957275","0.16174499690532684","0.16174499690532684","0.16174499690532684"
"7199","5.477912902832031","5.477912902832031","5.477912902832031","2.6562042236328125","2.6562042236328125","2.6562042236328125","0.16244308650493622","0.16244308650493622","0.16244308650493622","5.4780402183532715","5.4780402183532715","5.4780402183532715","2.65586256980896","2.65586256980896","2.65586256980896","0.16215066611766815","0.16215066611766815","0.16215066611766815"
"7799","5.4997758865356445","5.4997758865356445","5.4997758865356445","2.662675619125366","2.662675619125366","2.662675619125366","0.16240108013153076","0.16240108013153076","0.16240108013153076","5.499433994293213","5.499433994293213","5.499433994293213","2.6623361110687256","2.6623361110687256","2.6623361110687256","0.16240312159061432","0.16240312159061432","0.16240312159061432"
"8399","5.5271735191345215","5.5271735191345215","5.5271735191345215","2.672725200653076","2.672725200653076","2.672725200653076","0.162737637758255","0.162737637758255","0.162737637758255","5.526614665985107","5.526614665985107","5.526614665985107","2.6722733974456787","2.6722733974456787","2.6722733974456787","0.16267679631710052","0.16267679631710052","0.16267679631710052"
"8999","5.5002970695495605","5.5002970695495605","5.5002970695495605","2.6719696521759033","2.6719696521759033","2.6719696521759033","0.16268113255500793","0.16268113255500793","0.16268113255500793","5.502505302429199","5.502505302429199","5.502505302429199","2.6724278926849365","2.6724278926849365","2.6724278926849365","0.16249430179595947","0.16249430179595947","0.16249430179595947"
"9599","5.5284857749938965","5.5284857749938965","5.5284857749938965","2.666097402572632","2.666097402572632","2.666097402572632","0.16286936402320862","0.16286936402320862","0.16286936402320862","5.528397560119629","5.528397560119629","5.528397560119629","2.6660194396972656","2.6660194396972656","2.6660194396972656","0.1628780961036682","0.1628780961036682","0.1628780961036682"
"10199","5.514949798583984","5.514949798583984","5.514949798583984","2.680739641189575","2.680739641189575","2.680739641189575","0.1627206802368164","0.1627206802368164","0.1627206802368164","5.513746738433838","5.513746738433838","5.513746738433838","2.6795592308044434","2.6795592308044434","2.6795592308044434","0.16269037127494812","0.16269037127494812","0.16269037127494812"
"10799","5.547544479370117","5.547544479370117","5.547544479370117","2.6694159507751465","2.6694159507751465","2.6694159507751465","0.1629818081855774","0.1629818081855774","0.1629818081855774","5.548884391784668","5.548884391784668","5.548884391784668","2.6715571880340576","2.6715571880340576","2.6715571880340576","0.16326485574245453","0.16326485574245453","0.16326485574245453"
"11399","5.5245137214660645","5.5245137214660645","5.5245137214660645","2.6738786697387695","2.6738786697387695","2.6738786697387695","0.16326749324798584","0.16326749324798584","0.16326749324798584","5.52470064163208","5.52470064163208","5.52470064163208","2.6741981506347656","2.6741981506347656","2.6741981506347656","0.16339011490345","0.16339011490345","0.16339011490345"
"11999","5.537067413330078","5.537067413330078","5.537067413330078","2.6791913509368896","2.6791913509368896","2.6791913509368896","0.16323716938495636","0.16323716938495636","0.16323716938495636","5.536988258361816","5.536988258361816","5.536988258361816","2.6781957149505615","2.6781957149505615","2.6781957149505615","0.1629372388124466","0.1629372388124466","0.1629372388124466"
"12599","5.535486698150635","5.535486698150635","5.535486698150635","2.670698642730713","2.670698642730713","2.670698642730713","0.16296623647212982","0.16296623647212982","0.16296623647212982","5.533822536468506","5.533822536468506","5.533822536468506","2.6709327697753906","2.6709327697753906","2.6709327697753906","0.16300182044506073","0.16300182044506073","0.16300182044506073"
"13199","5.541550636291504","5.541550636291504","5.541550636291504","2.676795721054077","2.676795721054077","2.676795721054077","0.16343724727630615","0.16343724727630615","0.16343724727630615","5.542645454406738","5.542645454406738","5.542645454406738","2.676591157913208","2.676591157913208","2.676591157913208","0.1635521501302719","0.1635521501302719","0.1635521501302719"
"13799","5.534243583679199","5.534243583679199","5.534243583679199","2.6687088012695312","2.6687088012695312","2.6687088012695312","0.16297397017478943","0.16297397017478943","0.16297397017478943","5.534523010253906","5.534523010253906","5.534523010253906","2.667357921600342","2.667357921600342","2.667357921600342","0.16293635964393616","0.16293635964393616","0.16293635964393616"
"14399","5.546172618865967","5.546172618865967","5.546172618865967","2.6757400035858154","2.6757400035858154","2.6757400035858154","0.16311350464820862","0.16311350464820862","0.16311350464820862","5.547709941864014","5.547709941864014","5.547709941864014","2.6761770248413086","2.6761770248413086","2.6761770248413086","0.1631569117307663","0.1631569117307663","0.1631569117307663"
"14999","5.564196586608887","5.564196586608887","5.564196586608887","2.6911628246307373","2.6911628246307373","2.6911628246307373","0.16339321434497833","0.16339321434497833","0.16339321434497833","5.562644958496094","5.562644958496094","5.562644958496094","2.6904056072235107","2.6904056072235107","2.6904056072235107","0.1632431000471115","0.1632431000471115","0.1632431000471115"
"15599","5.568253993988037","5.568253993988037","5.568253993988037","2.6830573081970215","2.6830573081970215","2.6830573081970215","0.16357867419719696","0.16357867419719696","0.16357867419719696","5.568200588226318","5.568200588226318","5.568200588226318","2.681710958480835","2.681710958480835","2.681710958480835","0.16365914046764374","0.16365914046764374","0.16365914046764374"
"16199","5.550544261932373","5.550544261932373","5.550544261932373","2.6877639293670654","2.6877639293670654","2.6877639293670654","0.16342462599277496","0.16342462599277496","0.16342462599277496","5.549118995666504","5.549118995666504","5.549118995666504","2.6874587535858154","2.6874587535858154","2.6874587535858154","0.1635211706161499","0.1635211706161499","0.1635211706161499"
"16799","5.5444793701171875","5.5444793701171875","5.5444793701171875","2.6778621673583984","2.6778621673583984","2.6778621673583984","0.16325601935386658","0.16325601935386658","0.16325601935386658","5.542464256286621","5.542464256286621","5.542464256286621","2.6771645545959473","2.6771645545959473","2.6771645545959473","0.16316883265972137","0.16316883265972137","0.16316883265972137"
"17399","5.5775251388549805","5.5775251388549805","5.5775251388549805","2.6783578395843506","2.6783578395843506","2.6783578395843506","0.16334687173366547","0.16334687173366547","0.16334687173366547","5.574683666229248","5.574683666229248","5.574683666229248","2.6789891719818115","2.6789891719818115","2.6789891719818115","0.16334913671016693","0.16334913671016693","0.16334913671016693"
"17999","5.567568302154541","5.567568302154541","5.567568302154541","2.686422109603882","2.686422109603882","2.686422109603882","0.16306714713573456","0.16306714713573456","0.16306714713573456","5.5682196617126465","5.5682196617126465","5.5682196617126465","2.6870625019073486","2.6870625019073486","2.6870625019073486","0.16280962526798248","0.16280962526798248","0.16280962526798248"
"18599","5.563241958618164","5.563241958618164","5.563241958618164","2.6901443004608154","2.6901443004608154","2.6901443004608154","0.16354870796203613","0.16354870796203613","0.16354870796203613","5.565012454986572","5.565012454986572","5.565012454986572","2.6873557567596436","2.6873557567596436","2.6873557567596436","0.1634214073419571","0.1634214073419571","0.1634214073419571"
"19199","5.57641077041626","5.57641077041626","5.57641077041626","2.678762197494507","2.678762197494507","2.678762197494507","0.16315396130084991","0.16315396130084991","0.16315396130084991","5.575689315795898","5.575689315795898","5.575689315795898","2.679696798324585","2.679696798324585","2.679696798324585","0.16345785558223724","0.16345785558223724","0.16345785558223724"
"19799","5.5748209953308105","5.5748209953308105","5.5748209953308105","2.6826446056365967","2.6826446056365967","2.6826446056365967","0.16337427496910095","0.16337427496910095","0.16337427496910095","5.575615882873535","5.575615882873535","5.575615882873535","2.68269419670105","2.68269419670105","2.68269419670105","0.1635187566280365","0.1635187566280365","0.1635187566280365"
