"Step","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_resid_pre_gpt2_standard_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"9599","5.782949447631836","5.782949447631836","5.782949447631836","2.7473220825195312","2.7473220825195312","2.7473220825195312","0.16396145522594452","0.16396145522594452","0.16396145522594452","5.779168605804443","5.779168605804443","5.779168605804443","2.7493388652801514","2.7493388652801514","2.7493388652801514","0.1639256328344345","0.1639256328344345","0.1639256328344345"
"10199","5.780475616455078","5.780475616455078","5.780475616455078","2.744413375854492","2.744413375854492","2.744413375854492","0.16412965953350067","0.16412965953350067","0.16412965953350067","5.787333965301514","5.787333965301514","5.787333965301514","2.7479608058929443","2.7479608058929443","2.7479608058929443","0.16382017731666565","0.16382017731666565","0.16382017731666565"
"10799","5.779580116271973","5.779580116271973","5.779580116271973","2.748441696166992","2.748441696166992","2.748441696166992","0.16375887393951416","0.16375887393951416","0.16375887393951416","5.778798580169678","5.778798580169678","5.778798580169678","2.7482097148895264","2.7482097148895264","2.7482097148895264","0.16400323808193207","0.16400323808193207","0.16400323808193207"
"11399","5.789433479309082","5.789433479309082","5.789433479309082","2.749713182449341","2.749713182449341","2.749713182449341","0.1639302521944046","0.1639302521944046","0.1639302521944046","5.7658233642578125","5.7658233642578125","5.7658233642578125","2.7466881275177","2.7466881275177","2.7466881275177","0.16397282481193542","0.16397282481193542","0.16397282481193542"
"11999","5.784351825714111","5.784351825714111","5.784351825714111","2.74633526802063","2.74633526802063","2.74633526802063","0.16419218480587006","0.16419218480587006","0.16419218480587006","5.779763221740723","5.779763221740723","5.779763221740723","2.743619680404663","2.743619680404663","2.743619680404663","0.16397234797477722","0.16397234797477722","0.16397234797477722"
"12599","5.772088527679443","5.772088527679443","5.772088527679443","2.7467429637908936","2.7467429637908936","2.7467429637908936","0.16413407027721405","0.16413407027721405","0.16413407027721405","5.786545753479004","5.786545753479004","5.786545753479004","2.751807928085327","2.751807928085327","2.751807928085327","0.1639806032180786","0.1639806032180786","0.1639806032180786"
"13199","5.785905361175537","5.785905361175537","5.785905361175537","2.743720769882202","2.743720769882202","2.743720769882202","0.16402564942836761","0.16402564942836761","0.16402564942836761","5.79062032699585","5.79062032699585","5.79062032699585","2.752516508102417","2.752516508102417","2.752516508102417","0.16406412422657013","0.16406412422657013","0.16406412422657013"
"13799","5.785421848297119","5.785421848297119","5.785421848297119","2.751819372177124","2.751819372177124","2.751819372177124","0.1639617383480072","0.1639617383480072","0.1639617383480072","5.789220333099365","5.789220333099365","5.789220333099365","2.753861904144287","2.753861904144287","2.753861904144287","0.16393403708934784","0.16393403708934784","0.16393403708934784"
"14399","5.78756856918335","5.78756856918335","5.78756856918335","2.748213529586792","2.748213529586792","2.748213529586792","0.163893923163414","0.163893923163414","0.163893923163414","5.788293838500977","5.788293838500977","5.788293838500977","2.748364210128784","2.748364210128784","2.748364210128784","0.16388526558876038","0.16388526558876038","0.16388526558876038"
"14999","5.786935329437256","5.786935329437256","5.786935329437256","2.744640588760376","2.744640588760376","2.744640588760376","0.16405223309993744","0.16405223309993744","0.16405223309993744","5.788741588592529","5.788741588592529","5.788741588592529","2.7442774772644043","2.7442774772644043","2.7442774772644043","0.16403016448020935","0.16403016448020935","0.16403016448020935"
"15599","5.763890266418457","5.763890266418457","5.763890266418457","2.746494770050049","2.746494770050049","2.746494770050049","0.16379790008068085","0.16379790008068085","0.16379790008068085","5.78617525100708","5.78617525100708","5.78617525100708","2.748474597930908","2.748474597930908","2.748474597930908","0.16388170421123505","0.16388170421123505","0.16388170421123505"
"16199","5.768504619598389","5.768504619598389","5.768504619598389","2.7478749752044678","2.7478749752044678","2.7478749752044678","0.16388261318206787","0.16388261318206787","0.16388261318206787","5.788905620574951","5.788905620574951","5.788905620574951","2.748431444168091","2.748431444168091","2.748431444168091","0.16396839916706085","0.16396839916706085","0.16396839916706085"
"16799","5.781498908996582","5.781498908996582","5.781498908996582","2.745213747024536","2.745213747024536","2.745213747024536","0.16388113796710968","0.16388113796710968","0.16388113796710968","5.799292087554932","5.799292087554932","5.799292087554932","2.7434816360473633","2.7434816360473633","2.7434816360473633","0.16388510167598724","0.16388510167598724","0.16388510167598724"
"17399","5.782419681549072","5.782419681549072","5.782419681549072","2.751093626022339","2.751093626022339","2.751093626022339","0.16376923024654388","0.16376923024654388","0.16376923024654388","5.790379524230957","5.790379524230957","5.790379524230957","2.7420239448547363","2.7420239448547363","2.7420239448547363","0.1638840287923813","0.1638840287923813","0.1638840287923813"
"17999","5.7782511711120605","5.7782511711120605","5.7782511711120605","2.746913194656372","2.746913194656372","2.746913194656372","0.1639103889465332","0.1639103889465332","0.1639103889465332","5.763665676116943","5.763665676116943","5.763665676116943","2.7480785846710205","2.7480785846710205","2.7480785846710205","0.16412769258022308","0.16412769258022308","0.16412769258022308"
"18599","5.785369873046875","5.785369873046875","5.785369873046875","2.749849557876587","2.749849557876587","2.749849557876587","0.1638844758272171","0.1638844758272171","0.1638844758272171","5.772854328155518","5.772854328155518","5.772854328155518","2.761500120162964","2.761500120162964","2.761500120162964","0.16399121284484863","0.16399121284484863","0.16399121284484863"
"19199","5.790276050567627","5.790276050567627","5.790276050567627","2.747831106185913","2.747831106185913","2.747831106185913","0.16392257809638977","0.16392257809638977","0.16392257809638977","5.802714824676514","5.802714824676514","5.802714824676514","2.74033784866333","2.74033784866333","2.74033784866333","0.164075568318367","0.164075568318367","0.164075568318367"
"19799","5.787674427032471","5.787674427032471","5.787674427032471","2.747753858566284","2.747753858566284","2.747753858566284","0.16402074694633484","0.16402074694633484","0.16402074694633484","5.78390645980835","5.78390645980835","5.78390645980835","2.7463178634643555","2.7463178634643555","2.7463178634643555","0.16390825808048248","0.16390825808048248","0.16390825808048248"
